a,k,numerical_real,numerical_imag,closed_form_real,closed_form_imag,absolute_error,relative_error
1.5,1,1.1363840175221152e-11,3.9557038145126253e-11,1.1363854058722907e-11,3.9556951672590277e-11,8.7579969737425555e-17,2.1279540187106086e-06
1.5,2,-3.3555515923032454e-18,3.1804758152687514e-17,-3.5595154525051117e-22,-2.9744136209588389e-22,3.1981539974309368e-17,68945.451398122197
1.5,3,4.2664572015530691e-17,-2.711957705611508e-17,-6.6340470248633204e-33,-3.3709667877680066e-32,5.0554299173967062e-17,1471472909837235.2
1.5,4,3.867513538873661e-17,-2.0158309222638542e-17,-4.4925842605348381e-43,-5.4677697746570573e-43,4.3613341170479256e-17,6.1629405826662469e+25
2.0,1,7.558647540991239e-07,-7.4701035589805375e-07,7.5586509397640965e-07,-7.4700909117916213e-07,1.3095917089561489e-12,1.2323122054471387e-06
2.0,2,3.2481216969058791e-13,5.8517569110196492e-13,3.2481181470815298e-13,5.8517513659526914e-13,6.5839973022741425e-19,9.8374668490400496e-07
2.0,3,-2.9234548081094125e-19,2.0718425889840186e-18,-2.812363272963476e-19,-2.5867428714846173e-19,2.3305433536474075e-18,6.0991799934355839
2.0,4,1.5121655690857397e-18,1.4936896629237553e-18,-6.4604772759023129e-27,-1.863483815686565e-25,2.1255009041836797e-18,11399211.994998211
2.6,1,-1.8868456306765718e-05,-2.7706966173853314e-05,-1.8868456306758139e-05,-2.770696617387227e-05,2.0415622114543188e-17,6.0902969453917484e-13
2.6,2,-4.5285210946958846e-10,2.2868807039468618e-10,-4.5285211736981694e-10,2.2868806416304299e-10,1.0062156169122762e-17,1.9833955409438061e-08
2.6,3,-2.3748827713144637e-14,-2.3733714951299726e-15,-2.3750356243152331e-14,-2.3833481323788739e-15,1.0093051807089114e-17,0.00042284053336014778
2.6,4,3.9528910065990061e-18,2.558039500707987e-18,8.1232662967525147e-19,9.0664448060056288e-20,3.9938808515066983e-18,4.8862549709401373
3.0,1,8.652216916572793e-05,-5.8933195528122244e-05,8.6522169165725586e-05,-5.8933195528131161e-05,9.2206299484428963e-18,8.8078725549550519e-14
3.0,2,1.202074479454308e-08,5.6440353740329829e-09,1.202074479431966e-08,5.6440353671781843e-09,6.8584386041894112e-18,5.1645595173881558e-10
3.0,3,-1.8214916252694063e-12,-6.0314018624602842e-13,-1.8215003905829709e-12,-6.0315035207399172e-13,1.3422919953010902e-17,6.9956087688581477e-06
3.0,4,7.4309353429672514e-17,-1.0461873338127314e-16,7.7150090641627082e-17,-1.0708743278765925e-16,3.7635441629499352e-18,0.028515090344118636
5.0,1,-0.00090821547045075515,0.00071552183746291477,-0.00090821547045075786,0.00071552183746290479,1.0336376615924834e-17,8.9398605933965787e-15
5.0,2,-5.5326559381897104e-07,3.0930666314624112e-06,-5.5326559381442004e-07,3.0930666314605829e-06,4.9045261559622267e-18,1.5608777123084956e-12
5.0,3,5.4505236253072275e-09,-9.5173282883137533e-10,5.4505236224562925e-09,-9.5173283220731117e-10,4.4186845870504451e-18,7.9860668410609643e-10
5.0,4,5.0759835923267285e-12,7.6670743592941598e-12,5.0759829088409036e-12,7.6670700608427331e-12,4.3524518998345299e-18,4.7334554004275135e-07
