n,certified_term_count
779,304103
780,304981
781,305665
782,306545
783,307230
784,308113
785,308800
786,309685
787,310374
788,311261
789,311952
790,312841
791,313533
792,314425
793,315119
794,316013
795,316709
796,317605
797,318303
798,319201
799,319900
800,320801
801,321502
802,322405
803,323108
804,324013
805,324718
806,325625
807,326331
808,327241
809,327949
810,328861
811,329571
812,330485
813,331197
814,332113
815,332826
816,333745
817,334460
818,335381
819,336098
820,337021
821,337740
822,338665
823,339385
824,340313
825,341035
826,341965
827,342689
828,343621
829,344347
830,345281
831,346008
832,346945
833,347674
834,348613
835,349344
836,350285
837,351018
838,351961
839,352695
840,353641
841,354377
842,355325
843,356063
844,357013
845,357753
846,358705
847,359446
848,360401
849,361144
850,362101
851,362846
852,363805
853,364552
854,365513
855,366261
856,367225
857,367975
858,368941
859,369693
860,370661
861,371415
862,372385
863,373140
864,374113
865,374870
866,375845
867,376604
868,377581
869,378342
870,379321
871,380083
872,381065
873,381829
874,382813
875,383579
876,384565
877,385333
878,386321
879,387090
880,388081
881,388852
882,389845
883,390618
884,391613
885,392388
886,393385
887,394161
888,395161
889,395939
890,396941
891,397721
892,398725
893,399507
894,400513
895,401296
896,402305
897,403090
898,404101
899,404888
900,405901
901,406690
902,407705
903,408495
904,409513
905,410305
906,411325
907,412119
908,413141
909,413937
910,414961
911,415758
912,416785
913,417584
914,418613
915,419414
916,420445
917,421248
918,422281
919,423085
920,424121
921,424927
922,425965
923,426773
924,427813
925,428623
926,429665
927,430476
928,431521
929,432334
930,433381
931,434196
932,435245
933,436062
934,437113
935,437931
936,438985
937,439805
938,440861
939,441683
940,442741
941,443565
942,444625
943,445450
944,446513
945,447340
946,448405
947,449234
948,450301
949,451132
950,452201
951,453033
952,454105
953,454939
954,456013
955,456849
956,457925
957,458763
958,459841
959,460680
960,461761
961,462602
962,463685
963,464528
964,465613
965,466458
966,467545
967,468391
968,469481
969,470329
970,471421
971,472271
972,473365
973,474217
974,475313
975,476166
976,477265
977,478120
978,479221
979,480078
980,481181
981,482040
982,483145
983,484005
984,485113
985,485975
986,487085
987,487949
988,489061
989,489927
990,491041
991,491908
992,493025
993,493894
994,495013
995,495884
996,497005
997,497878
998,499001
999,499875
1000,501001
1001,501877
1002,503005
1003,503883
1004,505013
1005,505893
1006,507025
1007,507906
1008,509041
1009,509924
1010,511061
1011,511946
1012,513085
1013,513972
1014,515113
1015,516001
1016,517145
1017,518035
1018,519181
1019,520073
1020,521221
1021,522115
1022,523265
1023,524160
1024,525313
1025,526210
1026,527365
1027,528264
1028,529421
1029,530322
1030,531481
1031,532383
1032,533545
1033,534449
1034,535613
1035,536519
1036,537685
1037,538593
1038,539761
1039,540670
1040,541841
1041,542752
1042,543925
1043,544838
1044,546013
1045,546928
1046,548105
1047,549021
1048,550201
1049,551119
1050,552301
1051,553221
1052,554405
1053,555327
1054,556513
1055,557436
1056,558625
1057,559550
1058,560741
1059,561668
1060,562861
1061,563790
1062,564985
1063,565915
1064,567113
1065,568045
1066,569245
1067,570179
1068,571381
1069,572317
1070,573521
1071,574458
1072,575665
1073,576604
1074,577813
1075,578754
1076,579965
1077,580908
1078,582121
1079,583065
1080,584281
1081,585227
1082,586445
1083,587393
1084,588613
1085,589563
1086,590785
1087,591736
1088,592961
1089,593914
1090,595141
1091,596096
1092,597325
1093,598282
1094,599513
1095,600471
1096,601705
1097,602665
1098,603901
1099,604863
1100,606101
1101,607065
1102,608305
1103,609270
1104,610513
1105,611480
1106,612725
1107,613694
1108,614941
1109,615912
1110,617161
1111,618133
1112,619385
1113,620359
1114,621613
1115,622589
1116,623845
1117,624823
1118,626081
1119,627060
1120,628321
1121,629302
1122,630565
1123,631548
1124,632813
1125,633798
1126,635065
1127,636051
1128,637321
1129,638309
1130,639581
1131,640571
1132,641845
1133,642837
1134,644113
1135,645106
1136,646385
1137,647380
1138,648661
1139,649658
1140,650941
1141,651940
1142,653225
1143,654225
1144,655513
1145,656515
1146,657805
1147,658809
1148,660101
1149,661107
1150,662401
1151,663408
1152,664705
1153,665714
1154,667013
1155,668024
1156,669325
1157,670338
1158,671641
1159,672655
1160,673961
1161,674977
1162,676285
1163,677303
1164,678613
1165,679633
1166,680945
1167,681966
1168,683281
1169,684304
1170,685621
1171,686646
1172,687965
1173,688992
1174,690313
1175,691341
1176,692665
1177,693695
1178,695021
1179,696053
1180,697381
1181,698415
1182,699745
1183,700780
1184,702113
1185,703150
1186,704485
1187,705524
1188,706861
1189,707902
1190,709241
1191,710283
1192,711625
1193,712669
1194,714013
1195,715059
1196,716405
1197,717453
1198,718801
1199,719850
1200,721201
1201,722252
1202,723605
1203,724658
1204,726013
1205,727068
1206,728425
1207,729481
1208,730841
1209,731899
1210,733261
1211,734321
1212,735685
1213,736747
1214,738113
1215,739176
1216,740545
1217,741610
1218,742981
1219,744048
1220,745421
1221,746490
1222,747865
1223,748935
1224,750313
1225,751385
1226,752765
1227,753839
1228,755221
1229,756297
1230,757681
1231,758758
1232,760145
1233,761224
1234,762613
1235,763694
1236,765085
1237,766168
1238,767561
1239,768645
1240,770041
1241,771127
1242,772525
1243,773613
1244,775013
1245,776103
1246,777505
1247,778596
1248,780001
1249,781094
1250,782501
1251,783596
1252,785005
1253,786102
1254,787513
1255,788611
1256,790025
1257,791125
1258,792541
1259,793643
1260,795061
1261,796165
1262,797585
1263,798690
1264,800113
1265,801220
1266,802645
1267,803754
1268,805181
1269,806292
1270,807721
1271,808833
1272,810265
1273,811379
1274,812813
1275,813929
1276,815365
1277,816483
1278,817921
1279,819040
1280,820481
1281,821602
1282,823045
1283,824168
1284,825613
1285,826738
1286,828185
1287,829311
1288,830761
1289,831889
1290,833341
1291,834471
1292,835925
1293,837057
1294,838513
1295,839646
1296,841105
1297,842240
1298,843701
1299,844838
1300,846301
1301,847440
1302,848905
1303,850045
1304,851513
1305,852655
1306,854125
1307,855269
1308,856741
1309,857887
1310,859361
1311,860508
1312,861985
1313,863134
1314,864613
1315,865764
1316,867245
1317,868398
1318,869881
1319,871035
1320,872521
1321,873677
1322,875165
1323,876323
1324,877813
1325,878973
1326,880465
1327,881626
1328,883121
1329,884284
1330,885781
1331,886946
1332,888445
1333,889612
1334,891113
1335,892281
1336,893785
1337,894955
1338,896461
1339,897633
1340,899141
1341,900315
1342,901825
1343,903000
1344,904513
1345,905690
1346,907205
1347,908384
1348,909901
1349,911082
1350,912601
1351,913783
1352,915305
1353,916489
1354,918013
1355,919199
1356,920725
1357,921913
1358,923441
1359,924630
1360,926161
1361,927352
1362,928885
1363,930078
1364,931613
1365,932808
1366,934345
1367,935541
1368,937081
1369,938279
1370,939821
1371,941021
1372,942565
1373,943767
1374,945313
1375,946516
1376,948065
1377,949270
1378,950821
1379,952028
1380,953581
1381,954790
1382,956345
1383,957555
1384,959113
1385,960325
1386,961885
1387,963099
1388,964661
1389,965877
1390,967441
1391,968658
1392,970225
1393,971444
1394,973013
1395,974234
1396,975805
1397,977028
1398,978601
1399,979825
1400,981401
1401,982627
1402,984205
1403,985433
1404,987013
1405,988243
1406,989825
1407,991056
1408,992641
1409,993874
1410,995461
1411,996696
1412,998285
1413,999522
1414,1001113
1415,1002351
1416,1003945
1417,1005185
1418,1006781
1419,1008023
1420,1009621
1421,1010865
1422,1012465
1423,1013710
1424,1015313
1425,1016560
1426,1018165
1427,1019414
1428,1021021
1429,1022272
1430,1023881
1431,1025133
1432,1026745
1433,1027999
1434,1029613
1435,1030869
1436,1032485
1437,1033743
1438,1035361
1439,1036620
1440,1038241
1441,1039502
1442,1041125
1443,1042388
1444,1044013
1445,1045278
1446,1046905
1447,1048171
1448,1049801
1449,1051069
1450,1052701
1451,1053971
1452,1055605
1453,1056877
1454,1058513
1455,1059786
1456,1061425
1457,1062700
1458,1064341
1459,1065618
1460,1067261
1461,1068540
1462,1070185
1463,1071465
1464,1073113
1465,1074395
1466,1076045
1467,1077329
1468,1078981
1469,1080267
1470,1081921
1471,1083208
1472,1084865
1473,1086154
1474,1087813
1475,1089104
1476,1090765
1477,1092058
1478,1093721
1479,1095015
1480,1096681
1481,1097977
1482,1099645
1483,1100943
1484,1102613
1485,1103913
1486,1105585
1487,1106886
1488,1108561
1489,1109864
1490,1111541
1491,1112846
1492,1114525
1493,1115832
1494,1117513
1495,1118821
1496,1120505
1497,1121815
1498,1123501
1499,1124813
1500,1126501
1501,1127815
1502,1129505
1503,1130820
1504,1132513
1505,1133830
1506,1135525
1507,1136844
1508,1138541
1509,1139862
1510,1141561
1511,1142883
1512,1144585
1513,1145909
1514,1147613
1515,1148939
1516,1150645
1517,1151973
1518,1153681
1519,1155010
1520,1156721
1521,1158052
1522,1159765
1523,1161098
1524,1162813
1525,1164148
1526,1165865
1527,1167201
1528,1168921
1529,1170259
1530,1171981
1531,1173321
1532,1175045
1533,1176387
1534,1178113
1535,1179456
1536,1181185
1537,1182530
1538,1184261
1539,1185608
1540,1187341
1541,1188690
1542,1190425
1543,1191775
1544,1193513
1545,1194865
1546,1196605
1547,1197959
1548,1199701
1549,1201057
1550,1202801
1551,1204158
1552,1205905
1553,1207264
1554,1209013
1555,1210374
1556,1212125
1557,1213488
1558,1215241
1559,1216605
1560,1218361
1561,1219727
1562,1221485
1563,1222853
1564,1224613
1565,1225983
1566,1227745
1567,1229116
1568,1230881
1569,1232254
1570,1234021
1571,1235396
1572,1237165
1573,1238542
1574,1240313
1575,1241691
1576,1243465
1577,1244845
1578,1246621
1579,1248003
1580,1249781
1581,1251165
1582,1252945
1583,1254330
1584,1256113
1585,1257500
1586,1259285
1587,1260674
1588,1262461
1589,1263852
1590,1265641
1591,1267033
1592,1268825
1593,1270219
1594,1272013
1595,1273409
1596,1275205
1597,1276603
1598,1278401
1599,1279800
1600,1281601
1601,1283002
1602,1284805
1603,1286208
1604,1288013
1605,1289418
1606,1291225
1607,1292631
1608,1294441
1609,1295849
1610,1297661
1611,1299071
1612,1300885
1613,1302297
1614,1304113
1615,1305526
1616,1307345
1617,1308760
1618,1310581
1619,1311998
1620,1313821
1621,1315240
1622,1317065
1623,1318485
1624,1320313
1625,1321735
1626,1323565
1627,1324989
1628,1326821
1629,1328247
1630,1330081
1631,1331508
1632,1333345
1633,1334774
1634,1336613
1635,1338044
1636,1339885
1637,1341318
1638,1343161
1639,1344595
1640,1346441
1641,1347877
1642,1349725
1643,1351163
1644,1353013
1645,1354453
1646,1356305
1647,1357746
1648,1359601
1649,1361044
1650,1362901
1651,1364346
1652,1366205
1653,1367652
1654,1369513
1655,1370961
1656,1372825
1657,1374275
1658,1376141
1659,1377593
1660,1379461
1661,1380915
1662,1382785
1663,1384240
1664,1386113
1665,1387570
1666,1389445
1667,1390904
1668,1392781
1669,1394242
1670,1396121
1671,1397583
1672,1399465
1673,1400929
1674,1402813
1675,1404279
1676,1406165
1677,1407633
1678,1409521
1679,1410990
1680,1412881
1681,1414352
1682,1416245
1683,1417718
1684,1419613
1685,1421088
1686,1422985
1687,1424461
1688,1426361
1689,1427839
1690,1429741
1691,1431221
1692,1433125
1693,1434607
1694,1436513
1695,1437996
1696,1439905
1697,1441390
1698,1443301
1699,1444788
1700,1446701
1701,1448190
1702,1450105
1703,1451595
1704,1453513
1705,1455005
1706,1456925
1707,1458419
1708,1460341
1709,1461837
1710,1463761
1711,1465258
1712,1467185
1713,1468684
1714,1470613
1715,1472114
1716,1474045
1717,1475548
1718,1477481
1719,1478985
1720,1480921
1721,1482427
1722,1484365
1723,1485873
1724,1487813
1725,1489323
1726,1491265
1727,1492776
1728,1494721
1729,1496234
1730,1498181
1731,1499696
1732,1501645
1733,1503162
1734,1505113
1735,1506631
1736,1508585
1737,1510105
1738,1512061
1739,1513583
1740,1515541
1741,1517065
1742,1519025
1743,1520550
1744,1522513
1745,1524040
1746,1526005
1747,1527534
1748,1529501
1749,1531032
1750,1533001
1751,1534533
1752,1536505
1753,1538039
1754,1540013
1755,1541549
1756,1543525
1757,1545063
1758,1547041
1759,1548580
1760,1550561
1761,1552102
1762,1554085
1763,1555628
1764,1557613
1765,1559158
1766,1561145
1767,1562691
1768,1564681
1769,1566229
1770,1568221
1771,1569771
1772,1571765
1773,1573317
1774,1575313
1775,1576866
1776,1578865
1777,1580420
1778,1582421
1779,1583978
1780,1585981
1781,1587540
1782,1589545
1783,1591105
1784,1593113
1785,1594675
1786,1596685
1787,1598249
1788,1600261
1789,1601827
1790,1603841
1791,1605408
1792,1607425
1793,1608994
1794,1611013
1795,1612584
1796,1614605
1797,1616178
1798,1618201
1799,1619775
1800,1621801
1801,1623377
1802,1625405
1803,1626983
1804,1629013
1805,1630593
1806,1632625
1807,1634206
1808,1636241
1809,1637824
1810,1639861
1811,1641446
1812,1643485
1813,1645072
1814,1647113
1815,1648701
1816,1650745
1817,1652335
1818,1654381
1819,1655973
1820,1658021
1821,1659615
1822,1661665
1823,1663260
1824,1665313
1825,1666910
1826,1668965
1827,1670564
1828,1672621
1829,1674222
1830,1676281
1831,1677883
1832,1679945
1833,1681549
1834,1683613
1835,1685219
1836,1687285
1837,1688893
1838,1690961
1839,1692570
1840,1694641
1841,1696252
1842,1698325
1843,1699938
1844,1702013
1845,1703628
1846,1705705
1847,1707321
1848,1709401
1849,1711019
1850,1713101
1851,1714721
1852,1716805
1853,1718427
1854,1720513
1855,1722136
1856,1724225
1857,1725850
1858,1727941
1859,1729568
1860,1731661
1861,1733290
1862,1735385
1863,1737015
1864,1739113
1865,1740745
1866,1742845
1867,1744479
1868,1746581
1869,1748217
1870,1750321
1871,1751958
1872,1754065
1873,1755704
1874,1757813
1875,1759454
1876,1761565
1877,1763208
1878,1765321
1879,1766965
1880,1769081
1881,1770727
1882,1772845
1883,1774493
1884,1776613
1885,1778263
1886,1780385
1887,1782036
1888,1784161
1889,1785814
1890,1787941
1891,1789596
1892,1791725
1893,1793382
1894,1795513
1895,1797171
1896,1799305
1897,1800965
1898,1803101
1899,1804763
1900,1806901
1901,1808565
1902,1810705
1903,1812370
1904,1814513
1905,1816180
1906,1818325
1907,1819994
1908,1822141
1909,1823812
1910,1825961
1911,1827633
1912,1829785
1913,1831459
1914,1833613
1915,1835289
1916,1837445
1917,1839123
1918,1841281
1919,1842960
1920,1845121
1921,1846802
1922,1848965
1923,1850648
1924,1852813
1925,1854498
1926,1856665
1927,1858351
1928,1860521
1929,1862209
1930,1864381
1931,1866071
1932,1868245
1933,1869937
1934,1872113
1935,1873806
1936,1875985
1937,1877680
1938,1879861
1939,1881558
1940,1883741
1941,1885440
1942,1887625
1943,1889325
1944,1891513
1945,1893215
1946,1895405
1947,1897109
1948,1899301
1949,1901007
1950,1903201
1951,1904908
1952,1907105
1953,1908814
1954,1911013
1955,1912724
1956,1914925
1957,1916638
1958,1918841
1959,1920555
1960,1922761
1961,1924477
1962,1926685
1963,1928403
1964,1930613
1965,1932333
1966,1934545
1967,1936266
1968,1938481
1969,1940204
1970,1942421
1971,1944146
1972,1946365
1973,1948092
1974,1950313
1975,1952041
1976,1954265
1977,1955995
1978,1958221
1979,1959953
1980,1962181
1981,1963915
1982,1966145
1983,1967880
1984,1970113
1985,1971850
1986,1974085
1987,1975824
1988,1978061
1989,1979802
1990,1982041
1991,1983783
1992,1986025
1993,1987769
1994,1990013
1995,1991759
1996,1994005
1997,1995753
1998,1998001
1999,1999750
2000,2002001
2001,2003752
2002,2006005
2003,2007758
2004,2010013
2005,2011768
2006,2014025
2007,2015781
2008,2018041
2009,2019799
2010,2022061
2011,2023821
2012,2026085
2013,2027847
2014,2030113
2015,2031876
2016,2034145
2017,2035910
2018,2038181
2019,2039948
2020,2042221
2021,2043990
2022,2046265
2023,2048035
2024,2050313
2025,2052085
2026,2054365
2027,2056139
2028,2058421
2029,2060197
2030,2062481
2031,2064258
2032,2066545
2033,2068324
2034,2070613
2035,2072394
2036,2074685
2037,2076468
2038,2078761
2039,2080545
2040,2082841
2041,2084627
2042,2086925
2043,2088713
2044,2091013
2045,2092803
2046,2095105
2047,2096896
2048,2099201
2049,2100994
2050,2103301
2051,2105096
2052,2107405
2053,2109202
2054,2111513
2055,2113311
2056,2115625
2057,2117425
2058,2119741
2059,2121543
2060,2123861
2061,2125665
2062,2127985
2063,2129790
2064,2132113
2065,2133920
2066,2136245
2067,2138054
2068,2140381
2069,2142192
2070,2144521
2071,2146333
2072,2148665
2073,2150479
2074,2152813
2075,2154629
2076,2156965
2077,2158783
2078,2161121
2079,2162940
2080,2165281
2081,2167102
2082,2169445
2083,2171268
2084,2173613
2085,2175438
2086,2177785
2087,2179611
2088,2181961
2089,2183789
2090,2186141
2091,2187971
2092,2190325
2093,2192157
2094,2194513
2095,2196346
2096,2198705
2097,2200540
2098,2202901
2099,2204738
2100,2207101
2101,2208940
2102,2211305
2103,2213145
2104,2215513
2105,2217355
2106,2219725
2107,2221569
2108,2223941
2109,2225787
2110,2228161
2111,2230008
2112,2232385
2113,2234234
2114,2236613
2115,2238464
2116,2240845
2117,2242698
2118,2245081
2119,2246935
2120,2249321
2121,2251177
2122,2253565
2123,2255423
2124,2257813
2125,2259673
2126,2262065
2127,2263926
2128,2266321
2129,2268184
2130,2270581
2131,2272446
2132,2274845
2133,2276712
2134,2279113
2135,2280981
2136,2283385
2137,2285255
2138,2287661
2139,2289533
2140,2291941
2141,2293815
2142,2296225
2143,2298100
2144,2300513
2145,2302390
2146,2304805
2147,2306684
2148,2309101
2149,2310982
2150,2313401
2151,2315283
2152,2317705
2153,2319589
2154,2322013
2155,2323899
2156,2326325
2157,2328213
2158,2330641
2159,2332530
2160,2334961
2161,2336852
2162,2339285
2163,2341178
2164,2343613
2165,2345508
2166,2347945
2167,2349841
2168,2352281
2169,2354179
2170,2356621
2171,2358521
2172,2360965
2173,2362867
2174,2365313
2175,2367216
2176,2369665
2177,2371570
2178,2374021
2179,2375928
2180,2378381
2181,2380290
2182,2382745
2183,2384655
2184,2387113
2185,2389025
2186,2391485
2187,2393399
2188,2395861
2189,2397777
2190,2400241
2191,2402158
2192,2404625
2193,2406544
2194,2409013
2195,2410934
2196,2413405
2197,2415328
2198,2417801
2199,2419725
2200,2422201
2201,2424127
2202,2426605
2203,2428533
2204,2431013
2205,2432943
2206,2435425
2207,2437356
2208,2439841
2209,2441774
2210,2444261
2211,2446196
2212,2448685
2213,2450622
2214,2453113
2215,2455051
2216,2457545
2217,2459485
2218,2461981
2219,2463923
2220,2466421
2221,2468365
2222,2470865
2223,2472810
2224,2475313
2225,2477260
2226,2479765
2227,2481714
2228,2484221
2229,2486172
2230,2488681
2231,2490633
2232,2493145
2233,2495099
2234,2497613
2235,2499569
2236,2502085
2237,2504043
2238,2506561
2239,2508520
2240,2511041
2241,2513002
2242,2515525
2243,2517488
2244,2520013
2245,2521978
2246,2524505
2247,2526471
2248,2529001
2249,2530969
2250,2533501
2251,2535471
2252,2538005
2253,2539977
2254,2542513
2255,2544486
2256,2547025
2257,2549000
2258,2551541
2259,2553518
2260,2556061
2261,2558040
2262,2560585
2263,2562565
2264,2565113
2265,2567095
2266,2569645
2267,2571629
2268,2574181
2269,2576167
2270,2578721
2271,2580708
2272,2583265
2273,2585254
2274,2587813
2275,2589804
2276,2592365
2277,2594358
2278,2596921
2279,2598915
2280,2601481
2281,2603477
2282,2606045
2283,2608043
2284,2610613
2285,2612613
2286,2615185
2287,2617186
2288,2619761
2289,2621764
2290,2624341
2291,2626346
2292,2628925
2293,2630932
2294,2633513
2295,2635521
2296,2638105
2297,2640115
2298,2642701
2299,2644713
2300,2647301
2301,2649315
2302,2651905
2303,2653920
2304,2656513
2305,2658530
2306,2661125
2307,2663144
2308,2665741
2309,2667762
2310,2670361
2311,2672383
2312,2674985
2313,2677009
2314,2679613
2315,2681639
2316,2684245
2317,2686273
2318,2688881
2319,2690910
2320,2693521
2321,2695552
2322,2698165
2323,2700198
2324,2702813
2325,2704848
2326,2707465
2327,2709501
2328,2712121
2329,2714159
2330,2716781
2331,2718821
2332,2721445
2333,2723487
2334,2726113
2335,2728156
2336,2730785
2337,2732830
2338,2735461
2339,2737508
2340,2740141
2341,2742190
2342,2744825
2343,2746875
2344,2749513
2345,2751565
2346,2754205
2347,2756259
