r,N,Re(z),Im(z),Re(comb),Im(comb),Re(quotient formula),Im(quotient formula),absolute error
1,7,0.187,0.0,0.0,-0.000001364271646090932838953633348818057001865,0.0,-0.000001364271646090932838953633348818057001865,8.11289568175e-91
1,7,0.73,0.09,0.002259553341675008650650292192690745834735,-0.005058002584352933368398413223333716131209,0.002259553341675008650650292192690745834735,-0.005058002584352933368398413223333716131209,1.24147036435e-90
1,7,2.11,-0.03,0.02719921731200167497158409197286813208759,0.04251082324517514722094834004573386555397,0.02719921731200167497158409197286813208759,0.04251082324517514722094834004573386555397,3.63470487147e-90
2,6,0.187,0.0,-0.000000002302964337005998234756615628793100105643,0.0,-0.000000002302964337005998234756615628793100105643,0.0,1.2971660253e-90
2,6,0.73,0.09,-0.000002783863416662108765237706216936811682603,-0.000001049151329427938390184464970830743750843,-0.000002783863416662108765237706216936811682603,-0.000001049151329427938390184464970830743750843,4.24793766449e-91
2,6,2.11,-0.03,-0.000149078377370920636591942245065326321934,0.00004763318985935371447522057095150856156827,-0.000149078377370920636591942245065326321934,0.00004763318985935371447522057095150856156827,7.71425754079e-91
3,5,0.187,0.0,0.0,0.000000001965783515521367694973413306121683869395,0.0,0.000000001965783515521367694973413306121683869395,2.1786179545e-92
3,5,0.73,0.09,-0.0000001658377923617242086088789475124059767514,0.0000006521891406581918101291329162280807915424,-0.0000001658377923617242086088789475124059767514,0.0000006521891406581918101291329162280807915424,8.94949175601e-91
3,5,2.11,-0.03,0.000005460533139029037430957242579688564283968,0.0000171222452523127022345504923556336692386,0.000005460533139029037430957242579688564283968,0.0000171222452523127022345504923556336692386,5.20185312847e-91
