m,r,classification
5,2,symmetry
8,5,exceptional
9,4,symmetry
13,6,symmetry
17,8,symmetry
21,10,symmetry
25,12,symmetry
29,14,symmetry
33,16,symmetry
37,18,symmetry
41,20,symmetry
45,22,symmetry
49,24,symmetry
53,26,symmetry
57,28,symmetry
61,30,symmetry
65,32,symmetry
69,34,symmetry
73,36,symmetry
77,38,symmetry
81,40,symmetry
85,42,symmetry
89,44,symmetry
93,46,symmetry
97,48,symmetry
101,50,symmetry
105,52,symmetry
109,54,symmetry
113,56,symmetry
117,58,symmetry
121,60,symmetry
125,62,symmetry
129,64,symmetry
133,66,symmetry
137,68,symmetry
141,70,symmetry
145,72,symmetry
149,74,symmetry
153,76,symmetry
157,78,symmetry
161,80,symmetry
165,82,symmetry
169,84,symmetry
173,86,symmetry
177,88,symmetry
181,90,symmetry
185,92,symmetry
189,94,symmetry
193,96,symmetry
197,98,symmetry
201,100,symmetry
205,102,symmetry
209,104,symmetry
213,106,symmetry
217,108,symmetry
221,110,symmetry
225,112,symmetry
229,114,symmetry
233,116,symmetry
237,118,symmetry
241,120,symmetry
245,122,symmetry
249,124,symmetry
253,126,symmetry
257,128,symmetry
261,130,symmetry
265,132,symmetry
269,134,symmetry
273,136,symmetry
277,138,symmetry
281,140,symmetry
285,142,symmetry
289,144,symmetry
293,146,symmetry
297,148,symmetry
301,150,symmetry
305,152,symmetry
309,154,symmetry
313,156,symmetry
317,158,symmetry
321,160,symmetry
325,162,symmetry
329,164,symmetry
333,166,symmetry
337,168,symmetry
341,170,symmetry
345,172,symmetry
349,174,symmetry
353,176,symmetry
357,178,symmetry
361,180,symmetry
365,182,symmetry
369,184,symmetry
373,186,symmetry
377,188,symmetry
381,190,symmetry
385,192,symmetry
389,194,symmetry
393,196,symmetry
397,198,symmetry
401,200,symmetry
405,202,symmetry
409,204,symmetry
413,206,symmetry
417,208,symmetry
421,210,symmetry
425,212,symmetry
429,214,symmetry
433,216,symmetry
437,218,symmetry
441,220,symmetry
445,222,symmetry
449,224,symmetry
453,226,symmetry
457,228,symmetry
461,230,symmetry
465,232,symmetry
469,234,symmetry
473,236,symmetry
477,238,symmetry
481,240,symmetry
485,242,symmetry
489,244,symmetry
493,246,symmetry
497,248,symmetry
501,250,symmetry
505,252,symmetry
509,254,symmetry
513,256,symmetry
517,258,symmetry
521,260,symmetry
525,262,symmetry
529,264,symmetry
533,266,symmetry
537,268,symmetry
541,270,symmetry
545,272,symmetry
549,274,symmetry
553,276,symmetry
557,278,symmetry
561,280,symmetry
565,282,symmetry
569,284,symmetry
573,286,symmetry
577,288,symmetry
581,290,symmetry
585,292,symmetry
589,294,symmetry
593,296,symmetry
597,298,symmetry
601,300,symmetry
605,302,symmetry
609,304,symmetry
613,306,symmetry
617,308,symmetry
621,310,symmetry
625,312,symmetry
629,314,symmetry
633,316,symmetry
637,318,symmetry
641,320,symmetry
645,322,symmetry
649,324,symmetry
653,326,symmetry
657,328,symmetry
661,330,symmetry
665,332,symmetry
669,334,symmetry
673,336,symmetry
677,338,symmetry
681,340,symmetry
685,342,symmetry
689,344,symmetry
693,346,symmetry
697,348,symmetry
701,350,symmetry
705,352,symmetry
709,354,symmetry
713,356,symmetry
717,358,symmetry
721,360,symmetry
725,362,symmetry
729,364,symmetry
733,366,symmetry
737,368,symmetry
741,370,symmetry
745,372,symmetry
749,374,symmetry
753,376,symmetry
757,378,symmetry
761,380,symmetry
765,382,symmetry
769,384,symmetry
773,386,symmetry
777,388,symmetry
781,390,symmetry
785,392,symmetry
789,394,symmetry
793,396,symmetry
797,398,symmetry
801,400,symmetry
805,402,symmetry
809,404,symmetry
813,406,symmetry
817,408,symmetry
821,410,symmetry
825,412,symmetry
829,414,symmetry
833,416,symmetry
837,418,symmetry
841,420,symmetry
845,422,symmetry
849,424,symmetry
853,426,symmetry
857,428,symmetry
861,430,symmetry
865,432,symmetry
869,434,symmetry
873,436,symmetry
877,438,symmetry
881,440,symmetry
885,442,symmetry
889,444,symmetry
893,446,symmetry
897,448,symmetry
901,450,symmetry
905,452,symmetry
909,454,symmetry
913,456,symmetry
917,458,symmetry
921,460,symmetry
925,462,symmetry
929,464,symmetry
933,466,symmetry
937,468,symmetry
941,470,symmetry
945,472,symmetry
949,474,symmetry
953,476,symmetry
957,478,symmetry
961,480,symmetry
965,482,symmetry
969,484,symmetry
973,486,symmetry
977,488,symmetry
981,490,symmetry
985,492,symmetry
989,494,symmetry
993,496,symmetry
997,498,symmetry
1001,500,symmetry
1005,502,symmetry
1009,504,symmetry
1013,506,symmetry
1017,508,symmetry
1021,510,symmetry
1025,512,symmetry
1029,514,symmetry
1033,516,symmetry
1037,518,symmetry
1041,520,symmetry
1045,522,symmetry
1049,524,symmetry
1053,526,symmetry
1057,528,symmetry
1061,530,symmetry
1065,532,symmetry
1069,534,symmetry
1073,536,symmetry
1077,538,symmetry
1081,540,symmetry
1085,542,symmetry
1089,544,symmetry
1093,546,symmetry
1097,548,symmetry
1101,550,symmetry
1105,552,symmetry
1109,554,symmetry
1113,556,symmetry
1117,558,symmetry
1121,560,symmetry
1125,562,symmetry
1129,564,symmetry
1133,566,symmetry
1137,568,symmetry
1141,570,symmetry
1145,572,symmetry
1149,574,symmetry
1153,576,symmetry
1157,578,symmetry
1161,580,symmetry
1165,582,symmetry
1169,584,symmetry
1173,586,symmetry
1177,588,symmetry
1181,590,symmetry
1185,592,symmetry
1189,594,symmetry
1193,596,symmetry
1197,598,symmetry
1201,600,symmetry
1205,602,symmetry
1209,604,symmetry
1213,606,symmetry
1217,608,symmetry
1221,610,symmetry
1225,612,symmetry
1229,614,symmetry
1233,616,symmetry
1237,618,symmetry
1241,620,symmetry
1245,622,symmetry
1249,624,symmetry
1253,626,symmetry
1257,628,symmetry
1261,630,symmetry
1265,632,symmetry
1269,634,symmetry
1273,636,symmetry
1277,638,symmetry
1281,640,symmetry
1285,642,symmetry
1289,644,symmetry
1293,646,symmetry
1297,648,symmetry
1301,650,symmetry
1305,652,symmetry
1309,654,symmetry
1313,656,symmetry
1317,658,symmetry
1321,660,symmetry
1325,662,symmetry
1329,664,symmetry
1333,666,symmetry
1337,668,symmetry
1341,670,symmetry
1345,672,symmetry
1349,674,symmetry
1353,676,symmetry
1357,678,symmetry
1361,680,symmetry
1365,682,symmetry
1369,684,symmetry
1373,686,symmetry
1377,688,symmetry
1381,690,symmetry
1385,692,symmetry
1389,694,symmetry
1393,696,symmetry
1397,698,symmetry
1401,700,symmetry
1405,702,symmetry
1409,704,symmetry
1413,706,symmetry
1417,708,symmetry
1421,710,symmetry
1425,712,symmetry
1429,714,symmetry
1433,716,symmetry
1437,718,symmetry
1441,720,symmetry
1445,722,symmetry
1449,724,symmetry
1453,726,symmetry
1457,728,symmetry
1461,730,symmetry
1465,732,symmetry
1469,734,symmetry
1473,736,symmetry
1477,738,symmetry
1481,740,symmetry
1485,742,symmetry
1489,744,symmetry
1493,746,symmetry
1497,748,symmetry
1501,750,symmetry
1505,752,symmetry
1509,754,symmetry
1513,756,symmetry
1517,758,symmetry
1521,760,symmetry
1525,762,symmetry
1529,764,symmetry
1533,766,symmetry
1537,768,symmetry
1541,770,symmetry
1545,772,symmetry
1549,774,symmetry
1553,776,symmetry
1557,778,symmetry
1561,780,symmetry
1565,782,symmetry
1569,784,symmetry
1573,786,symmetry
1577,788,symmetry
1581,790,symmetry
1585,792,symmetry
1589,794,symmetry
1593,796,symmetry
1597,798,symmetry
1601,800,symmetry
1605,802,symmetry
1609,804,symmetry
1613,806,symmetry
1617,808,symmetry
1621,810,symmetry
1625,812,symmetry
1629,814,symmetry
1633,816,symmetry
1637,818,symmetry
1641,820,symmetry
1645,822,symmetry
1649,824,symmetry
1653,826,symmetry
1657,828,symmetry
1661,830,symmetry
1665,832,symmetry
1669,834,symmetry
1673,836,symmetry
1677,838,symmetry
1681,840,symmetry
1685,842,symmetry
1689,844,symmetry
1693,846,symmetry
1697,848,symmetry
1701,850,symmetry
1705,852,symmetry
1709,854,symmetry
1713,856,symmetry
1717,858,symmetry
1721,860,symmetry
1725,862,symmetry
1729,864,symmetry
1733,866,symmetry
1737,868,symmetry
1741,870,symmetry
1745,872,symmetry
1749,874,symmetry
1753,876,symmetry
1757,878,symmetry
1761,880,symmetry
1765,882,symmetry
1769,884,symmetry
1773,886,symmetry
1777,888,symmetry
1781,890,symmetry
1785,892,symmetry
1789,894,symmetry
1793,896,symmetry
1797,898,symmetry
1801,900,symmetry
1805,902,symmetry
1809,904,symmetry
1813,906,symmetry
1817,908,symmetry
1821,910,symmetry
1825,912,symmetry
1829,914,symmetry
1833,916,symmetry
1837,918,symmetry
1841,920,symmetry
1845,922,symmetry
1849,924,symmetry
1853,926,symmetry
1857,928,symmetry
1861,930,symmetry
1865,932,symmetry
1869,934,symmetry
1873,936,symmetry
1877,938,symmetry
1881,940,symmetry
1885,942,symmetry
1889,944,symmetry
1893,946,symmetry
1897,948,symmetry
1901,950,symmetry
1905,952,symmetry
1909,954,symmetry
1913,956,symmetry
1917,958,symmetry
1921,960,symmetry
1925,962,symmetry
1929,964,symmetry
1933,966,symmetry
1937,968,symmetry
1941,970,symmetry
1945,972,symmetry
1949,974,symmetry
1953,976,symmetry
1957,978,symmetry
1961,980,symmetry
1965,982,symmetry
1969,984,symmetry
1973,986,symmetry
1977,988,symmetry
1981,990,symmetry
1985,992,symmetry
1989,994,symmetry
1993,996,symmetry
1997,998,symmetry
2001,1000,symmetry
2005,1002,symmetry
2009,1004,symmetry
2013,1006,symmetry
2017,1008,symmetry
2021,1010,symmetry
2025,1012,symmetry
2029,1014,symmetry
2033,1016,symmetry
2037,1018,symmetry
2041,1020,symmetry
2045,1022,symmetry
2049,1024,symmetry
2053,1026,symmetry
2057,1028,symmetry
2061,1030,symmetry
2065,1032,symmetry
2069,1034,symmetry
2073,1036,symmetry
2077,1038,symmetry
2081,1040,symmetry
2085,1042,symmetry
2089,1044,symmetry
2093,1046,symmetry
2097,1048,symmetry
2101,1050,symmetry
2105,1052,symmetry
2109,1054,symmetry
2113,1056,symmetry
2117,1058,symmetry
2121,1060,symmetry
2125,1062,symmetry
2129,1064,symmetry
2133,1066,symmetry
2137,1068,symmetry
2141,1070,symmetry
2145,1072,symmetry
2149,1074,symmetry
2153,1076,symmetry
2157,1078,symmetry
2161,1080,symmetry
2165,1082,symmetry
2169,1084,symmetry
2173,1086,symmetry
2177,1088,symmetry
2181,1090,symmetry
2185,1092,symmetry
2189,1094,symmetry
2193,1096,symmetry
2197,1098,symmetry
2201,1100,symmetry
2205,1102,symmetry
2209,1104,symmetry
2213,1106,symmetry
2217,1108,symmetry
2221,1110,symmetry
2225,1112,symmetry
2229,1114,symmetry
2233,1116,symmetry
2237,1118,symmetry
2241,1120,symmetry
2245,1122,symmetry
2249,1124,symmetry
2253,1126,symmetry
2257,1128,symmetry
2261,1130,symmetry
2265,1132,symmetry
2269,1134,symmetry
2273,1136,symmetry
2277,1138,symmetry
2281,1140,symmetry
2285,1142,symmetry
2289,1144,symmetry
2293,1146,symmetry
2297,1148,symmetry
2301,1150,symmetry
2305,1152,symmetry
2309,1154,symmetry
2313,1156,symmetry
2317,1158,symmetry
2321,1160,symmetry
2325,1162,symmetry
2329,1164,symmetry
2333,1166,symmetry
2337,1168,symmetry
2341,1170,symmetry
2345,1172,symmetry
2349,1174,symmetry
2353,1176,symmetry
2357,1178,symmetry
2361,1180,symmetry
2365,1182,symmetry
2369,1184,symmetry
2373,1186,symmetry
2377,1188,symmetry
2381,1190,symmetry
2385,1192,symmetry
2389,1194,symmetry
2393,1196,symmetry
2397,1198,symmetry
2401,1200,symmetry
2405,1202,symmetry
2409,1204,symmetry
2413,1206,symmetry
2417,1208,symmetry
2421,1210,symmetry
2425,1212,symmetry
2429,1214,symmetry
2433,1216,symmetry
2437,1218,symmetry
2441,1220,symmetry
2445,1222,symmetry
2449,1224,symmetry
2453,1226,symmetry
2457,1228,symmetry
2461,1230,symmetry
2465,1232,symmetry
2469,1234,symmetry
2473,1236,symmetry
2477,1238,symmetry
2481,1240,symmetry
2485,1242,symmetry
2489,1244,symmetry
2493,1246,symmetry
2497,1248,symmetry
2501,1250,symmetry
2505,1252,symmetry
2509,1254,symmetry
2513,1256,symmetry
2517,1258,symmetry
2521,1260,symmetry
2525,1262,symmetry
2529,1264,symmetry
2533,1266,symmetry
