order_n,max_previous_inner_product,computed_residual_norm_squared,q_pochhammer_norm_squared,absolute_norm_error,triangular_inversion_sup_error
0,0.00000000000000000e+00,1.00000000000000000e+00,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
1,0.00000000000000000e+00,8.88888888888888840e-01,8.88888888888888840e-01,0.00000000000000000e+00,0.00000000000000000e+00
2,5.20417042793042128e-18,8.77914951989026138e-01,8.77914951989025916e-01,2.22044604925031308e-16,0.00000000000000000e+00
3,5.55111512312578270e-17,8.76710679078204325e-01,8.76710679078204214e-01,1.11022302462515654e-16,6.93889390390722838e-18
4,6.82369742308064353e-18,8.76577054527209354e-01,8.76577054527209132e-01,2.22044604925031308e-16,6.93889390390722838e-18
5,5.55111512312578270e-17,8.76562209617820054e-01,8.76562209617819832e-01,2.22044604925031308e-16,2.77555756156289135e-17
6,1.11022302462515654e-16,8.76560560211376849e-01,8.76560560211376627e-01,2.22044604925031308e-16,3.46944695195361419e-17
7,5.55111512312578270e-17,8.76560376944339081e-01,8.76560376944338970e-01,1.11022302462515654e-16,3.46944695195361419e-17
8,5.55111512312578270e-17,8.76560356581339128e-01,8.76560356581339017e-01,1.11022302462515654e-16,3.46944695195361419e-17
9,4.16333634234433703e-17,8.76560354318783652e-01,8.76560354318783541e-01,1.11022302462515654e-16,3.46944695195361419e-17
10,3.29597460435593348e-17,8.76560354067388636e-01,8.76560354067388414e-01,2.22044604925031308e-16,3.46944695195361419e-17
11,1.38777878078144568e-17,8.76560354039455758e-01,8.76560354039455647e-01,1.11022302462515654e-16,3.46944695195361419e-17
12,8.67361737988403547e-18,8.76560354036352130e-01,8.76560354036352019e-01,1.11022302462515654e-16,3.46944695195361419e-17
13,1.38777878078144568e-17,8.76560354036007294e-01,8.76560354036007072e-01,2.22044604925031308e-16,3.46944695195361419e-17
14,5.55111512312578270e-17,8.76560354035968992e-01,8.76560354035968770e-01,2.22044604925031308e-16,3.46944695195361419e-17
15,5.55111512312578270e-17,8.76560354035964662e-01,8.76560354035964440e-01,2.22044604925031308e-16,5.55111512312578270e-17
16,1.11022302462515654e-16,8.76560354035964218e-01,8.76560354035963996e-01,2.22044604925031308e-16,5.55111512312578270e-17
17,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
18,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
19,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
20,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
21,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
22,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
23,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
24,5.55111512312578270e-17,8.76560354035964218e-01,8.76560354035963885e-01,3.33066907387546962e-16,5.55111512312578270e-17
