step_n,log_x_midpoint,log_tail_probability,leading_gamma_sqrt_log_x,loglog_correction,bounded_remainder
45,1.05014767460051803e+03,-1.86513949729755630e+01,1.77284777416160964e+01,1.28375292214950654e+00,-3.60835690790039854e-01
46,1.09779921663259393e+03,-1.90568600810837268e+01,1.81262396343595213e+01,1.29194197582475945e+00,-3.61321529100554040e-01
47,1.14652809114612819e+03,-1.94623251891918905e+01,1.85241636410174202e+01,1.29995649513200107e+00,-3.61794946957530783e-01
48,1.19633474160013043e+03,-1.98677902973000542e+01,1.89222430411623428e+01,1.30780369918599759e+00,-3.62256443048286192e-01
49,1.24721959334554072e+03,-2.02732554054082179e+01,1.93204715241237110e+01,1.31549037094638743e+00,-3.62706489661880571e-01
50,1.29918305471231201e+03,-2.06787205135163852e+01,1.97188431563650859e+01,1.32302289149776553e+00,-3.63145534346466237e-01
51,1.35222551801117493e+03,-2.10841856216245489e+01,2.01173523520400863e+01,1.33040727103955425e+00,-3.63574001455091667e-01
52,1.40634736045829231e+03,-2.14896507297327126e+01,2.05159938463629210e+01,1.33764917695624175e+00,-3.63992293586450133e-01
53,1.46154894503008609e+03,-2.18951158378408763e+01,2.09147626714773622e+01,1.34475395929091857e+00,-3.64400792927404460e-01
54,1.51783062125470769e+03,-2.23005809459490401e+01,2.13136541345484254e+01,1.35172667390423218e+00,-3.64799862503617511e-01
55,1.57519272594591212e+03,-2.27060460540572038e+01,2.17126637978358907e+01,1.35857210356586289e+00,-3.65189847344549845e-01
56,1.63363558388448382e+03,-2.31115111621653710e+01,2.21117874605386326e+01,1.36529477719546533e+00,-3.65571075568726922e-01
57,1.69315950845181783e+03,-2.35169762702735348e+01,2.25110211422245250e+01,1.37189898744398420e+00,-3.65943859394974425e-01
58,1.75376480221978454e+03,-2.39224413783816985e+01,2.29103610676826932e+01,1.37838880678372910e+00,-3.66308496084723823e-01
59,1.81545175750058115e+03,-2.43279064864898622e+01,2.33098036530543951e+01,1.38476810225603630e+00,-3.66665268820569157e-01
60,1.87822065685991197e+03,-2.47333715945980259e+01,2.37093454931151868e+01,1.39104054900834728e+00,-3.67014447525508158e-01
61,1.94207177359649995e+03,-2.51388367027061932e+01,2.41089833495957322e+01,1.39720964273770676e+00,-3.67356289627245758e-01
62,2.00700537219064654e+03,-2.55443018108143569e+01,2.45087141404412101e+01,1.40327871114473157e+00,-3.67691040771584765e-01
63,2.07302170872430406e+03,-2.59497669189225206e+01,2.49085349299203038e+01,1.40925092449075873e+00,-3.68018935488541921e-01
64,2.14012103127487762e+03,-2.63552320270306843e+01,2.53084429195044542e+01,1.41512930534092085e+00,-3.68340197814690740e-01
65,2.20830358028478577e+03,-2.67606971351388481e+01,2.57084354394465535e+01,1.42091673756715609e+00,-3.68655041874861533e-01
66,2.27756958890861461e+03,-2.71661622432470153e+01,2.61085099409957699e+01,1.42661597467742829e+00,-3.68963672426182887e-01
67,2.34791928333953683e+03,-2.75716273513551791e+01,2.65086639891917066e+01,1.43222964753064130e+00,-3.69266285367168878e-01
68,2.41935288311652403e+03,-2.79770924594633428e+01,2.69088952561869412e+01,1.43776027149069408e+00,-3.69563068214292523e-01
69,2.49187060141374241e+03,-2.83825575675715065e+01,2.73092015150522052e+01,1.44321025306779283e+00,-3.69854200548491496e-01
70,2.56547264531340716e+03,-2.87880226756796702e+01,2.77095806340229203e+01,1.44858189609039956e+00,-3.70139854433649607e-01
71,2.64015921606325628e+03,-2.91934877837878375e+01,2.81100305711499416e+01,1.45387740744697358e+00,-3.70420194809077730e-01
72,2.71593050931971993e+03,-2.95989528918960012e+01,2.85105493693208878e+01,1.45909890243292706e+00,-3.70695379857813645e-01
73,2.79278671537775790e+03,-3.00044180000041649e+01,2.89111351516216892e+01,1.46424840973484582e+00,-3.70965561352370132e-01
74,2.87072801938826979e+03,-3.04098831081123286e+01,2.93117861170108753e+01,1.46932787608105619e+00,-3.71230884979602882e-01
75,2.94975460156390909e+03,-3.08153482162204924e+01,2.97125005362816346e+01,1.47433917058492492e+00,-3.71491490646067124e-01
76,3.02986663737405797e+03,-3.12208133243286561e+01,3.01132767482889321e+01,1.47928408880489082e+00,-3.71747512765166821e-01
77,3.11106429772967294e+03,-3.16262784324368234e+01,3.05141131564211747e+01,1.48416435654306311e+00,-3.71999080527414483e-01
78,3.19334774915864909e+03,-3.20317435405449871e+01,3.09150082252975729e+01,1.48898163340229717e+00,-3.72246318154882960e-01
79,3.27671715397230173e+03,-3.24372086486531543e+01,3.13159604776741567e+01,1.49373751611990135e+00,-3.72489345140903705e-01
80,3.36117267042351978e+03,-3.28426737567613145e+01,3.17169684915427652e+01,1.49843354169456955e+00,-3.72728276476020248e-01
81,3.44671445285711025e+03,-3.32481388648694818e+01,3.21180308974088149e+01,1.50307119032171399e+00,-3.72963222861047106e-01
82,3.53334265185280719e+03,-3.36536039729776419e+01,3.25191463757347492e+01,1.50765188815108342e+00,-3.73194290908190673e-01
83,3.62105741436138214e+03,-3.40590690810858092e+01,3.29203136545372388e+01,1.51217700987940673e+00,-3.73421583330836304e-01
84,3.70985888383427891e+03,-3.44645341891939694e+01,3.33215315071271192e+01,1.51664788118973926e+00,-3.73645199122889071e-01
85,3.79974720034713846e+03,-3.48699992973021367e+01,3.37227987499821111e+01,1.52106578104824375e+00,-3.73865233728218227e-01
86,3.89072250071758435e+03,-3.52754644054103039e+01,3.41241142407429408e+01,1.52543194386827308e+00,-3.74081779200909903e-01
87,3.98278491861758630e+03,-3.56809295135184641e+01,3.45254768763245110e+01,1.52974756155082958e+00,-3.74294924356876502e-01
88,4.07593458468071685e+03,-3.60863946216266314e+01,3.49268855911341660e+01,1.53401378540977062e+00,-3.74504754917305283e-01
89,4.17017162660458962e+03,-3.64918597297347915e+01,3.53283393553899145e+01,1.53823172798946617e+00,-3.74711353644589185e-01
90,4.26549616924873771e+03,-3.68973248378429588e+01,3.57298371735319336e+01,1.54240246478203002e+00,-3.74914800471004783e-01
91,4.36190833472819486e+03,-3.73027899459511261e+01,3.61313780827212270e+01,1.54652703585070039e+00,-3.75115172620801296e-01
92,4.45940824250300284e+03,-3.77082550540592862e+01,3.65329611514197268e+01,1.55060644736544218e+00,-3.75312544725882713e-01
93,4.55799600946386727e+03,-3.81137201621674535e+01,3.69345854780466567e+01,1.55464167305640277e+00,-3.75506988935605968e-01
94,4.65767175001417672e+03,-3.85191852702756137e+01,3.73362501897062273e+01,1.55863365559042899e+00,-3.75698575021042647e-01
95,4.75843557614855490e+03,-3.89246503783837809e+01,3.77379544409821932e+01,1.56258330787546940e+00,-3.75887370473881655e-01
96,4.86028759752814949e+03,-3.93301154864919482e+01,3.81396974127951438e+01,1.56649151429734745e+00,-3.76073440600543041e-01
97,4.96322792155281240e+03,-3.97355805946001084e+01,3.85414783113185280e+01,1.57035913189305942e+00,-3.76256848611479011e-01
98,5.06725665343032597e+03,-4.01410457027082757e+01,3.89432963669499799e+01,1.57418699146446306e+00,-3.76437655706167273e-01
99,5.17237389624285061e+03,-4.05465108108164358e+01,3.93451508333345217e+01,1.57797589863594823e+00,-3.76615921154034083e-01
100,5.27857975101068860e+03,-4.09519759189246031e+01,3.97470409864364314e+01,1.58172663485942988e+00,-3.76791702371258141e-01
101,5.38587431675354674e+03,-4.13574410270327704e+01,4.01489661236571536e+01,1.58543995836978113e+00,-3.76965054994164328e-01
102,5.49425769054937973e+03,-4.17629061351409305e+01,4.05509255629962411e+01,1.58911660509360275e+00,-3.77136032948913291e-01
103,5.60372996759095076e+03,-4.21683712432490978e+01,4.09529186422530458e+01,1.59275728951403117e+00,-3.77304688517979159e-01
104,5.71429124124022746e+03,-4.25738363513572580e+01,4.13549447182667507e+01,1.59636270549411652e+00,-3.77471072403609220e-01
105,5.82594160308068604e+03,-4.29793014594654252e+01,4.17570031661924332e+01,1.59993352706111813e+00,-3.77635233788126135e-01
106,5.93868114296766089e+03,-4.33847665675735925e+01,4.21590933788113844e+01,1.60347040915392625e+00,-3.77797220391718147e-01
107,6.05250994907679797e+03,-4.37902316756817527e+01,4.25612147658734656e+01,1.60697398833566130e+00,-3.77957078527374257e-01
108,6.16742810795072000e+03,-4.41956967837899199e+01,4.29633667534699697e+01,1.61044488347338599e+00,-3.78114853153435737e-01
109,6.28343570454397559e+03,-4.46011618918980801e+01,4.33655487834351234e+01,1.61388369638672202e+00,-3.78270587923765333e-01
110,6.40053282226635656e+03,-4.50066270000062474e+01,4.37677603127748469e+01,1.61729101246706963e+00,-3.78424325235669157e-01
111,6.51871954302465565e+03,-4.54120921081144076e+01,4.41700008131211490e+01,1.62066740126900655e+00,-3.78576106275748003e-01
112,6.63799594726292253e+03,-4.58175572162225748e+01,4.45722697702108235e+01,1.62401341707535485e+00,-3.78725971063603506e-01
113,6.75836211400130833e+03,-4.62230223243307421e+01,4.49745666833872590e+01,1.62732959943730493e+00,-3.78873958493821883e-01
114,6.87981812087353683e+03,-4.66284874324389023e+01,4.53768910651239921e+01,1.63061647369090701e+00,-3.79020106375996813e-01
115,7.00236404416307596e+03,-4.70339525405470695e+01,4.57792424405689928e+01,1.63387455145115768e+00,-3.79164451473080977e-01
116,7.12599995883806605e+03,-4.74394176486552297e+01,4.61816203471085203e+01,1.63710433108483810e+00,-3.79307029538128671e-01
117,7.25072593858504570e+03,-4.78448827567633970e+01,4.65840243339496496e+01,1.64030629816318374e+00,-3.79447875349436359e-01
118,7.37654205584153715e+03,-4.82503478648715642e+01,4.69864539617204073e+01,1.64348092589541950e+00,-3.79587022744262592e-01
119,7.50344838182753756e+03,-4.86558129729797244e+01,4.73889088020867106e+01,1.64662867554410464e+00,-3.79724504651090866e-01
120,7.63144498657596250e+03,-4.90612780810878917e+01,4.77913884373852298e+01,1.64974999682321499e+00,-3.79860353120553107e-01
