depth_m,prefix_variance_exact,prefix_entropy,limit_entropy_minus_prefix_entropy,gap_over_4^(-m),predicted_limit_coefficient,mutual_information_bits_exact,mmse_exact
1,0.083333333333333329,2.2204460492503128e-16,0.29703991285891795,1.1881596514356718,0.65559503124000706,1,0.027777777777777776
2,0.10416666666666666,0.25000000021852808,0.047039912640390091,0.75263860224624146,0.65559503124000706,2,0.0069444444444444441
3,0.109375,0.28646390673184519,0.01057600612707299,0.67686439213267136,0.65559503124000706,3,0.001736111111111111
4,0.11067708333333333,0.29445927122281318,0.0025806416361049966,0.66064425884287914,0.65559503124000706,4,0.00043402777777777775
5,0.11100260416666666,0.2963984737340391,0.00064143912487907295,0.6568336638761707,0.65559503124000706,5,0.00010850694444444444
6,0.111083984375,0.29687978086291389,0.00016013199600428685,0.65590065563355893,0.65559503124000706,6,2.712673611111111e-05
7,0.11110432942708333,0.29699989458969461,4.0018269223562886e-05,0.65565932295885432,0.65559503124000706,7,6.7816840277777774e-06
8,0.11110941569010416,0.29702990998241413,1.0002876504044966e-05,0.65554851456909091,0.65559503124000706,8,1.6954210069444444e-06
9,0.11111068725585938,0.29703741317196042,2.4996869577575964e-06,0.65527793785440736,0.65559503124000706,9,4.2385525173611109e-07
10,0.11111100514729817,0.29703928909276323,6.2376615495018939e-07,0.65406621969304979,0.65559503124000706,10,1.0596381293402777e-07
