degree,nonreal_roots
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4
9,4
10,4
11,4
12,4
13,8
14,8
15,8
16,8
17,8
18,12
19,12
20,12
21,12
22,12
23,16
24,16
25,16
26,16
27,16
28,16
29,20
30,20
