M,Pi_M_product,pi_minus_Pi_M,M2_error_over_log2M2,2M_lambda_2M_center,pi_minus_christoffel,M_times_christoffel_error
1,2.560000000000000000000000000000000000000000000000000000000000000000000,0.5815926535897932384626433832795028841971693993751058209749445923078164,,2.000000000000000000000000000000000000000000000000000000000000000000000,1.141592653589793238462643383279502884197169399375105820974944592307816,1.1415926535897932384626433832795028841971693993751
2,2.735493107361667605963622213587479302076007469547306970893462027506893,0.4060995462281256324990211696920235821211619298277988500814825648009234,1.6243981849125025299960846787680943284846477193112,2.245614035087719298245614035087719298245614035087719298245614035087719,0.8959786185020739402170293481917835859515553642873865227293305572200971,1.7919572370041478804340586963835671719031107285748
3,2.832098741868437318653036989518458233353534499275951783978379841284759,0.3094939117213559198096063937610446508436349000991540369965647510230574,1.1088087297260150739307845735218497871975651315897,2.388174137280529612795699621299866484356867634105931047670021348653194,0.7534185163092636256669437619796363998403017652691747733049232436546222,2.2602555489277908770008312859389091995209052958075
4,2.903376320677856678847091807019018386780671563246294173710637890863396,0.2382163329119365596155515762604844974164978361288116472643067014444205,0.95286533164774623846220630504193798966599134451525,2.485576144381795674081022600609034735123957541839640189836592938190670,0.6560165092079975643816207826704681490732118575354656311383516541171467,2.6240660368319902575264831306818725962928474301419
5,2.945784761445499516106624805340506760220489178419431114873345975333243,0.1958078921442937223560185779389961239766802209556747061015986169745735,0.90797244344038863964210770881452755306476585539277,2.559231591844098742723727277884242201492589523523087706711052737299965,0.5823610617456944957389161053952606827045798758520181142638918550078517,2.9118053087284724786945805269763034135228993792601
6,2.978174934726074102779393828064319050599415333455879062532781845352339,0.1634177188637191356832495552151838335977540659192267584421627469554778,0.88042658953841283731235175462625434784011431668462,2.616454532102057134842258298939481261978521955765869254772973537470769,0.5251381214877361036203850843400216222186474436092365662019710548370471,3.1508287289264166217223105060401297333118846616554
7,3.002744182229054126680877144512548049366137107816767815575860155629300,0.1388484713607391117817662387669548348310322915583380053990844366785162,0.86326182999653425510098726461483731510261353965570,2.662654273163358024726704119758248234056090507331037938877918666624628,0.4789383804264352137359392635212546501410788920440678820970259256831888,3.3525686629850464961515748446487825509875522443085
8,3.021256265345453060828888262613290084867362947275620680546126203310106,0.1203363882443401776337551206662127993298064520994851404288183889977107,0.85572542751530792984003641362640212856751254826301,2.700892051527749910601137385550238366682499396017964206122532735098064,0.4407006020620433278615059977292645175146700033571416148524118572097523,3.5256048164963466228920479818341161401173600268571
9,3.035968120540574172111425869515837064665956877996827649312128713478256,0.1056245330492190663512175137636658195312125213782781716628158788295602,0.85143568172421988115564752371725048335757486091825,2.733092975227478328690976331427971435029633104359838815302609474192010,0.4084996783623149097716670518515314491675362950152670056723351181158062,3.6764971052608341879450034666637830425078266551374
10,3.047823963099633430665134604401723038945331298703750383593180208104538,0.09376869049015980779750877887777984525183810067135543738176438420327853,0.84972304292538004983291234651357425873048786602282,2.760633690311151208579490614804507344244352592757846588815405878460030,0.3809589632786420298831527684749955399528168066172592321595387138477867,3.8095896327864202988315276847499553995281680661726
