M,Pi_M_product,pi_minus_Pi_M,M2_error_over_log2M2,2M_lambda_2M_center,pi_minus_christoffel,M_times_christoffel_error
11,3.057556290769666925770407111020263913539518198728588975015368423385829,0.08403636282012631269223627225923897065765120064651684595957616892198717,0.84965597687958749558738422827737203151316493820693,2.784486097549073411104950050388349669756723689218461948959088021859502,0.3571065560407198273576933328911532144404457101566438720158565704483148,3.9281721164479181009346266618026853588449028117231
12,3.065637261083108188422581768546733629131848113579767267470520818783898,0.07595539250668505004006161473276925506532128579533855350442377352391827,0.85104371731314402706580669238764199211144043910634,2.805365014504136785640226489860629026547398364882063599936095942523476,0.3362276390856564528224168934188738576497710344930422210388486497843404,4.0347316690278774338690027210264862917972524139165
13,3.072509297439688387957274112067518856340883013086888443271026356477924,0.06908335615010485050536927121198402785628638628821737770391823582989211,0.85261597408691493675614010679038214296882531631606,2.823806618595254614898849821291005580310404995093817520663354476800996,0.3177860349945386235637935619884973038867644042812883003115901155068200,4.1312184549290021063293163058504649505279372556567
14,3.078424251274671285482013105012785428199370276609957399342597090389211,0.06316840231512195298063027826671745599779912276514842163234750191860500,0.85410101238368234061244206286154628251755414543035,2.840228104136091383527273460966715087969044342598781677803441809945790,0.3013645494537018549353699223127877962281250567763241431715027823620259,4.2191036923518259690951789123790291471937507948685
15,3.083517573984367713391911837539555387005643150336809734356948167183381,0.05807507960542552507073154573994749719152624903829608661799642512443547,0.85607109237122264431110333655916305584533305520787,2.854955104067107545147299033513962043840190759467701329087565592225624,0.2866375495226856933153443497655408403569786399074044918873790000821929,4.2995632428402853997301652464831126053546795986111
16,3.087961887127237302775976351111774516167057105066355323287054965816277,0.05363076646255593568666703216772836803011229430875049768788962649153897,0.85809226340089497098667251468365388848179670894001,2.868242945717643450289846239978989543601122276937179042925099180458197,0.2733497078721497881727971433005133405960471224379267780498454118496195,4.3735953259543966107647542928082134495367539590068
17,3.091859205019267567922165409224538690196718659993188531284360659684303,0.04973344857052567054047797405496419400045073938191728969058393262351377,0.86027793184407225368449745702280615663903946188314,2.880298415271762908534563308258161433080464028527857233463244102539149,0.2612942383180303299280800750213414511167053708472485875117004897686670,4.4420020514065156087773612753628046689839913044032
18,3.095296480132023228608578744494812557963766443046936552954293638316594,0.04629617345777000985406463878469032623340295632816926802065095399122192,0.86264799794186485720347519129320767103925688241781,2.891289347284937537091507257262119086223458957463695113202754704171109,0.2503033063048557013711361260173837979737104419114107077721898881367070,4.5054595134874026246804502683129083635267879544054
19,3.098350203142764592920491015314708147795138412957183952343358401024382,0.04324245044702864554215236796479473640203098641792186863158619128343408,0.86509400742304035362955923876590467759291384186412,2.901353800578580046609484806357238532655130407973541197356457862220162,0.2402388530112131918531585769222643515420389914015646236184867300876549,4.5645382072130506452100129615230226792987408366297
20,3.101080588248038448879138067199220361415805502187675957348521589234840,0.04051206534175478958350531608028252278136389718742986362642300307297643,0.86753958736844053490575421300324987916892113923628,2.910606774358723028654116502724409135631670935245481909837561732696305,0.2309858792310702098085268805550937485654984641296239111373828596115116,4.6197175846214041961705376111018749713099692825925
21,3.103537682879063682943638741155614176695249620651338243712104893505259,0.03805497071072955551900464212388870750191977872376757726283969880255699,0.86988640871273089632668112337391252242823347283836,2.919144821964604112127938807820622368520130410297030015639423927746328,0.2224478316251891263347045754588805156770389890780758053355206645614885,4.6714044641289716530287960846364908292178187706396
22,3.105757016580200876532788094695212120246155619263882584204972999774974,0.03583563700959236192985528858429076395101378011122323676997159253284193,0.87217066011645282749466270317531012669279803338094,2.927049687623927526944731943609825527335056761609142400679674565121705,0.2145429659658657115179114396696773568621126377659634202952700271861117,4.7199452512490456533940516727329018509664780308512
23,3.107771620977064756956978781920624421933206729720842344967261627876071,0.03382103261272848150566460135887846226396266965426347600768296443174558,0.87434221880566819580816879704139102865592702354004,2.934390853088293770193771242295511290056730556003684313736447665251237,0.2072018005014994682688721409839915941404388433714215072384969270565792,4.7656414115344877701840592426318066652300933975427
24,3.109604544163950286947561762593938416234697822826551704088472161098298,0.03198810942584295151508162068556446796247157654855411688647243120951864,0.87647489359765439512893500115678349945556249321450,2.941227911061408641564493694232776217353059383820679116680542124113725,0.2003647425283845968981496890467266668441100155544267042944024681940917,4.8087538206812303255555925371214400042586403733062
25,3.111279009129700128741128675518353427081572851609694243251201984491222,0.03031364446009310972151470776114945711559654776541157772374260781659400,0.87853819145767418006156338878528424982453432847784,2.947612118405339949517241537845441897627553055218362069071443385207125,0.1939805351844532889454018454340609865696163441567437519035012071006910,4.8495133796113322236350461358515246642404086039186
26,3.112812392407886101317304328174376094566704634044127752367782146909984,0.02878026118190713714533905510512678963046476533097806860716244539783192,0.88057114891295695925607324321735722929115715761819,2.953587951137016590743364998616209859264676129783952467311659936640206,0.1880047024527766477192783846632930249324932695911533536632846556676108,4.8881222637721928407012380012456186482448250093700
27,3.114220209651229230569873930766920907141707251992694235098502290243882,0.02737244393856400789276945251258197705546214738241158587644230206393409,0.88259326853276149991150267273236223533981307896532,2.959194123919359099805010755565410834536523779126301517844623195103395,0.1823985296704341386576326277140920496606456202488043031303213972044210,4.9247603011017217437560809482804853408374317467177
28,3.115517031601182963210507261333216572109306187233485514151926166756144,0.02607562198861027525213612194628631208786321214162030682301842555167245,0.88458254536494240597570825122865856410792540999142,2.964464525275373220491694034069273427836271594720854273306294242316023,0.1771281283144200179709493492102294563608978046542515476686503499917937,4.9595875928037605031865817778864247781051385303190
29,3.116715025176015304563567069049812510332415914736232932046626966614933,0.02487762841377793389907631422969037386475348463887288892831762569288359,0.88652982219051994333856982780077089881847693393572,2.969428993698797684087162592464714779242136177564373457029857980526090,0.1721636598909955543754807908147881049550332218107323639450866117817265,4.9927461368388710768889429336288550436959634325112
30,3.117824353996294675997108432513316555846811073300547914907719401571806,0.02376829959349856246553495076618632835035832607455790606722519073601089,0.88843952733081812069823795381662038795163132669340,2.974113898903929553569022331731269624085003264318610775383604316456090,0.1674787546858636848936210515482332601121661350564950455913402758517268,5.0243626405759105468086315464469978033649840516949
31,3.118854244713294263065818818485669351357751745174972561769939049181756,0.02273840887649897539682456479383353283941765420013325920500554312606011,0.89030135874595175311662959355326598008620413253670,2.978542625245428586613889153915590318055191304614039417174103098244419,0.1630500283443646518487542293639125661419780947610664038008414940633971,5.0545508786753042073113811102812895504013209375931
32,3.119812550209680070582409830010575024770171704720008740950055752826226,0.02178010338011316788023355326892785942699769465509708002488883948159057,0.89211303444943535637436634189528512212982557307278,2.982735997287962168308937956415929582758161036671309799160141097650131,0.1588566563018310701537054268635733014390083627037960218148034946576855,5.0834130016585942449185736596343456460482676065215
33,3.120706266884488385569394982336070395071026704075982529907649927121592,0.02088638670530485289324840094343248912614269529912329106729466518622401,0.89386755302750880506871052391268575904427688933284,2.986712618004702931126314601134822999471008460153816178011983603635421,0.1548800355850903073363287821446798847261609392212896429629609886723955,5.1110411743079801420988498107744361959633109943026
34,3.121541440310685892262068723621212146116706909486500456556282561784680,0.02005121327910734620057465965829073808046248988860536441866203052313659,0.89556268603444712841965345901484725577448520876665,2.990489162767198323608046960155588526348053258172878321963201435434101,0.1511034908225949148545964231239143578491161412022274990117431568737150,5.1375186879682271050562783862130881668699488008757
35,3.122323234288737849556214978169263175602163104575134718993175855779357,0.01926941930105538890642840511023970859500629479997110198176873652845956,0.89720439105344432369193717052881064530552280094609,2.994080621777670237145055029864380533762764916934981928561601785042246,0.1475120318121230013175883534151223504344044824401238924133428072655708,5.1629211134243050461155923695292822652041568854043
36,3.123056223194086579651314144274250870679663151396401325277983109961328,0.01853643039570665881132923900525201351750624797870449569696148234648822,0.89879908238140803628281651672635540786642968941545,2.997500504869905636231868477336495447509281324397208019208768610760569,0.1440921487198876022307749059430074366878880749778978017661759815472476,5.1873173539159536803078966139482677207639706992043
37,3.123744445169190758488170924304569570195121812967905082793497827037215,0.01784820842060247997447245897493331400204758640720073818144676527060130,0.90035497282291975263419837406236045779604169083311,3.000761021203131526105746279782688775351080192972045860872158114306069,0.1408316323866617123568971034968141088460892064030599601027864780017470,5.2107703983064833572051928293821220273053006369132
38,3.124391563711786719404154568713249064585187695118481512101155731901492,0.01720108987800651905848881456625381961198170425662430887378886040632441,0.90187739727171443447713096723494537058578742954743,3.003873232590766156241864074950735039103671433407373261514599165463919,0.1377194209990270822207793083287678450934979659677325594603454268438977,5.2333379979630291243896137164931781135529227067738
39,3.125000960488741036833939078855840277518408384186054903956393409575497,0.01659169310105220162870430442366260667876101518905091701855118273231944,0.90336619469061813418369835870067575798843965078484,3.006847187659630368654544390894757013038423432005589623427139868861566,0.1347454659301628698080989923847458711587459673695161975478047234462509,5.2550731712763519225158607030050889751910927274111
40,3.125575583626696164738739522546924675550681094370043255733931615472491,0.01601706996309707372390386073257820864648830500506256524101297683532525,0.90482595597656663052458186820360889750175556219867,3.009692038540505634672431053819295474148497581454512245956672645617657,0.1319006150492876037902123294602074100486718179205935750182719466901592,5.2760246019715041516084931784082964019468727168237
41,3.126118158771920677763182995093279268325929185907186107207279460888629,0.01547449481787256069946038818622361587124021346791971376766513141918734,0.90625705955982153885552906684710675278733619260665,3.012416137470992036285931297702254886127097653755542834470184065797075,0.1291765161188012021767120855772479980700717456195629865047605265107409,5.2962371608708492892451955086671679208729415704021
42,3.126631106496271812384010325428224487942736161065356247540862364928858,0.01496154709352142607863305785127839625443323830974957343408222737895891,0.90766206746667115583555092944555388412317186950283,3.015027124590387960840825727553006903739700845828423047000106198692487,0.1265655289994052776218176557264959804574685535466827739748383936153292,5.3157522179750216601163415405128311792136792489607
43,3.127116675195237732065792699641812563731777281496969409706867990527517,0.01447597839455550639685068363769032046539211787813641126807660178029920,0.90903975769756549364623911383679705228861297194440,3.017532001992533233382532168006630753637829763257629468457170583855161,0.1240606515972600050801112152728721305593396361174763525177740084526549,5.3346080186821802184447822567335016140516043530515
44,3.127576868739937398286099325534877281344087913510981448856702209946517,0.01401578484985584017654405774462560285308148586412437211824238236129905,0.91039091228832833910474745355484753696823120501693,3.019937200728215710049240835197331986302578424822998939651744990438855,0.1216554528615775284134025480821708978945909745521068813231996018689612,5.3528399259094112501897121156155195073620028802927
45,3.128013532092960183567548936591428501062685453157364906114691875315804,0.01357912149683305489509444668807438313448394621774091486025271699201280,0.91171453468137643579126250257057654766612548122533,3.022248637584225719812296730833607846335966805629513179455342648346886,0.1193440160055675186503466524458950378612025937455926415196019439609301,5.3704807202505383392655993600652767037541167185517
46,3.128428336042243017994136924375640944178326988811277894095897834643921,0.01316431754755022046850645890386194001884241056382792687904675766389499,0.91301004071545794686749015269666951136169458090531,3.024471766361253138075973009488716526404970398827123107529442544893960,0.1171208872285401003866703737907863577921990005479827134455020474138560,5.3875608125128446177868371943761724584411540252072
47,3.128822793262430766280177242432053988313971861028823081499438210155694,0.01276986032736247218246614084744889588319753834628273947550638215212199,0.91427748853677777719316067307781913109407321835204,3.026611622450962154845610673288083066548668841169044221572218154960319,0.1149810311388310836170327099914198176485005582060615994027264373474974,5.4041084635250609300005373695967314294795262356849
48,3.129198281709913477080005864842517360835593747026211502429171846283746,0.01239437187987976138263751843698552336157565234889431854577274602406997,0.91551712934291634673397461765238103676273299258360,3.028672862277360165590563187625032299666840999563100256399304758771497,0.1129197913124330728720801956544705845303283998120055645756398335363198,5.4201499829967874978598493914145880574557631909763
49,3.129556076052955303755006528081401668618712630542697702147807050423593,0.01203657753683793470763685519810121557845676883240811882713754188422299,0.91672809687106673510325590019621509337888339512359,3.030659798461676964428831742866067343069888434994862492521576751364410,0.1109328551281162740338116404134355411272809643802433284533678409434065,5.4357099012776974276567703802583415152367672546319
50,3.129897322259612324657395143831966092924087400642345988351061424815882,0.01169533133018091380524823944753679127308199873275983262388316749193445,0.91791118215719602594569336216027909064538921273675,3.032576431449187569606904606947469091771987033523418804815063185404545,0.1090162221406056688557387763320337924251823658516870161598814069032709,5.4508111070302834427869388166016896212591182925844
51,3.130223068833811228733597997789794436332403601217505693368126594341099,0.01136958475598200972904538548970844786476579815760012760681799796671699,0.91906743574557044713578081030505612080148389561549,3.034426477027879378532464627639633422353784514524697463842390360548172,0.1071661765619138599301787556398694618433848848504083571325542317596449,5.4654750046576068564391165376333425540126291273708
52,3.130534280371642315663137540764977597082367101761152147852003209585771,0.01105837321815092279950584251452528711480229761395367312294138272204588,0.92019785313322896233025230961531329367779775398419,3.036213391303060148101922475364922905290063732865044662467429263846150,0.1053792622867330903607209079145799789071056665100611585075153284616662,5.4797216389101206987574872115581589031694946585232
53,3.130831842492633825871279913768585354260254008878465496965452736081787,0.01076081109715941259136346951091752993691539049664032400949185622602922,0.92130364723101469244598559117943856116604155624188,3.037940393144942937489356758819926374613660710080130339523413950904667,0.1036522604448503009732866244595765095835086892949754814515306414031496,5.4935698035770659515841910963575550079259605326337
54,3.131116571414794647480595853802691188674534341090715397962895794580454,0.01047608217499859098204752947681169552263505828439042301204879772736215,0.92238607797929792798452744553574345466663355306469,3.039610484280237522529850440673421724065975104598556886695265066548605,0.1019821693095557159327929426060811601311942947765489342796795257592116,5.5070371427160086603708189007283826470844919179336
55,3.131389212299745546411312340651448751576844473863309071364842327486397,0.01020344129004769205133104262805413262032492551179674961010226482141942,0.92344719249837457632162534777802050085171311205655,3.041226467401301463630675366180255239103354729657664039065116921851613,0.1003661861884917748319680170992476450938146697174417819098276704562035,5.5201402403670476157582409404586204801598068344593
56,3.131650464326060074961761298407928232880690236987630699770192075982468,0.009942189263733163500882084871574651316479162387475121204752516325348325,0.92448813549669052408650910272359240969767656146851,3.042790962346774874853169914986166703342509744233245240462681510563293,0.09880169124301836360947346829333618085465965514186058051226308174452383,5.5328947096090283621305142244268261278609406879442
57,3.131900975091703415028796506138817855017244794120897219650088064327971,0.009691678498089823433846877140685029179924605254208601324856527979845086,0.92551004225819567455833691767987461662185353856393,3.044306421028725990573412511645853332915611554573484308042656310752306,0.09728623256106724788923087163364955128155784480162151293228828155551050,5.5453152559808331296861596831180244230487971536924
58,3.132141342488850179038769058664154965923581955663250250277001256825984,0.009451311100943059423874324615347918273587443711855570697943335481832389,0.92651430509303391003767136073396659320254017596175,3.045775140755798650498522189387566109171987967165153614873315036584242,0.09581751283399458796412119389193677502518143220995220610162955572357430,5.5574157443716861019190292457323329514605230681772
59,3.132372129905923294990038527382135410404572426768407784702161969496159,0.009220523683869943472604855897367473792596972606698036272782622811657026,0.92750149304914023950905745816688958526559007817783,3.047199276258394131128701227776954227672922873931559844834333044437685,0.09439337733139910733394215550254865652424652544354597614061154787013120,5.5692092625525473327025871746503707349305450011692
60,3.132593857340289327433276623481752276796567275989579515404640369341063,0.008998796249503911029366759797750607400602123385526305570304222966753843,0.92847254277238752940104203422823832274708615465444,3.048580850774805441044877502800258654841516683258417103214961784612832,0.09301180281498779741776588047924422935565271611668871775998280769498400,5.5807081688992678450659528287546537613391629670013
61,3.132807008098831222362503648407010226998288055243580142079316121723769,0.008785645490962016100139734872492657198881344131525678895628470584047822,0.92942845504406423646382773798665095391594401430106,3.049921765930336609092080448104222208252806976450870495745418890216779,0.09167088765945662937056293517528067594436242292423532522952570209103694,5.5919241472268543916043390456921212326061077983784
62,3.133012035993436894639985768629679311964935371526484575750764354553051,0.008580617596356343822657614649823572232234027848621245224180237754765428,0.93036985019606314001846756600377491509817652899978,3.051223810781101928860917220116882137419982212743116404672931235891504,0.09036884280869130960172616316262074677718718663198941630201335641631202,5.6028682541388611953070221160824863001856055711833
63,3.133209368371819681074298667870636861731311788046576582140097403031396,0.008383285217973557388344715408866022465857611328529238834847189276419987,0.93129688697592537158983184301516513537660736875167,3.052488670121295881715631000880510464571412713859745322708734778313331,0.08910398346849735674701238239899241962575668551536049826620981399448534,5.6135509585153334750617800911365224364226711874677
64,3.133399402235588531644122272995163943540638144228621561360672552082408,0.008193251354204706818521110284338940656531255146484259614272040225408618,0.93220993185617997579617965901811947025422280777776,3.053717932071444889807533921273899069850342275779184112909964686512452,0.08787472151834834865510946200560381434682712359592170806497990579536461,5.6239821771742943139270055683586441181969359101390
65,3.133582510075027849007485823071696642478030278813884870723634008430885,0.008010143514765389455157560207806241719139120561220950251310583876931514,0.93310917110797098955282059007785473364720966623622,3.054913094922635328667028762812573350374669758883854690241472770640446,0.08667955866715790979561462046692953382249964049125113073347182166737014,5.6341713133652641367149503303504196984624766319313
66,3.133759040634480304412633447561677243021190913379472375427799771171534,0.007833612955312934050009935717825641175978485995633445547144821136282759,0.93399474420313893886113899325612352733689028954006,3.056075573454031364411149648018456978648158503964557733378508229043709,0.08551708013576187405149373526104590554901089541054808759643636326410738,5.6441272889602836873985865272290297662347190970962
67,3.133929320256993971279811898595228969611736086360066602345693295482262,0.007663333332799267182831484684273914585433313015039218629251296825554431,0.93486680427817849520419069251109576372120069208955,3.057206704705903832814944863054534809880667176232200484841041241294303,0.08438594888388940564769852022496807431650222314290533613390335101351328,5.6538585752205901783958008550728609792056489505747
68,3.134093655536949795399559652707595925270610998640798580096653145004479,0.007498998052843443063083730571906958926558400734307240878291447303336966,0.93572540288501295685787222597146600506905022807207,3.058307753271332200458520853538336322718072983289200950979306165229101,0.08328490031846103800412252974116656147909641608590486999563842707871554,5.6633732216553505842803320223993261805785562938415
69,3.134252333560329016265257451499642915096631865088407595712418101499480,0.007340320029464222197385931779859969100537534286698225262526490808336434,0.93657064713468274193691127668908527110216217408891,3.059379916172634372525098446138870000018396590297863706244902011702124,0.08221273741715886593754493714063288417877280907724211473004258060569195,5.6726788817839617496906006627036690083353238263297
70,3.134405623373482002557620801630009717163022248509262086277156399836420,0.007187030216311235905022581649493167034147150865843734697788192471396033,0.93740270077487412161842515426649354675936236882579,3.060424327330535421060149925110456599426823283984332793550766629408586,0.08116832625925781740249345816904628477034611539077302742417796289923055,5.6817828381480472181745420718332399339242280773541
71,3.134553778809302549606228878449696455715776403105625204558310238299968,0.007038874780490688856414504829806428481392996269480616416634354007848102,0.93822158717995296510306845895626716933286017313600,3.061442061682027545579143853123129508231983094845127866015602318950847,0.08015059190776569288349953015637337596518630452997795495934227335696981,5.6906920254513641947284666411025096935282276216284
72,3.134697037950220772426930302501397674660885390611344125310348979592759,0.006895615639572466035713080778105209536284008763761695664595612715057866,0.93902740881443276505918294874430364435533429226175,3.062434138998515726632210733417874084913113472607927605581922029387256,0.07915851459127751183043264986162879928405592676717821539302256292056091,5.6994130505719808517911507900372735484520267272368
73,3.134835624119167526372931181216269170520841384269364678217613912035233,0.006757029470625712089712202063233713676328015105741142757330680272583060,0.93982036985207036471909053513846017940020555061107,3.063401527388570384650474356450782699784061718652665415082621659151004,0.07819112620122285381216902682872018441310768072244040589232293315681251,5.7079522126892683282883389584965734621568606927381
74,3.134969747656804013151407136892402245734935041682174521189021487941163,0.006622905932989225311236246387100638462234357692931299785923104366653245,0.94060067609651325122913259922166250726614350529190,3.064345146534319594418347240958384441978588165310807567383640069355215,0.07724750705547364404429614232111844221858123406429825359130452295260178,5.7163155221050496592779145317627647241750113207581
75,3.135099606659738357853032592858969160827822594360411166837951651090989,0.006493046930054880609610790420533723369346805014694654136992941216827435,0.94136855997144936426080667312700934995724779975729,3.065265870695965599703365879992825842912454011411923848815565462771344,0.07632678289382763875927750328667704128471538796318197215937912953647213,5.7245087170370729069458127465007780963536540972386
76,3.135225387956014291098229074816076993494256298825673542068920858739986,0.006367265633778947364414308463425890702913100549432278906023733567830633,0.94212426246271733041176997351832564010099357048739,3.066164531492390142979495179511105156492031069946634066339816815379280,0.07542812209740309548314820376839772770513832942847175463512777692853650,5.7325372794026352567192634863982273055905130365639
77,3.135347267197283410716911254400816814297401187888569760220162451713725,0.006245386392509827745732128878686069899768211486536060754782140594091462,0.94286813576133229201214152677975957672825072581712,3.067041920480828669748836176586607131133965190217750090647083707215183,0.07455073310896456871380720669289575306320420915735573032786088509263327,5.7404064493902717909631549153529729858667241051164
78,3.135465410431903075300040802618506130927451614572583054761892425171692,0.006127243157890163162602580660996753269717784802522766213052167136124848,0.94360052070473543993713492216035613815185793078097,3.067898791542525665940631671148433346731731600056765996467850044078947,0.07369386204726757252201171213106953746543779931833982450709454822886959,5.7481212396868706567169135462234239223041483468305
79,3.135579974532553428206422444103578115253977613517084990684193151960673,0.006012679057239810256220939175924768943191785858020830290751440347143739,0.94432177974722995377890138942664637015764678392689,3.068735863109236965898134667052083586923615476202233014073846010538140,0.07285679048055627256450871622741929727355392317287280690109858176967676,5.7556864479639455325961885819661244846107599306570
80,3.135691107857889313717612985058255674595584731898444495916741930157887,0.005901545731903924745030398221247209601584667476661325058202662149929309,0.94503228840193304371928454304659920786612732206708,3.069553820230590362377853231652151460536255649732748303131373573700088,0.07203883335920287608479015162735142366091374964235751784357101860772840,5.7631066687362300867832121301881138928730999713886
81,3.135798950822741449196430082081383750820009435478986380435699108452892,0.005793702767051789266213301198119133377159963896119440539245483854924280,0.94573243294897955349651550055893336112677497634182,3.070353316498612856888766114424051647540310643639789798825740217118396,0.07123933709118038157387726885545123665685875573531602214920437518942071,5.7703863043856109074840587772915501692055592145606
82,3.135903636390314292022550525685631017163922006941635144254273539234155,0.005689017199478946440092857593871867033247392433470676720671053073661641,0.94642261380675826877618236114770806564642054947038,3.071134975840364931890712468000253103667558539756616150403886085369671,0.07045767774942830657193091527924978052961085961848967057105850693814504,5.7775295754531211388983350528984820034280904887162
83,3.136005290710091978726580130805895420515161199952306719594486336879421,0.005587362879701259736063252473607463682008199422799101380458255428394934,0.94710321804735894040267027011723440865116505201871,3.071899394188736920572273414924064698685308814359975565000369325071676,0.06969325940105631789036996835543818551186058501513025597457526723614003,5.7845405302876743849007073735013693974844285562558
84,3.136104033538637142261863306710523638964231383550714998989638848040558,0.005488620051156096200780076568979245232938015824390821985305744267258560,0.94777462019709431519455125385627830662142576954367,3.072647141043074229184973719129347550001116420992328299811848488507180,0.06894551254671900927766966415015533419605297838277752116309610380063669,5.7914230539243967793242517886130480724684501841533
85,3.136199978713866360659111590974367009267701136940444555356323902486468,0.005392674875926877803531792305135874929468262434661265618620689821348162,0.94843716824624718078081988399665661041020812323918,3.073378760926120367662003874449247854915695217780152179869341244102090,0.06821389266367287080063950883025502928147418159495364110560334820572662,5.7981808764121940180543582505716774889253054355711
86,3.136293234523497059975949679707317853517219237759124321040210607068062,0.005299419066296178486693703572185030679950161615981499934733985239754055,0.94909118196078566598979346301931823678812517719720,3.074094774746190140427052155951191520123731066236829059738914295239148,0.06749787884360309803559122732831136407343833313827676123603029706866807,5.8048175805498664310608455502347773103156966498918
87,3.136383903857195858584847093477522851299680567450536457400385283504118,0.005208749732597379877796289801980032897488831924569363574559308803698339,0.94973698578369027431452320138830951460567232335000,3.074795681070919020178447794323351048052461914558838973346862824358672,0.06679697251887421828419558895615183614470748481626684762808176794914457,5.8113366091420569907250162391852097445895511790152
88,3.136472084772265072863392519872743418707511384574430625163709768417178,0.005120568817528165599250863406759465489658014800675195811234823890638138,0.95037486416932377170620947184315659141322671764561,3.075481957317156978729596373200027998142297367747784779493524557651161,0.06611069627263625973304701007947488605487203162732104148142003465665566,5.8177412719919908565081368869937899728287387832043
89,3.136557870654193668405457965517258985867619715242752969176547141404153,0.005034782935599570057185417762243898329549684132352851798397450903663252,0.95100508437578286381888344395572880255291240359002,3.076154060867973457361475795514711994949723571668844785044790210510478,0.06543859272181978110116758776479088924744582770626103593015438179733860,5.8240347522419605180039153110663891430226786658572
90,3.136641350535989366096371093258121466751728215213534068884173703321431,0.004951303053803872366272290021381417445441184161571752090770888986385538,0.95162788742728907628708676465447078237178974455345,3.076812430118034209874233866189556827387145849636002905845176372620829,0.06478022347175902858840951708994605681002354973910291512976821968698700,5.8302201124583125729568565380951451129021194765193
91,3.136722609363501127605627351003289925989041061195923202930471118661582,0.004870044226292110857016032276212958208128338179182618044473473646234227,0.95224348505339063173939832338314100939259419075037,3.077457485454459106014653797781150821406292146279425674554055421334919,0.06413516813533413244798958549835206279087725309568014642088917097289764,5.8363003003154060527670522803500377139698300317069
92,3.136801728165266004760507131643439830495297651467415851023087182900876,0.004790925424527233702136251636063053701871747907689969951857409406940686,0.95285207195066149763865950149068630366674896977153,3.078089630177436241347389430906188594863866728790943793580442090380766,0.06350302341235699711525395237331428933330267058416202739450250192705010,5.8422781539368437346033636183449146186638456937429
93,3.136878784327252537270143614878309030303149503348194342552613458725634,0.004713869262540701192499768401193853894019896026911478422331133582182779,0.95345381495404250246282598062391159141959595567199,3.078709251364074631029967941897639779529303441322878807924404926699476,0.06288340222571860743267544138186310466786595805222701305053966560834056,5.8481564069918304912388160485132687341115340988571
