n,principal_ideal_bitmasks,h_coefficients
5,1;11;5;8;17,1;9;24;24;9;1
5,1;11;5;8;21,1;10;29;29;10;1
5,1;11;5;8;24,1;9;25;25;9;1
5,1;11;5;8;25,1;10;28;28;10;1
5,1;11;5;8;27,1;11;32;32;11;1
5,1;11;5;8;29,1;11;33;33;11;1
5,1;11;5;8;31,1;12;37;37;12;1
5,1;11;5;9;16,1;9;23;23;9;1
5,1;11;5;9;17,1;10;27;27;10;1
5,1;11;5;9;21,1;11;33;33;11;1
5,1;11;5;9;25,1;11;31;31;11;1
5,1;11;5;9;27,1;12;36;36;12;1
5,1;11;5;9;29,1;12;37;37;12;1
5,1;11;5;9;31,1;13;42;42;13;1
5,1;11;5;11;16,1;10;27;27;10;1
5,1;11;5;11;17,1;11;32;32;11;1
5,1;11;5;11;21,1;12;39;39;12;1
5,1;11;5;11;27,1;13;40;40;13;1
5,1;11;5;11;31,1;14;47;47;14;1
5,1;11;12;8;16,1;8;20;20;8;1
5,1;11;12;8;17,1;9;25;25;9;1
5,1;11;12;8;24,1;9;24;24;9;1
5,1;11;12;8;25,1;10;28;28;10;1
5,1;11;12;8;27,1;11;32;32;11;1
5,1;11;12;8;28,1;10;29;29;10;1
5,1;11;12;8;29,1;11;33;33;11;1
5,1;11;12;8;31,1;12;37;37;12;1
5,1;11;13;8;16,1;9;23;23;9;1
5,1;11;13;8;17,1;10;28;28;10;1
5,1;11;13;8;24,1;10;28;28;10;1
5,1;11;13;8;25,1;11;31;31;11;1
5,1;11;13;8;27,1;12;36;36;12;1
5,1;11;13;8;29,1;12;36;36;12;1
5,1;11;13;8;31,1;13;41;41;13;1
5,1;11;13;9;16,1;10;26;26;10;1
5,1;11;13;9;17,1;11;31;31;11;1
5,1;11;13;9;25,1;12;34;34;12;1
5,1;11;13;9;27,1;13;40;40;13;1
5,1;11;13;9;29,1;13;40;40;13;1
5,1;11;13;9;31,1;14;46;46;14;1
5,1;11;15;8;16,1;10;26;26;10;1
5,1;11;15;8;17,1;11;32;32;11;1
5,1;11;15;8;24,1;11;32;32;11;1
5,1;11;15;8;25,1;12;36;36;12;1
5,1;11;15;8;27,1;13;39;39;13;1
5,1;11;15;8;31,1;14;44;44;14;1
5,1;11;15;9;16,1;11;30;30;11;1
5,1;11;15;9;17,1;12;36;36;12;1
5,1;11;15;9;25,1;13;40;40;13;1
5,1;11;15;9;27,1;14;44;44;14;1
5,1;11;15;9;31,1;15;50;50;15;1
5,1;11;15;11;16,1;12;33;33;12;1
5,1;11;15;11;17,1;13;40;40;13;1
5,1;11;15;11;27,1;15;47;47;15;1
5,1;11;15;11;31,1;16;54;54;16;1
5,1;11;20;8;16,1;8;21;21;8;1
5,1;11;20;8;20,1;9;26;26;9;1
5,1;11;20;9;16,1;9;25;25;9;1
5,1;11;20;9;20,1;10;31;31;10;1
5,1;11;20;11;16,1;10;29;29;10;1
5,1;11;20;11;20,1;11;36;36;11;1
5,1;11;21;8;16,1;9;25;25;9;1
5,1;11;21;8;17,1;10;29;29;10;1
5,1;11;21;8;21,1;11;34;34;11;1
5,1;11;21;9;16,1;10;29;29;10;1
5,1;11;21;9;17,1;11;33;33;11;1
5,1;11;21;9;21,1;12;39;39;12;1
5,1;11;21;11;16,1;11;34;34;11;1
5,1;11;21;11;17,1;12;39;39;12;1
5,1;11;21;11;21,1;13;46;46;13;1
5,1;11;28;8;16,1;9;25;25;9;1
5,1;11;28;8;24,1;10;29;29;10;1
5,1;11;28;8;28,1;11;34;34;11;1
5,1;11;29;8;16,1;10;28;28;10;1
5,1;11;29;8;17,1;11;33;33;11;1
5,1;11;29;8;24,1;11;33;33;11;1
5,1;11;29;8;25,1;12;36;36;12;1
5,1;11;29;8;29,1;13;41;41;13;1
5,1;11;29;9;16,1;11;32;32;11;1
5,1;11;29;9;17,1;12;37;37;12;1
5,1;11;29;9;25,1;13;40;40;13;1
5,1;11;29;9;29,1;14;46;46;14;1
5,1;11;31;8;16,1;11;31;31;11;1
5,1;11;31;8;17,1;12;37;37;12;1
5,1;11;31;8;24,1;12;37;37;12;1
5,1;11;31;8;25,1;13;41;41;13;1
5,1;11;31;8;27,1;14;44;44;14;1
5,1;11;31;8;31,1;15;49;49;15;1
5,1;11;31;9;16,1;12;36;36;12;1
5,1;11;31;9;17,1;13;42;42;13;1
5,1;11;31;9;25,1;14;46;46;14;1
5,1;11;31;9;27,1;15;50;50;15;1
5,1;11;31;9;31,1;16;56;56;16;1
5,1;11;31;11;16,1;13;40;40;13;1
5,1;11;31;11;17,1;14;47;47;14;1
5,1;11;31;11;27,1;16;54;54;16;1
5,1;11;31;11;31,1;17;61;61;17;1
5,1;14;4;8;16,1;7;16;16;7;1
5,1;14;4;8;17,1;8;21;21;8;1
5,1;14;4;8;20,1;8;20;20;8;1
5,1;14;4;8;21,1;9;25;25;9;1
5,1;14;4;8;24,1;8;20;20;8;1
5,1;14;4;8;25,1;9;25;25;9;1
5,1;14;4;8;28,1;9;23;23;9;1
5,1;14;4;8;29,1;10;28;28;10;1
5,1;14;4;8;30,1;10;26;26;10;1
5,1;14;4;8;31,1;11;31;31;11;1
5,1;14;4;12;16,1;8;19;19;8;1
5,1;14;4;12;17,1;9;25;25;9;1
5,1;14;4;12;20,1;9;23;23;9;1
5,1;14;4;12;21,1;10;29;29;10;1
5,1;14;4;12;28,1;10;26;26;10;1
5,1;14;4;12;29,1;11;32;32;11;1
5,1;14;4;12;30,1;11;30;30;11;1
5,1;14;4;12;31,1;12;36;36;12;1
5,1;14;4;14;16,1;9;22;22;9;1
5,1;14;4;14;17,1;10;29;29;10;1
5,1;14;4;14;20,1;10;27;27;10;1
5,1;14;4;14;21,1;11;34;34;11;1
5,1;14;4;14;30,1;12;33;33;12;1
5,1;14;4;14;31,1;13;40;40;13;1
5,1;14;12;8;16,1;8;19;19;8;1
5,1;14;12;8;17,1;9;25;25;9;1
5,1;14;12;8;24,1;9;23;23;9;1
5,1;14;12;8;25,1;10;29;29;10;1
5,1;14;12;8;28,1;10;26;26;10;1
5,1;14;12;8;29,1;11;32;32;11;1
5,1;14;12;8;30,1;11;30;30;11;1
5,1;14;12;8;31,1;12;36;36;12;1
5,1;14;12;12;16,1;9;22;22;9;1
5,1;14;12;12;17,1;10;29;29;10;1
5,1;14;12;12;28,1;11;29;29;11;1
5,1;14;12;12;29,1;12;36;36;12;1
5,1;14;12;12;30,1;12;34;34;12;1
5,1;14;12;12;31,1;13;41;41;13;1
5,1;14;14;8;16,1;9;22;22;9;1
5,1;14;14;8;17,1;10;29;29;10;1
5,1;14;14;8;24,1;10;27;27;10;1
5,1;14;14;8;25,1;11;34;34;11;1
5,1;14;14;8;30,1;12;33;33;12;1
5,1;14;14;8;31,1;13;40;40;13;1
5,1;14;14;14;16,1;11;28;28;11;1
5,1;14;14;14;17,1;12;37;37;12;1
5,1;14;14;14;30,1;14;40;40;14;1
5,1;14;14;14;31,1;15;49;49;15;1
5,1;15;4;8;16,1;8;19;19;8;1
5,1;15;4;8;17,1;9;24;24;9;1
5,1;15;4;8;20,1;9;24;24;9;1
5,1;15;4;8;21,1;10;28;28;10;1
5,1;15;4;8;24,1;9;24;24;9;1
5,1;15;4;8;25,1;10;28;28;10;1
5,1;15;4;8;28,1;10;28;28;10;1
5,1;15;4;8;29,1;11;31;31;11;1
5,1;15;4;8;31,1;12;34;34;12;1
5,1;15;4;9;16,1;9;23;23;9;1
5,1;15;4;9;17,1;10;28;28;10;1
5,1;15;4;9;20,1;10;29;29;10;1
5,1;15;4;9;21,1;11;33;33;11;1
5,1;15;4;9;25,1;11;32;32;11;1
5,1;15;4;9;29,1;12;36;36;12;1
5,1;15;4;9;31,1;13;40;40;13;1
5,1;15;4;12;16,1;9;23;23;9;1
5,1;15;4;12;17,1;10;29;29;10;1
5,1;15;4;12;20,1;10;28;28;10;1
5,1;15;4;12;21,1;11;33;33;11;1
5,1;15;4;12;28,1;11;32;32;11;1
5,1;15;4;12;29,1;12;36;36;12;1
5,1;15;4;12;31,1;13;40;40;13;1
5,1;15;4;13;16,1;10;26;26;10;1
5,1;15;4;13;17,1;11;32;32;11;1
5,1;15;4;13;20,1;11;32;32;11;1
5,1;15;4;13;21,1;12;36;36;12;1
5,1;15;4;13;29,1;13;39;39;13;1
5,1;15;4;13;31,1;14;44;44;14;1
5,1;15;4;15;16,1;11;29;29;11;1
5,1;15;4;15;17,1;12;36;36;12;1
5,1;15;4;15;20,1;12;36;36;12;1
5,1;15;4;15;21,1;13;41;41;13;1
5,1;15;4;15;31,1;15;47;47;15;1
5,1;15;5;8;16,1;9;23;23;9;1
5,1;15;5;8;17,1;10;28;28;10;1
5,1;15;5;8;21,1;11;32;32;11;1
5,1;15;5;8;24,1;10;29;29;10;1
5,1;15;5;8;25,1;11;33;33;11;1
5,1;15;5;8;29,1;12;36;36;12;1
5,1;15;5;8;31,1;13;40;40;13;1
5,1;15;5;9;16,1;10;27;27;10;1
5,1;15;5;9;17,1;11;32;32;11;1
5,1;15;5;9;21,1;12;37;37;12;1
5,1;15;5;9;25,1;12;37;37;12;1
5,1;15;5;9;29,1;13;41;41;13;1
5,1;15;5;9;31,1;14;46;46;14;1
5,1;15;5;13;16,1;11;30;30;11;1
5,1;15;5;13;17,1;12;36;36;12;1
5,1;15;5;13;21,1;13;40;40;13;1
5,1;15;5;13;29,1;14;44;44;14;1
5,1;15;5;13;31,1;15;50;50;15;1
5,1;15;5;15;16,1;12;34;34;12;1
5,1;15;5;15;17,1;13;41;41;13;1
5,1;15;5;15;21,1;14;46;46;14;1
5,1;15;5;15;31,1;16;54;54;16;1
5,1;15;12;8;16,1;9;23;23;9;1
5,1;15;12;8;17,1;10;29;29;10;1
5,1;15;12;8;24,1;10;28;28;10;1
5,1;15;12;8;25,1;11;33;33;11;1
5,1;15;12;8;28,1;11;32;32;11;1
5,1;15;12;8;29,1;12;36;36;12;1
5,1;15;12;8;31,1;13;40;40;13;1
5,1;15;12;12;16,1;10;27;27;10;1
5,1;15;12;12;17,1;11;34;34;11;1
5,1;15;12;12;28,1;12;36;36;12;1
5,1;15;12;12;29,1;13;41;41;13;1
5,1;15;12;12;31,1;14;46;46;14;1
5,1;15;13;8;16,1;10;26;26;10;1
5,1;15;13;8;17,1;11;32;32;11;1
5,1;15;13;8;24,1;11;32;32;11;1
5,1;15;13;8;25,1;12;36;36;12;1
5,1;15;13;8;29,1;13;39;39;13;1
5,1;15;13;8;31,1;14;44;44;14;1
5,1;15;13;9;16,1;11;30;30;11;1
5,1;15;13;9;17,1;12;36;36;12;1
5,1;15;13;9;25,1;13;40;40;13;1
5,1;15;13;9;29,1;14;44;44;14;1
5,1;15;13;9;31,1;15;50;50;15;1
5,1;15;13;13;16,1;12;33;33;12;1
5,1;15;13;13;17,1;13;40;40;13;1
5,1;15;13;13;29,1;15;47;47;15;1
5,1;15;13;13;31,1;16;54;54;16;1
5,1;15;15;8;16,1;11;29;29;11;1
5,1;15;15;8;17,1;12;36;36;12;1
5,1;15;15;8;24,1;12;36;36;12;1
5,1;15;15;8;25,1;13;41;41;13;1
5,1;15;15;8;31,1;15;47;47;15;1
5,1;15;15;9;16,1;12;34;34;12;1
5,1;15;15;9;17,1;13;41;41;13;1
5,1;15;15;9;25,1;14;46;46;14;1
5,1;15;15;9;31,1;16;54;54;16;1
5,1;15;15;15;16,1;14;40;40;14;1
5,1;15;15;15;17,1;15;49;49;15;1
5,1;15;15;15;31,1;18;61;61;18;1
5,1;18;4;8;16,1;6;13;13;6;1
5,1;18;4;8;18,1;7;16;16;7;1
5,1;18;4;9;16,1;7;17;17;7;1
5,1;18;4;9;18,1;8;21;21;8;1
5,1;18;4;12;16,1;7;17;17;7;1
5,1;18;4;12;18,1;8;21;21;8;1
5,1;18;4;13;16,1;8;21;21;8;1
5,1;18;4;13;18,1;9;26;26;9;1
5,1;18;4;24;16,1;7;16;16;7;1
5,1;18;4;25;16,1;8;20;20;8;1
5,1;18;4;26;16,1;8;19;19;8;1
5,1;18;4;26;18,1;9;22;22;9;1
5,1;18;4;27;16,1;9;23;23;9;1
5,1;18;4;27;18,1;10;27;27;10;1
5,1;18;4;28;16,1;8;20;20;8;1
5,1;18;4;29;16,1;9;24;24;9;1
5,1;18;4;30;16,1;9;23;23;9;1
5,1;18;4;30;18,1;10;27;27;10;1
5,1;18;4;31;16,1;10;27;27;10;1
5,1;18;4;31;18,1;11;32;32;11;1
5,1;18;5;8;16,1;7;17;17;7;1
5,1;18;5;8;18,1;8;21;21;8;1
5,1;18;5;9;16,1;8;21;21;8;1
5,1;18;5;9;18,1;9;26;26;9;1
5,1;18;5;13;16,1;9;25;25;9;1
5,1;18;5;13;18,1;10;31;31;10;1
5,1;18;5;24;16,1;8;21;21;8;1
5,1;18;5;25;16,1;9;25;25;9;1
5,1;18;5;26;16,1;9;25;25;9;1
5,1;18;5;26;18,1;10;29;29;10;1
5,1;18;5;27;16,1;10;29;29;10;1
5,1;18;5;27;18,1;11;34;34;11;1
5,1;18;5;29;16,1;10;29;29;10;1
5,1;18;5;31;16,1;11;33;33;11;1
5,1;18;5;31;18,1;12;39;39;12;1
5,1;18;12;8;16,1;7;17;17;7;1
5,1;18;12;8;18,1;8;21;21;8;1
5,1;18;12;12;16,1;8;21;21;8;1
5,1;18;12;12;18,1;9;26;26;9;1
5,1;18;13;8;16,1;8;21;21;8;1
5,1;18;13;8;18,1;9;26;26;9;1
5,1;18;13;9;16,1;9;25;25;9;1
5,1;18;13;9;18,1;10;31;31;10;1
5,1;18;13;13;16,1;10;29;29;10;1
5,1;18;13;13;18,1;11;36;36;11;1
5,1;18;20;8;16,1;7;16;16;7;1
5,1;18;20;9;16,1;8;21;21;8;1
5,1;18;20;24;16,1;8;19;19;8;1
5,1;18;20;25;16,1;9;24;24;9;1
5,1;18;20;26;16,1;9;23;23;9;1
5,1;18;20;27;16,1;10;28;28;10;1
5,1;18;20;28;16,1;9;23;23;9;1
5,1;18;20;29;16,1;10;28;28;10;1
5,1;18;20;30;16,1;10;27;27;10;1
5,1;18;20;31;16,1;11;32;32;11;1
5,1;18;21;8;16,1;8;20;20;8;1
5,1;18;21;9;16,1;9;25;25;9;1
5,1;18;21;24;16,1;9;24;24;9;1
5,1;18;21;25;16,1;10;28;28;10;1
5,1;18;21;26;16,1;10;29;29;10;1
5,1;18;21;27;16,1;11;33;33;11;1
5,1;18;21;29;16,1;11;32;32;11;1
5,1;18;21;31;16,1;12;37;37;12;1
5,1;18;22;8;16,1;8;19;19;8;1
5,1;18;22;8;18,1;9;22;22;9;1
5,1;18;22;9;16,1;9;25;25;9;1
5,1;18;22;9;18,1;10;29;29;10;1
5,1;18;22;24;16,1;9;23;23;9;1
5,1;18;22;25;16,1;10;29;29;10;1
5,1;18;22;26;16,1;10;26;26;10;1
5,1;18;22;26;18,1;11;29;29;11;1
5,1;18;22;27;16,1;11;32;32;11;1
5,1;18;22;27;18,1;12;36;36;12;1
5,1;18;22;30;16,1;11;30;30;11;1
5,1;18;22;30;18,1;12;34;34;12;1
5,1;18;22;31;16,1;12;36;36;12;1
5,1;18;22;31;18,1;13;41;41;13;1
5,1;18;23;8;16,1;9;23;23;9;1
5,1;18;23;8;18,1;10;27;27;10;1
5,1;18;23;9;16,1;10;29;29;10;1
5,1;18;23;9;18,1;11;34;34;11;1
5,1;18;23;24;16,1;10;28;28;10;1
5,1;18;23;25;16,1;11;33;33;11;1
5,1;18;23;26;16,1;11;32;32;11;1
5,1;18;23;26;18,1;12;36;36;12;1
5,1;18;23;27;16,1;12;36;36;12;1
5,1;18;23;27;18,1;13;41;41;13;1
5,1;18;23;31;16,1;13;40;40;13;1
5,1;18;23;31;18,1;14;46;46;14;1
5,1;18;28;8;16,1;8;20;20;8;1
5,1;18;28;24;16,1;9;23;23;9;1
5,1;18;28;28;16,1;10;27;27;10;1
5,1;18;29;8;16,1;9;24;24;9;1
5,1;18;29;9;16,1;10;29;29;10;1
5,1;18;29;24;16,1;10;28;28;10;1
5,1;18;29;25;16,1;11;32;32;11;1
5,1;18;29;29;16,1;12;36;36;12;1
5,1;18;30;8;16,1;9;23;23;9;1
5,1;18;30;8;18,1;10;27;27;10;1
5,1;18;30;24;16,1;10;27;27;10;1
5,1;18;30;26;16,1;11;30;30;11;1
5,1;18;30;26;18,1;12;34;34;12;1
5,1;18;30;30;16,1;12;34;34;12;1
5,1;18;30;30;18,1;13;39;39;13;1
5,1;18;31;8;16,1;10;27;27;10;1
5,1;18;31;8;18,1;11;32;32;11;1
5,1;18;31;9;16,1;11;33;33;11;1
5,1;18;31;9;18,1;12;39;39;12;1
5,1;18;31;24;16,1;11;32;32;11;1
5,1;18;31;25;16,1;12;37;37;12;1
5,1;18;31;26;16,1;12;36;36;12;1
5,1;18;31;26;18,1;13;41;41;13;1
5,1;18;31;27;16,1;13;40;40;13;1
5,1;18;31;27;18,1;14;46;46;14;1
5,1;18;31;31;16,1;14;44;44;14;1
5,1;18;31;31;18,1;15;51;51;15;1
5,1;19;4;8;16,1;7;16;16;7;1
5,1;19;4;8;17,1;8;19;19;8;1
5,1;19;4;8;19,1;9;22;22;9;1
5,1;19;4;9;16,1;8;20;20;8;1
5,1;19;4;9;17,1;9;23;23;9;1
5,1;19;4;9;19,1;10;27;27;10;1
5,1;19;4;12;16,1;8;21;21;8;1
5,1;19;4;12;17,1;9;25;25;9;1
5,1;19;4;12;19,1;10;29;29;10;1
5,1;19;4;13;16,1;9;25;25;9;1
5,1;19;4;13;17,1;10;29;29;10;1
5,1;19;4;13;19,1;11;34;34;11;1
5,1;19;4;24;16,1;8;20;20;8;1
5,1;19;4;25;16,1;9;23;23;9;1
5,1;19;4;25;17,1;10;26;26;10;1
5,1;19;4;27;16,1;10;26;26;10;1
5,1;19;4;27;17,1;11;30;30;11;1
5,1;19;4;27;19,1;12;33;33;12;1
5,1;19;4;28;16,1;9;25;25;9;1
5,1;19;4;29;16,1;10;28;28;10;1
5,1;19;4;29;17,1;11;32;32;11;1
5,1;19;4;31;16,1;11;31;31;11;1
5,1;19;4;31;17,1;12;36;36;12;1
5,1;19;4;31;19,1;13;40;40;13;1
5,1;19;5;8;16,1;8;20;20;8;1
5,1;19;5;8;17,1;9;23;23;9;1
5,1;19;5;8;19,1;10;27;27;10;1
5,1;19;5;9;16,1;9;24;24;9;1
5,1;19;5;9;17,1;10;27;27;10;1
5,1;19;5;9;19,1;11;32;32;11;1
5,1;19;5;13;16,1;10;29;29;10;1
5,1;19;5;13;17,1;11;33;33;11;1
5,1;19;5;13;19,1;12;39;39;12;1
5,1;19;5;24;16,1;9;25;25;9;1
5,1;19;5;25;16,1;10;28;28;10;1
5,1;19;5;25;17,1;11;31;31;11;1
5,1;19;5;27;16,1;11;32;32;11;1
5,1;19;5;27;17,1;12;36;36;12;1
5,1;19;5;27;19,1;13;40;40;13;1
5,1;19;5;29;16,1;11;33;33;11;1
5,1;19;5;29;17,1;12;37;37;12;1
5,1;19;5;31;16,1;12;37;37;12;1
5,1;19;5;31;17,1;13;42;42;13;1
5,1;19;5;31;19,1;14;47;47;14;1
5,1;19;12;8;16,1;8;21;21;8;1
5,1;19;12;8;17,1;9;25;25;9;1
5,1;19;12;8;19,1;10;29;29;10;1
5,1;19;12;12;16,1;9;26;26;9;1
5,1;19;12;12;17,1;10;31;31;10;1
5,1;19;12;12;19,1;11;36;36;11;1
5,1;19;13;8;16,1;9;25;25;9;1
5,1;19;13;8;17,1;10;29;29;10;1
5,1;19;13;8;19,1;11;34;34;11;1
5,1;19;13;9;16,1;10;29;29;10;1
5,1;19;13;9;17,1;11;33;33;11;1
5,1;19;13;9;19,1;12;39;39;12;1
5,1;19;13;13;16,1;11;34;34;11;1
5,1;19;13;13;17,1;12;39;39;12;1
5,1;19;13;13;19,1;13;46;46;13;1
5,1;19;20;8;16,1;8;20;20;8;1
5,1;19;20;9;16,1;9;25;25;9;1
5,1;19;20;24;16,1;9;24;24;9;1
5,1;19;20;25;16,1;10;28;28;10;1
5,1;19;20;27;16,1;11;32;32;11;1
5,1;19;20;28;16,1;10;29;29;10;1
5,1;19;20;29;16,1;11;33;33;11;1
5,1;19;20;31;16,1;12;37;37;12;1
5,1;19;21;8;16,1;9;23;23;9;1
5,1;19;21;8;17,1;10;26;26;10;1
5,1;19;21;9;16,1;10;28;28;10;1
5,1;19;21;9;17,1;11;31;31;11;1
5,1;19;21;24;16,1;10;28;28;10;1
5,1;19;21;25;16,1;11;31;31;11;1
5,1;19;21;25;17,1;12;34;34;12;1
5,1;19;21;27;16,1;12;36;36;12;1
5,1;19;21;27;17,1;13;40;40;13;1
5,1;19;21;29;16,1;12;36;36;12;1
5,1;19;21;29;17,1;13;40;40;13;1
5,1;19;21;31;16,1;13;41;41;13;1
5,1;19;21;31;17,1;14;46;46;14;1
5,1;19;23;8;16,1;10;26;26;10;1
5,1;19;23;8;17,1;11;30;30;11;1
5,1;19;23;8;19,1;12;33;33;12;1
5,1;19;23;9;16,1;11;32;32;11;1
5,1;19;23;9;17,1;12;36;36;12;1
5,1;19;23;9;19,1;13;40;40;13;1
5,1;19;23;24;16,1;11;32;32;11;1
5,1;19;23;25;16,1;12;36;36;12;1
5,1;19;23;25;17,1;13;40;40;13;1
5,1;19;23;27;16,1;13;39;39;13;1
5,1;19;23;27;17,1;14;44;44;14;1
5,1;19;23;27;19,1;15;47;47;15;1
5,1;19;23;31;16,1;14;44;44;14;1
5,1;19;23;31;17,1;15;50;50;15;1
5,1;19;23;31;19,1;16;54;54;16;1
5,1;19;28;8;16,1;9;25;25;9;1
5,1;19;28;24;16,1;10;29;29;10;1
5,1;19;28;28;16,1;11;34;34;11;1
5,1;19;29;8;16,1;10;28;28;10;1
5,1;19;29;8;17,1;11;32;32;11;1
5,1;19;29;9;16,1;11;33;33;11;1
5,1;19;29;9;17,1;12;37;37;12;1
5,1;19;29;24;16,1;11;33;33;11;1
5,1;19;29;25;16,1;12;36;36;12;1
5,1;19;29;25;17,1;13;40;40;13;1
5,1;19;29;29;16,1;13;41;41;13;1
5,1;19;29;29;17,1;14;46;46;14;1
5,1;19;31;8;16,1;11;31;31;11;1
5,1;19;31;8;17,1;12;36;36;12;1
5,1;19;31;8;19,1;13;40;40;13;1
5,1;19;31;9;16,1;12;37;37;12;1
5,1;19;31;9;17,1;13;42;42;13;1
5,1;19;31;9;19,1;14;47;47;14;1
5,1;19;31;24;16,1;12;37;37;12;1
5,1;19;31;25;16,1;13;41;41;13;1
5,1;19;31;25;17,1;14;46;46;14;1
5,1;19;31;27;16,1;14;44;44;14;1
5,1;19;31;27;17,1;15;50;50;15;1
5,1;19;31;27;19,1;16;54;54;16;1
5,1;19;31;31;16,1;15;49;49;15;1
5,1;19;31;31;17,1;16;56;56;16;1
5,1;19;31;31;19,1;17;61;61;17;1
5,1;22;4;8;16,1;7;16;16;7;1
5,1;22;4;8;20,1;8;19;19;8;1
5,1;22;4;8;22,1;9;22;22;9;1
5,1;22;4;9;16,1;8;21;21;8;1
5,1;22;4;9;20,1;9;25;25;9;1
5,1;22;4;9;22,1;10;29;29;10;1
5,1;22;4;12;16,1;8;20;20;8;1
5,1;22;4;12;20,1;9;23;23;9;1
5,1;22;4;12;22,1;10;27;27;10;1
5,1;22;4;13;16,1;9;25;25;9;1
5,1;22;4;13;20,1;10;29;29;10;1
5,1;22;4;13;22,1;11;34;34;11;1
5,1;22;4;24;16,1;8;20;20;8;1
5,1;22;4;25;16,1;9;25;25;9;1
5,1;22;4;28;16,1;9;23;23;9;1
5,1;22;4;28;20,1;10;26;26;10;1
5,1;22;4;29;16,1;10;28;28;10;1
5,1;22;4;29;20,1;11;32;32;11;1
5,1;22;4;30;16,1;10;26;26;10;1
5,1;22;4;30;20,1;11;30;30;11;1
5,1;22;4;30;22,1;12;33;33;12;1
5,1;22;4;31;16,1;11;31;31;11;1
5,1;22;4;31;20,1;12;36;36;12;1
5,1;22;4;31;22,1;13;40;40;13;1
5,1;22;20;8;16,1;8;19;19;8;1
5,1;22;20;8;20,1;9;22;22;9;1
5,1;22;20;9;16,1;9;25;25;9;1
5,1;22;20;9;20,1;10;29;29;10;1
5,1;22;20;24;16,1;9;23;23;9;1
5,1;22;20;25;16,1;10;29;29;10;1
5,1;22;20;28;16,1;10;26;26;10;1
5,1;22;20;28;20,1;11;29;29;11;1
5,1;22;20;29;16,1;11;32;32;11;1
5,1;22;20;29;20,1;12;36;36;12;1
5,1;22;20;30;16,1;11;30;30;11;1
5,1;22;20;30;20,1;12;34;34;12;1
5,1;22;20;31;16,1;12;36;36;12;1
5,1;22;20;31;20,1;13;41;41;13;1
5,1;22;22;8;16,1;9;22;22;9;1
5,1;22;22;8;22,1;11;28;28;11;1
5,1;22;22;9;16,1;10;29;29;10;1
5,1;22;22;9;22,1;12;37;37;12;1
5,1;22;22;24;16,1;10;27;27;10;1
5,1;22;22;25;16,1;11;34;34;11;1
5,1;22;22;30;16,1;12;33;33;12;1
5,1;22;22;30;22,1;14;40;40;14;1
5,1;22;22;31;16,1;13;40;40;13;1
5,1;22;22;31;22,1;15;49;49;15;1
5,1;23;4;8;16,1;8;19;19;8;1
5,1;23;4;8;17,1;9;23;23;9;1
5,1;23;4;8;20,1;9;23;23;9;1
5,1;23;4;8;21,1;10;26;26;10;1
5,1;23;4;8;23,1;11;29;29;11;1
5,1;23;4;9;16,1;9;24;24;9;1
5,1;23;4;9;17,1;10;28;28;10;1
5,1;23;4;9;20,1;10;29;29;10;1
5,1;23;4;9;21,1;11;32;32;11;1
5,1;23;4;9;23,1;12;36;36;12;1
5,1;23;4;12;16,1;9;24;24;9;1
5,1;23;4;12;17,1;10;29;29;10;1
5,1;23;4;12;20,1;10;28;28;10;1
5,1;23;4;12;21,1;11;32;32;11;1
5,1;23;4;12;23,1;12;36;36;12;1
5,1;23;4;13;16,1;10;28;28;10;1
5,1;23;4;13;17,1;11;33;33;11;1
5,1;23;4;13;20,1;11;33;33;11;1
5,1;23;4;13;21,1;12;36;36;12;1
5,1;23;4;13;23,1;13;41;41;13;1
5,1;23;4;24;16,1;9;24;24;9;1
5,1;23;4;25;16,1;10;28;28;10;1
5,1;23;4;25;17,1;11;32;32;11;1
5,1;23;4;28;16,1;10;28;28;10;1
5,1;23;4;28;20,1;11;32;32;11;1
5,1;23;4;29;16,1;11;31;31;11;1
5,1;23;4;29;17,1;12;36;36;12;1
5,1;23;4;29;20,1;12;36;36;12;1
5,1;23;4;29;21,1;13;39;39;13;1
5,1;23;4;31;16,1;12;34;34;12;1
5,1;23;4;31;17,1;13;40;40;13;1
5,1;23;4;31;20,1;13;40;40;13;1
5,1;23;4;31;21,1;14;44;44;14;1
5,1;23;4;31;23,1;15;47;47;15;1
5,1;23;5;8;16,1;9;23;23;9;1
5,1;23;5;8;17,1;10;27;27;10;1
5,1;23;5;8;21,1;11;30;30;11;1
5,1;23;5;8;23,1;12;34;34;12;1
5,1;23;5;9;16,1;10;28;28;10;1
5,1;23;5;9;17,1;11;32;32;11;1
5,1;23;5;9;21,1;12;36;36;12;1
5,1;23;5;9;23,1;13;41;41;13;1
5,1;23;5;13;16,1;11;32;32;11;1
5,1;23;5;13;17,1;12;37;37;12;1
5,1;23;5;13;21,1;13;40;40;13;1
5,1;23;5;13;23,1;14;46;46;14;1
5,1;23;5;24;16,1;10;29;29;10;1
5,1;23;5;25;16,1;11;33;33;11;1
5,1;23;5;25;17,1;12;37;37;12;1
5,1;23;5;29;16,1;12;36;36;12;1
5,1;23;5;29;17,1;13;41;41;13;1
5,1;23;5;29;21,1;14;44;44;14;1
5,1;23;5;31;16,1;13;40;40;13;1
5,1;23;5;31;17,1;14;46;46;14;1
5,1;23;5;31;21,1;15;50;50;15;1
5,1;23;5;31;23,1;16;54;54;16;1
