n,a_n,primitive_numerator,primitive_denominator
76,2292123122553779426319354696925306679933024206378812,20886090561249630287936968623533912496007197145,4
77,11289384661811045157514674465086393261569228285449360,24728518336705222092411007452005426248637509844,1
78,55608215808081331033681185796368842806326577680622248,703082686088116763183143500431807074843524259331,6
79,273932202347900817545241656977386593223027327945442320,555599460383257343831302710287394289747925271521,1
80,1349527587994009367054624020664870631931564543251932532,2635796070300799545028562539785309018224292906718,1
81,6648966419325153665018618332199354510374645935483161200,37533610048858595770849172338223929900290399021650,3
82,32761168417299185253813172962600822226564812794190816880,118835944114635543788588285722628825934667007240503,2
83,161434629524205756951032292471700198779786490689536311536,282333507974483080152280993572257149567560106629805,1
84,795546063136458001068726175906691148643051821746130604240,1342231641994077990141328852006430850301876174615426,1
85,3920708302445502694935501906388395970695230216913806464420,6384218689103199991753310655629384849493556225308949,1
86,19323847116993901276478113705366785820933903110273205090683,60761464767234021144295828371502308293501609762522597,2
87,95247113766560367352912188881261445387373401124620404788170,433925648477958493824229451716673023755543812882962592,3
88,469503205854195360690698811965478616932505944550452087304251,1377909014175770569269753744732898174723319560576397513,2
89,2314478569860541689674378121992604433484532440465454107940660,3283092688984255605103739486406642609085693754569994011,1
90,11410246039376803911870592735421970987567116936192602037254204,46955745018011538731977747882391516194078657040117997097,3
91,56255306821775173013579217548538711708660473345743968692747362,74651634446887118816381226916294166984478534001101380767,1
92,277369081790398922433518960429726746251121208241851298507181770,1424802137905805264411517631861401042401977722526434254225,4
93,1367659859711148197331783682133698731630244100656340781406523704,1700314486864847570583439545044922505343080144383414619046,1
94,6744086153295855423698754417958918837172251895147399284610318500,16239383742754147500310033465510770285314158674477011788513,2
95,33257725835055848642827892560302913521620799435813617030305173000,38790174468646564971952637481035618628512377239613489967883,1
96,164015883703175916393408965993457166909959123059582627270061923475,185383983135280938487197272399288678968238930322292407887752,1
97,808914636350879446380465277823314557925710690206623207788161482500,886313757885770091128438419700500133044048295727629948281763,1
98,3989720071151334582815016597201649513519299335615291133106045163700,4239007631972365450211026652586984410716844724348493359861590,1
99,19679073133924691964410267626721669106658164599410818457828120957500,60844357668898015862358719199097399172806004937665046471050927,3
100,97070861806459154936693186164541145848829310817491855986692117099460,388283447225836619746772744658164573932280454362128791476123495,4
