N,m,grid_level,max_weighted_lebesgue,argmax,boundary_to_center_bound,center_to_boundary_bound
64,13,11,3953.092352558390066589785591,0.0859375,0.00005011742584418782342417758524,0.00195920774279901535119491418
64,14,11,2825.246618788194005373160867,0.0859375,0.000001553933857961878314177381183,0.03183712582048399945691735542
64,15,11,8769.722423060573165742856687,0.0859375,0.00000004818105467801722312024594976,0.5173532945828649911749070256
64,16,11,43657.92837814620669382863961,0.1015625,1.493895005885787923894344634e-9,8.406991036971556106592239166
64,17,11,257998.878371943782904067916,0.1015625,4.631949847350953767934125207e-11,136.6136043507877867321238864
64,18,11,1647339.97447978540425937417,0.1171875,1.436175855990163888006918704e-12,2219.971070700301534397013155
64,19,11,11299595.72931791715231354337,0.1328125,4.452986662860127289474577037e-14,36074.52989887989993395146376
64,20,11,84608376.7793471225349237729,0.1328125,1.380686782673916420320486533e-15,586211.1108567983739267112862
64,21,11,687799949.8724227967583397989,0.1484375,4.280938022450863900896039786e-17,9525930.5514229735763090584
64,22,11,5973440875.675049679416918096,0.1640625,1.327341623172020789584465461e-18,154796371.460623320615022199
64,23,11,55447047040.26759922013739384,0.1796875,4.115536771065591803643240077e-20,2515441036.235128959994110734
64,24,11,549280413804.5229658172759509,0.1953125,1.276057543763013083649149145e-21,40875916838.82084559990429942
