function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
up,64,0,64,12,10456425823.0141253036411025,0.003173828125,10456425823.0141253036411025,-204976832.9422646600492717061,10456425823.01412530364150396
up,64,1,66,12,175491808.4865640392325904414,0.005615234375,175491808.4865640392325904414,-15274361.63139449437440988367,175491808.4865640393376727498
up,64,2,68,12,4517460.049031602854060320686,0.0078125,4517460.049031602854060320686,-1174381.173764640897955628888,4517460.049031604906235953724
up,64,3,70,12,147986.3533417085790721163436,0.00927734375,147986.3533417085790721163436,-93521.47827879320324747730452,147986.3533417175353080060744
up,64,4,72,12,7722.591353510575233214591299,0.022216796875,7722.591353510575233214591299,-7722.591346255483176940173493,5629.345254092679438023327052
up,64,5,74,12,661.4168647074219899874496366,0.023193359375,661.4168647074219899874496366,-661.41685496046785861452024,341.2964898231878705274812129
up,64,6,76,12,58.53201024345547954416717937,0.024169921875,58.53201024345547954416717937,-58.53199734661799745125218124,47.52954088688142558305620872
up,64,7,78,12,6.684032727978915383350355297,0.03857421875,5.333978540470190023873008808,-5.333962775088221209631748962,6.6842817472255431410913074
up,64,8,80,12,0.9486385673352765664401929339,0.0390625,0.497875851186054953550648109,-0.7284026135913772999480308262,1.0
up,64,9,82,12,0.1410471795909256415928740714,0.05419921875,0.04740983614007324409078778638,-0.1393783089821641833848691906,1.0
up,64,10,84,12,0.02729335145591056718518826243,0.0546875,0.004582450427188701496476258011,-0.02555013806656819010458248823,1.0
