function,N,m,degree,grid_level,max_abs_error,argmax,max_boundary_error,min_interpolant,max_interpolant
fabius,64,0,64,12,35888911.65305616627961194277,0.003173828125,35888911.65305616627961194277,-35888910.65305616627961216674,35888911.65305616627961216674
fabius,64,1,66,12,626255.8030742886632714269908,0.005615234375,626255.8030742886632714269908,-626254.8030742886633844873557,626255.8030742886633844873557
fabius,64,2,68,12,16768.92846486857334614645221,0.0078125,16768.92846486857334614645221,-16767.92846486857658882423316,16768.92846486857658882423316
fabius,64,3,70,12,571.0841938042563934255727544,0.00927734375,571.0841938042563934255727544,-570.0841938042737009658840934,571.0841938042737009658840934
fabius,64,4,72,12,31.83367550792635065952585366,0.0224609375,31.83367550792635065952585366,-31.83367546451825440521587264,32.83367546451825440521587264
fabius,64,5,74,12,2.836546392886886465829402942,0.976806640625,2.836546392886886465829402942,-2.836546336652587511956835293,3.836546336652587511956835293
fabius,64,6,76,12,0.2615688188292632004953237703,0.975830078125,0.2615688188292632004953237703,-0.2615687405986932110696642433,1.261568740598693211069664243
fabius,64,7,78,12,0.03215201924716374306584310878,0.96142578125,0.02485350380260522005087229891,-0.02485340463630786185580845517,1.024853404636307861855808455
fabius,64,8,80,12,0.004763540026590336269277521553,0.039306640625,0.002421725574806107145201523207,-0.003772066107173632604055185706,1.003772066107173632604055186
fabius,64,9,82,12,0.0007665788110228265932568849236,0.945556640625,0.0002409007168773996376684306235,-0.0007388258145666834621779064085,1.000738825814566683462177906
fabius,64,10,84,12,0.0001551681043704507149965713223,0.9453125,0.00002435704463272961398454710083,-0.0001265869409230868807790484467,1.000126586940923086880779048
fabius,64,11,86,12,0.00003300244965156889236148053914,0.929931640625,0.000002493466675367808945937797744,-0.000004649440962703332959194416284,1.000004649440962703332959194
fabius,64,12,88,12,0.000008303383687341024478216934034,0.0703125,0.0000002515238006138682944285624476,-0.00000009215915246745504531676117303,1.000000092159152467455045317
