alpha,L_4,L_6,L_8,EM_reference
-1,(0.7266637998489850341702194 + 0.0j),(0.7504071558739530629713182 + 0.0j),(0.7562856038405936433344297 + 0.0j),(0.758240000404408610401825 + 0.0j)
-0.5,(0.5759734855039486518928443 + 0.0j),(0.5995636383742749046005188 + 0.0j),(0.6054325499609011173706973 + 0.0j),(0.6073863107431723952055817 + 0.0j)
0.5,(0.3898809288011665560849942 + 0.0j),(0.4131658458352486484465426 + 0.0j),(0.4190156841230234943971275 + 0.0j),(0.4209681733402671558052067 + 0.0j)
1.5,(0.2838778470650489867401563 + 0.0j),(0.3068575758171823721596066 + 0.0j),(0.3126883405567674614545523 + 0.0j),(0.3146395582080133831595267 + 0.0j)
3.5,(0.1730187566296770056080818 + 0.0j),(0.1953884185505005750585306 + 0.0j),(0.2011810374306524030538407 + 0.0j),(0.2031297119547534828809412 + 0.0j)
