r,n,total_faces,a_r_minus_2,a_r_minus_1,a_r,LC_ratio,LC,OLC,ULC
3,4,9,4,3,1,9/4,True,True,True
4,5,21,10,4,1,8/5,True,True,False
5,6,48,20,5,1,5/4,True,True,False
6,7,106,35,6,1,36/35,True,False,False
7,8,227,56,7,1,7/8,False,False,False
8,9,475,84,8,1,16/21,False,False,False
9,10,978,120,9,1,27/40,False,False,False
10,11,1992,165,10,1,20/33,False,False,False
11,12,4029,220,11,1,11/20,False,False,False
12,13,8113,286,12,1,72/143,False,False,False
13,14,16292,364,13,1,13/28,False,False,False
14,15,32662,455,14,1,28/65,False,False,False
15,16,65415,560,15,1,45/112,False,False,False
16,17,130935,680,16,1,32/85,False,False,False
17,18,261990,816,17,1,17/48,False,False,False
18,19,524116,969,18,1,108/323,False,False,False
19,20,1048385,1140,19,1,19/60,False,False,False
20,21,2096941,1330,20,1,40/133,False,False,False
21,22,4194072,1540,21,1,63/220,False,False,False
22,23,8388354,1771,22,1,44/161,False,False,False
23,24,16776939,2024,23,1,23/88,False,False,False
24,25,33554131,2300,24,1,144/575,False,False,False
25,26,67108538,2600,25,1,25/104,False,False,False
26,27,134217376,2925,26,1,52/225,False,False,False
27,28,268435077,3276,27,1,81/364,False,False,False
28,29,536870505,3654,28,1,56/261,False,False,False
29,30,1073741388,4060,29,1,29/140,False,False,False
30,31,2147483182,4495,30,1,180/899,False,False,False
31,32,4294966799,4960,31,1,31/160,False,False,False
32,33,8589934063,5456,32,1,64/341,False,False,False
33,34,17179868622,5984,33,1,99/544,False,False,False
34,35,34359737772,6545,34,1,68/385,False,False,False
35,36,68719476105,7140,35,1,35/204,False,False,False
36,37,137438952805,7770,36,1,216/1295,False,False,False
37,38,274877906240,8436,37,1,37/228,False,False,False
38,39,549755813146,9139,38,1,76/481,False,False,False
39,40,1099511626995,9880,39,1,117/760,False,False,False
40,41,2199023254731,10660,40,1,80/533,False,False,False
41,42,4398046510242,11480,41,1,41/280,False,False,False
42,43,8796093021304,12341,42,1,252/1763,False,False,False
43,44,17592186043469,13244,43,1,43/308,False,False,False
44,45,35184372087841,14190,44,1,88/645,False,False,False
45,46,70368744176628,15180,45,1,135/1012,False,False,False
46,47,140737488354246,16215,46,1,92/705,False,False,False
47,48,281474976709527,17296,47,1,47/368,False,False,False
48,49,562949953420135,18424,48,1,288/2303,False,False,False
49,50,1125899906841398,19600,49,1,49/400,False,False,False
50,51,2251799813683972,20825,50,1,100/833,False,False,False
51,52,4503599627369169,22100,51,1,153/1300,False,False,False
52,53,9007199254739613,23426,52,1,104/901,False,False,False
53,54,18014398509480552,24804,53,1,53/468,False,False,False
54,55,36028797018962482,26235,54,1,324/2915,False,False,False
55,56,72057594037926395,27720,55,1,55/504,False,False,False
56,57,144115188075854275,29260,56,1,112/1045,False,False,False
57,58,288230376151710090,30856,57,1,171/1624,False,False,False
58,59,576460752303421776,32509,58,1,116/1121,False,False,False
59,60,1152921504606845205,34220,59,1,59/580,False,False,False
60,61,2305843009213692121,35990,60,1,360/3599,False,False,False
61,62,4611686018427386012,37820,61,1,61/620,False,False,False
62,63,9223372036854773854,39711,62,1,124/1281,False,False,False
63,64,18446744073709549599,41664,63,1,189/1984,False,False,False
64,65,36893488147419101151,43680,64,1,128/1365,False,False,False
65,66,73786976294838204318,45760,65,1,65/704,False,False,False
66,67,147573952589676410716,47905,66,1,396/4355,False,False,False
67,68,295147905179352823577,50116,67,1,67/748,False,False,False
68,69,590295810358705649365,52394,68,1,136/1541,False,False,False
69,70,1180591620717411301008,54740,69,1,207/2380,False,False,False
70,71,2361183241434822604362,57155,70,1,140/1633,False,False,False
71,72,4722366482869645211139,59640,71,1,71/840,False,False,False
72,73,9444732965739290424763,62196,72,1,432/5183,False,False,False
73,74,18889465931478580852082,64824,73,1,73/888,False,False,False
74,75,37778931862957161706792,67525,74,1,148/1825,False,False,False
75,76,75557863725914323416285,70300,75,1,225/2812,False,False,False
76,77,151115727451828646835345,73150,76,1,152/1925,False,False,False
77,78,302231454903657293673540,76076,77,1,77/988,False,False,False
78,79,604462909807314587350006,79079,78,1,468/6083,False,False,False
79,80,1208925819614629174703015,82160,79,1,79/1040,False,False,False
80,81,2417851639229258349409111,85320,80,1,160/2133,False,False,False
81,82,4835703278458516698821382,88560,81,1,243/3280,False,False,False
82,83,9671406556917033397646004,91881,82,1,164/2241,False,False,False
83,84,19342813113834066795295329,95284,83,1,83/1148,False,False,False
84,85,38685626227668133590594061,98770,84,1,504/7055,False,False,False
85,86,77371252455336267181191608,102340,85,1,85/1204,False,False,False
86,87,154742504910672534362386786,105995,86,1,172/2465,False,False,False
87,88,309485009821345068724777227,109736,87,1,261/3784,False,False,False
88,89,618970019642690137449558195,113564,88,1,176/2581,False,False,False
89,90,1237940039285380274899120218,117480,89,1,89/1320,False,False,False
90,91,2475880078570760549798244352,121485,90,1,540/8099,False,False,False
91,92,4951760157141521099596492709,125580,91,1,91/1380,False,False,False
92,93,9903520314283042199192989513,129766,92,1,184/2821,False,False,False
93,94,19807040628566084398385983212,134044,93,1,279/4324,False,False,False
94,95,39614081257132168796771970702,138415,94,1,188/2945,False,False,False
95,96,79228162514264337593543945775,142880,95,1,95/1504,False,False,False
96,97,158456325028528675187087896015,147440,96,1,576/9215,False,False,False
97,98,316912650057057350374175796590,152096,97,1,97/1568,False,False,False
98,99,633825300114114700748351597836,156849,98,1,196/3201,False,False,False
99,100,1267650600228229401496703200425,161700,99,1,297/4900,False,False,False
100,101,2535301200456458802993406405701,166650,100,1,200/3333,False,False,False
