theta,Omega_M3_N16,Omega_M4_N14,Omega_M5_N15,Omega_M6_N14
0.0,0.5000003833044566,0.25006103515625,0.12501542846464,0.06669718442472085
0.0024937655860349127,0.5011515761103241,0.2500396212070631,0.12512361679018244,0.06669958646926252
0.004987531172069825,0.5021478177211353,0.25004725974527237,0.12520368349099112,0.06671110356028286
0.007481296758104738,0.5030832630150855,0.25005342802839836,0.12528435290544016,0.06672161160113509
0.00997506234413965,0.5039023469981704,0.25005812089152296,0.1253439457726974,0.06673117458912174
0.012468827930174564,0.5048221362419288,0.25006133316928353,0.12542338535847405,0.06673977790531842
0.014962593516209476,0.5054971996188655,0.2500322219774466,0.12546279234230406,0.06673704855072063
0.017456359102244388,0.5061738250922323,0.25003240422542844,0.12550793919333444,0.06674384583047951
0.0199501246882793,0.5068097302336481,0.2500310903907406,0.12554768214183123,0.06674976881216195
0.022443890274314215,0.5075954399711528,0.25005927311063914,0.12561190839182051,0.06676530362756625
0.02493765586034913,0.5084008663528687,0.25005500497405675,0.12567895414709257,0.0667693946499778
0.02743142144638404,0.5088959657316086,0.25004922525740453,0.1257097201807325,0.06677261982328406
0.029925187032418952,0.509395284758415,0.25004192879563236,0.12574311220187415,0.06677506600395297
0.032418952618453865,0.5097075263871362,0.25003311042423665,0.12575303216980435,0.06677678573596862
0.034912718204488775,0.5103587058644721,0.25005403345925126,0.1258026364691578,0.06678839105886218
0.03740648379052369,0.5108281077517066,0.25004220913310715,0.12583194666004066,0.06678852601925912
0.0399002493765586,0.5112002500914967,0.2500602225877133,0.1258527162907103,0.06679861151210634
0.04239401496259351,0.5117636639051194,0.25004537163543444,0.12588897189960568,0.06679721635893587
0.04488778054862843,0.5124603288226105,0.2500604587797412,0.12594016774857583,0.06680572381119507
0.04738154613466334,0.5133873424140305,0.2500425605445627,0.12601542721070352,0.06680249613122367
0.04987531172069826,0.5138816871725922,0.2500546967574492,0.12605234325974468,0.06680912215852958
0.05236907730673317,0.5143279807457019,0.25003373057195927,0.12607977910291931,0.06680416546354716
0.05486284289276808,0.5144971502578554,0.2500428991739209,0.12609501141342538,0.06680936046473132
0.057356608478802994,0.5147714972614814,0.2500506008793815,0.12610510977109796,0.06681395577172873
0.059850374064837904,0.5150703954062796,0.25005683455058514,0.12613043412821023,0.0668178178985339
0.062344139650872814,0.5150710674175916,0.2500615909819695,0.12612527921376318,0.06682111454683237
0.06483790523690773,0.5152568799335414,0.2500329445294328,0.12612284385571684,0.06681291365079217
0.06733167082294264,0.5154184482464468,0.2500346817246906,0.12613175810180022,0.06681506806534754
0.06982543640897755,0.5160446677725794,0.25003492616145023,0.12617487002272726,0.06681652627131685
