M,N,number_of_bins,max_box_height,L2_energy
3,8,511,1.32662703856119,0.692596678850405
3,10,2047,1.5433961625091,0.711673492427099
3,12,8191,1.79581176461733,0.731275759034835
3,14,32767,2.08954730837687,0.751417948629429
3,16,131071,2.43133482803487,0.772114932768847
5,8,1021,0.54525952,0.344697420434637
5,10,4093,0.5623513088,0.345032693965002
5,12,16381,0.579887693824,0.345369532578087
5,14,65533,0.59794803130368,0.345706772735669
5,16,262141,0.61656488917074,0.346044346461928
6,8,1276,0.333333333333333,0.273072438258422
6,10,5116,0.333333333333333,0.273069856998487
6,12,20476,0.333333333333333,0.273069691226124
6,14,81916,0.333333333333333,0.273069680579975
6,16,327676,0.333333333333333,0.273069679896263
