type,q,x,variance,gamma4,gamma6,iterations,diagnostic_1,diagnostic_2
distribution,0.3,,0.044871794871794865,-1.001834862385321,5.171113741917858,11,2.220446049250313e-16,1.2212453270876722e-15
distribution,0.5,,0.027777777777777776,-0.72,2.9387755102040813,19,0.0,4.218847493575595e-15
distribution,0.75,,0.011904761904761904,-0.336,0.6985446985446986,45,0.0,9.178074966698091e-14
distribution,0.95,,0.0021367521367521387,-0.06149802890932985,0.023991742487053287,247,0.0,2.6020276054479054e-12
endpoint_bound,0.5,0.0001,,,,,-1.6611941728048485,1.246972984732651
endpoint_bound,0.5,1e-08,,,,,-1.3504189623254836,1.3729555336556136
endpoint_bound,0.5,1e-12,,,,,-1.220176264008658,1.4276031711681636
endpoint_bound,0.5,1e-16,,,,,-1.264471040774583,1.3501167026330974
endpoint_bound,0.5,1e-20,,,,,-1.19875028061304,1.3865358276377622
endpoint_bound,0.5,1e-24,,,,,-1.1507334120087536,1.4139853021805888
endpoint_bound,0.5,1e-28,,,,,-1.1889977004897696,1.3654192620743404
endpoint_bound,0.5,1e-32,,,,,-1.153972591793333,1.3879106934549819
endpoint_bound,0.5,1e-36,,,,,-1.124872075879512,1.406995083216063
endpoint_bound,0.5,1e-40,,,,,-1.1000993251443538,1.423563554219746
endpoint_bound,0.5,1e-44,,,,,-1.1320422085425357,1.3878961478786829
endpoint_bound,0.5,1e-48,,,,,-1.1111883719709899,1.4026622629637264
endpoint_bound,0.5,1e-52,,,,,-1.0925811971376247,1.416035599000386
endpoint_bound,0.5,1e-56,,,,,-1.118911303398499,1.3875956876621687
endpoint_bound,0.5,1e-60,,,,,-1.1026703299958063,1.399672166076625
