order,additive_l1,multiplicative_l1,rho,lambda0
1,61.25,1.25,9,30.125
2,1938.53125,1.28125,9,30.125
3,42267.4713541666666666666666667,1.28476991758241758241758241758,9,30.125
4,714167.229329427083333333333333,1.28516161572802197802197802198,9,30.125
5,9972397.6017333984375,1.2852051451148167220261109978,9,30.125
6,119847775.785726250542534722222,1.28520998180435877688356254872,9,30.125
7,1274685185.52745483640640500992,1.28521051921543148502577754307,9,30.125
8,12244319081.2044784791885860383,1.28521057892778676856103807051,9,30.125
9,107872847800.063685379720028536,1.28521058556249308242942991746,9,30.125
10,882199160936.518200491198208807,1.28521058629968267497349033165,9,30.125
