n,numerator,denominator,exact_fraction,h_n,coefficient_B_squared,coefficient_H_squared
58,-3337619107096856488030652614083,5192296858534827628530496329220096,-3337619107096856488030652614083/5192296858534827628530496329220096,383826197316138496123525050619545/5192296858534827628530496329220096,0,1
59,-6505528768070144002093644925755,10384593717069655257060992658440192,-6505528768070144002093644925755/10384593717069655257060992658440192,761146865864206848244956456313335/10384593717069655257060992658440192,0,1
60,-50743124390947123216330430420889,83076749736557242056487941267521536,-50743124390947123216330430420889/83076749736557242056487941267521536,6038431802522707662743321220085791/83076749736557242056487941267521536,0,1
61,-98990685287257502667923298689931,166153499473114484112975882535043072,-98990685287257502667923298689931/166153499473114484112975882535043072,11977872919758157822818719141481651/166153499473114484112975882535043072,0,1
62,-386382997411553478155442552951021,664613997892457936451903530140172288,-386382997411553478155442552951021/664613997892457936451903530140172288,47525108681621077813119434012975583/664613997892457936451903530140172288,0,1
63,-754366804470175838303483079571041,1329227995784915872903807060280344576,-754366804470175838303483079571041/1329227995784915872903807060280344576,94295850558771979787935384946380125/1329227995784915872903807060280344576,0,1
64,-94295850558771979787935384946380125,170141183460469231731687303715884105728,-94295850558771979787935384946380125/170141183460469231731687303715884105728,11975573020964041433067793888190275875/170141183460469231731687303715884105728,0,1
65,-184239584937908329739504521356773475,340282366920938463463374607431768211456,-184239584937908329739504521356773475/340282366920938463463374607431768211456,23766906456990174536396083255023778275/340282366920938463463374607431768211456,0,1
66,-720209286575459834436244947121932675,1361129467683753853853498429727072845824,-720209286575459834436244947121932675/1361129467683753853853498429727072845824,94347416541385238311148088072973180425/1361129467683753853853498429727072845824,0,1
67,-1408170396140078183748478926462286275,2722258935367507707706996859454145691648,-1408170396140078183748478926462286275/2722258935367507707706996859454145691648,187286662686630398438547697219484074575/2722258935367507707706996859454145691648,0,1
68,-11016862510978258731679276307028474975,21778071482940061661655974875633165533184,-11016862510978258731679276307028474975/21778071482940061661655974875633165533184,1487276438982064928776702301448844121625/21778071482940061661655974875633165533184,0,1
69,-21554730999740071431546410165925277125,43556142965880123323311949751266331066368,-21554730999740071431546410165925277125/43556142965880123323311949751266331066368,2952998146964389786121858192731762966125/43556142965880123323311949751266331066368,0,1
70,-84371375627553993889195948363764656175,174224571863520493293247799005065324265472,-84371375627553993889195948363764656175/174224571863520493293247799005065324265472,11727621212230005150598236822563287208325/174224571863520493293247799005065324265472,0,1
71,-165177763552535283811242772148778693075,348449143727040986586495598010130648530944,-165177763552535283811242772148778693075/348449143727040986586495598010130648530944,23290064660907475017385230872977795723575/348449143727040986586495598010130648530944,0,1
72,-2587784962323052779709470096997532858175,5575186299632655785383929568162090376495104,-2587784962323052779709470096997532858175/5575186299632655785383929568162090376495104,370053249612196547498454223870647198719025/5575186299632655785383929568162090376495104,0,1
73,-5069222597427349965732249642063660256425,11150372599265311570767859136324180752990208,-5069222597427349965732249642063660256425/11150372599265311570767859136324180752990208,735037276626965745031176198099230737181625/11150372599265311570767859136324180752990208,0,1
74,-19865872341269344460302059408087317221125,44601490397061246283071436545296723011960832,-19865872341269344460302059408087317221125/44601490397061246283071436545296723011960832,2920283234166593635664402732988835631505375/44601490397061246283071436545296723011960832,0,1
75,-38937109788887915142192036439851141753405,89202980794122492566142873090593446023921664,-38937109788887915142192036439851141753405/89202980794122492566142873090593446023921664,5801629358544299356186613429537820121257345/89202980794122492566142873090593446023921664,0,1
76,-305348913607594702957190180501990532697755,713623846352979940529142984724747568191373312,-305348913607594702957190180501990532697755/713623846352979940529142984724747568191373312,46107685954746800146535717255800570437361005/713623846352979940529142984724747568191373312,0,1
77,-598801116295412988916048276049358057628065,1427247692705959881058285969449495136382746624,-598801116295412988916048276049358057628065/1427247692705959881058285969449495136382746624,91616570793198187304155386235551782817093945/1427247692705959881058285969449495136382746624,0,1
78,-2349142840851235571901420159885943149156255,5708990770823839524233143877797980545530986496,-2349142840851235571901420159885943149156255/5708990770823839524233143877797980545530986496,364117140331941513644720124782321188119219525/5708990770823839524233143877797980545530986496,0,1
79,-4609077725720778653730634490915458077458475,11417981541647679048466287755595961091061972992,-4609077725720778653730634490915458077458475/11417981541647679048466287755595961091061972992,723625202938162248635709615073726918160980575/11417981541647679048466287755595961091061972992,0,1
80,-144725040587632449727141923014745383632196115,365375409332725729550921208179070754913983135744,-144725040587632449727141923014745383632196115/365375409332725729550921208179070754913983135744,23011281453433559506615565759344515997519182285/365375409332725729550921208179070754913983135744,0,1
81,-284089894486834067982908219251166864166903485,730750818665451459101842416358141509827966271488,-284089894486834067982908219251166864166903485/730750818665451459101842416358141509827966271488,45738473012380284945248223299437865130871461085/730750818665451459101842416358141509827966271488,0,1
82,-1115572512497080120615810324376533295874913685,2923003274661805836407369665432566039311865085952,-1115572512497080120615810324376533295874913685/2923003274661805836407369665432566039311865085952,181838319537024059660377082873374927227610930655/2923003274661805836407369665432566039311865085952,0,1
83,-2190823126952097104341892564739456954549529285,5846006549323611672814739330865132078623730171904,-2190823126952097104341892564739456954549529285/5846006549323611672814739330865132078623730171904,361485815947096022216412273182010397500672332025/5846006549323611672814739330865132078623730171904,0,1
84,-17213610283195048676972013008667161785746301525,46768052394588893382517914646921056628989841375232,-17213610283195048676972013008667161785746301525/46768052394588893382517914646921056628989841375232,2874672917293573129054326172447416018219632354675/46768052394588893382517914646921056628989841375232,0,1
85,-33819681379924389753580307911146070802583910055,93536104789177786765035829293842113257979682750464,-33819681379924389753580307911146070802583910055/93536104789177786765035829293842113257979682750464,5715526153207221868355072036983685965636680799295/93536104789177786765035829293842113257979682750464,0,1
86,-132919212865284229496629582255434557340387925565,374144419156711147060143317175368453031918731001856,-132919212865284229496629582255434557340387925565/374144419156711147060143317175368453031918731001856,22729185399963603243923658565679309305206335271615/374144419156711147060143317175368453031918731001856,0,1
87,-261255004597282795907168489260681716151796957145,748288838313422294120286634350736906063837462003712,-261255004597282795907168489260681716151796957145/748288838313422294120286634350736906063837462003712,45197115795329923691940148642097936894260873586085/748288838313422294120286634350736906063837462003712,0,1
88,-4108828708666356699267286240190721535841897598735,11972621413014756705924586149611790497021399392059392,-4108828708666356699267286240190721535841897598735/11972621413014756705924586149611790497021399392059392,719045024016612422371775092033376268772332079778625/11972621413014756705924586149611790497021399392059392,0,1
89,-8079157573220364296312079685768272682835191907625,23945242826029513411849172299223580994042798784118784,-8079157573220364296312079685768272682835191907625/23945242826029513411849172299223580994042798784118784,1430010890460004480447238104380984264861828967649625/23945242826029513411849172299223580994042798784118784,0,1
90,-31778019788000099565494180097355205885818421503325,95780971304118053647396689196894323976171195136475136,-31778019788000099565494180097355205885818421503325/95780971304118053647396689196894323976171195136475136,5688265542052017822223458237426581853561497449095175/95780971304118053647396689196894323976171195136475136,0,1
91,-62508412550022173870587453158533866522653818121925,191561942608236107294793378393788647952342390272950272,-62508412550022173870587453158533866522653818121925/191561942608236107294793378393788647952342390272950272,11314022671554013470576329021694629840600341080068425/191561942608236107294793378393788647952342390272950272,0,1
92,-491914029198000585677231696595418688721753960002975,1532495540865888858358347027150309183618739122183602176,-491914029198000585677231696595418688721753960002975/1532495540865888858358347027150309183618739122183602176,90020267343234107178933400476961620036080974680544425/1532495540865888858358347027150309183618739122183602176,0,1
93,-967959863905743087945520435236146452000870695489725,3064991081731777716716694054300618367237478244367204352,-967959863905743087945520435236146452000870695489725/3064991081731777716716694054300618367237478244367204352,179072574822562471269921280518687093620161078665599125/3064991081731777716716694054300618367237478244367204352,0,1
94,-3810054783458775984466410223801853055748108056714875,12259964326927110866866776217202473468949912977468817408,-3810054783458775984466410223801853055748108056714875/12259964326927110866866776217202473468949912977468817408,712480244506791109095218711850946521424896206605681625/12259964326927110866866776217202473468949912977468817408,0,1
95,-7499792047439906411528618019483647593946275859007175,24519928653854221733733552434404946937899825954937634816,-7499792047439906411528618019483647593946275859007175/24519928653854221733733552434404946937899825954937634816,1417460696966142311778908805682409395255846137352356075/24519928653854221733733552434404946937899825954937634816,0,1
96,-472486898988714103926302935227469798418615379117452025,1569275433846670190958947355801916604025588861116008628224,-472486898988714103926302935227469798418615379117452025/1569275433846670190958947355801916604025588861116008628224,90244997706844393849923860628446731497955537411433336775/1569275433846670190958947355801916604025588861116008628224,0,1
97,-930360801101488596390967635344811664927376674344673575,3138550867693340381917894711603833208051177722232017256448,-930360801101488596390967635344811664927376674344673575/3138550867693340381917894711603833208051177722232017256448,179559634612587299103456753621548651330983698148521999975/3138550867693340381917894711603833208051177722232017256448,0,1
98,-3664482339032393859254219461664258190428238737724938775,12554203470773361527671578846415332832204710888928069025792,-3664482339032393859254219461664258190428238737724938775/12554203470773361527671578846415332832204710888928069025792,714574056111316802554572795024530347133506553856363061125/12554203470773361527671578846415332832204710888928069025792,0,1
99,-7217919758700169722773462576005357041752591453094576375,25108406941546723055343157692830665664409421777856138051584,-7217919758700169722773462576005357041752591453094576375/25108406941546723055343157692830665664409421777856138051584,1421930192463933435386372127473055337225260516259631545875/25108406941546723055343157692830665664409421777856138051584,0,1
