n,numerator,denominator,exact_fraction,h_n,coefficient_B_squared,coefficient_H_squared
137,-669321390719911088224444400880620022841128915246137421485863451779557501515793,3794275180128377091639574036764685364535950857523710002444946112771297432041422848,-669321390719911088224444400880620022841128915246137421485863451779557501515793/3794275180128377091639574036764685364535950857523710002444946112771297432041422848,182724739666535727085273321440409266235628193862195516065640722335819197913811489/3794275180128377091639574036764685364535950857523710002444946112771297432041422848,0,1
138,-2648184632848343870801062629571148786023597012495587189357111917910423158171181,15177100720513508366558296147058741458143803430094840009779784451085189728165691392,-2648184632848343870801062629571148786023597012495587189357111917910423158171181/15177100720513508366558296147058741458143803430094840009779784451085189728165691392,728250774033294564470292223132065916156489178436286477073205777425366368497074775/15177100720513508366558296147058741458143803430094840009779784451085189728165691392,0,1
139,-5239214201678378161656778583683927454363231499541629331461912067808391140266725,30354201441027016733116592294117482916287606860189680019559568902170379456331382784,-5239214201678378161656778583683927454363231499541629331461912067808391140266725/30354201441027016733116592294117482916287606860189680019559568902170379456331382784,1451262333864910750778927667680447904858615125373031324814949642782924345853882825/30354201441027016733116592294117482916287606860189680019559568902170379456331382784,0,1
140,-41464638110426021450826504790869940138817575010658037851855704079512124167253795,242833611528216133864932738352939863330300854881517440156476551217363035650651062272,-41464638110426021450826504790869940138817575010658037851855704079512124167253795/242833611528216133864932738352939863330300854881517440156476551217363035650651062272,11568634032808859984780594836652713298730103427973592560667741438183882642663808805/242833611528216133864932738352939863330300854881517440156476551217363035650651062272,0,1
141,-82047049878077021168656700969168179423617754808323351494097457008396330799034105,485667223056432267729865476705879726660601709763034880312953102434726071301302124544,-82047049878077021168656700969168179423617754808323351494097457008396330799034105/485667223056432267729865476705879726660601709763034880312953102434726071301302124544,23055221015739642948392532972336258418036589101138861769841385419359368954528583505/485667223056432267729865476705879726660601709763034880312953102434726071301302124544,0,1
142,-324721422756896379554824408061074062225867452128716362955512470695202379641247655,1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,-324721422756896379554824408061074062225867452128716362955512470695202379641247655/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,91896162640201675414015307481283959609920488952426730716410029206742273438473086365/1942668892225729070919461906823518906642406839052139521251812409738904285205208498176,0,1
143,-642630507973438289608498653715272444824618803863123991023846358089106807262049555,3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,-642630507973438289608498653715272444824618803863123991023846358089106807262049555/3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,183149694772429912538422116308852646775016359100990337441796212055395440069684123175/3885337784451458141838923813647037813284813678104279042503624819477808570410416996352,0,1
144,-20349966085825545837602457367650294086112928788998926382421801339488382229964902575,124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,-20349966085825545837602457367650294086112928788998926382421801339488382229964902575/124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,5840440266631931655391905264515634402714410562442691871755056984433165699999927039025/124330809102446660538845562036705210025114037699336929360115994223289874253133343883264,0,1
145,-40278898390565045899254519065625064846306279740984081874172806789194246206896048545,248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,-40278898390565045899254519065625064846306279740984081874172806789194246206896048545/248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,11640601634873298264884556009965643740582514845144399661635941162077137153792958029505/248661618204893321077691124073410420050228075398673858720231988446579748506266687766528,0,1
146,-159460296368127373491569260410488270418938559522526022762136180302426536353328192185,994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,-159460296368127373491569260410488270418938559522526022762136180302426536353328192185/994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,46402946243125065686046654779452086691911120821055072623781628468006122078818503925835/994646472819573284310764496293641680200912301594695434880927953786318994025066751066112,0,1
147,-315666300973639902626167719588109433278306944360918861386269581415007633189241523305,1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,-315666300973639902626167719588109433278306944360918861386269581415007633189241523305/1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,92490226185276491469467141839316063950543934697749226386176987354597236524447766328365/1989292945639146568621528992587283360401824603189390869761855907572637988050133502132224,0,1
148,-2499735842845310580255868698359893620284971208047276388815594252826952338498588279145,15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,-2499735842845310580255868698359893620284971208047276388815594252826952338498588279145/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,737422073639366621175481266016168617984066506373946534700600304583950939857083542347775/15914343565113172548972231940698266883214596825515126958094847260581103904401068017057792,0,1
149,-4949141433821252491110612523598447100564204740764741843628189963650677448705258673475,31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,-4949141433821252491110612523598447100564204740764741843628189963650677448705258673475/31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,1469895005844911989859851919508738788867568808007128327557572419204251202265461826022075/31828687130226345097944463881396533766429193651030253916189694521162207808802136034115584,0,1
150,-19598600077932159864798025593449850518234250773428377700767632256056682696872824346961,127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,-19598600077932159864798025593449850518234250773428377700767632256056682696872824346961/127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,5859981423301715799574609652441505304952040981255084932529522044560948126364974479741339/127314748520905380391777855525586135065716774604121015664758778084648831235208544136462336,0,1
151,-38807823995375601321686156638685465595708880670563476374367695659344027326920360792989,254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,-38807823995375601321686156638685465595708880670563476374367695659344027326920360792989/254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,11681155022608055997827533148244325144308373081839606388684676393462552225403028598689689/254629497041810760783555711051172270131433549208242031329517556169297662470417088272924672,0,1
152,-614797632768845052517238586749701323384651214833663494141298757550660643442264663088931,4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,-614797632768845052517238586749701323384651214833663494141298757550660643442264663088931/4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,186283682728960050912723291785159500985549318094600038724813523537850174963006192915946093/4074071952668972172536891376818756322102936787331872501272280898708762599526673412366794752,0,1
153,-1217540409993202947141982299249408503173524954866666919770023029659151470346445705332981,8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,-1217540409993202947141982299249408503173524954866666919770023029659151470346445705332981/8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,371349825047926898878304601271069593467925111234333410529857024046041198455665940126559205/8148143905337944345073782753637512644205873574663745002544561797417525199053346824733589504,0,1
154,-4822725000622427258159800016507397317765261184861472864024117195403132447476181040604665,32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,-4822725000622427258159800016507397317765261184861472864024117195403132447476181040604665/32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,1480576575191085168255058605067770976553935183752472169255403978988761661375187579465632155/32592575621351777380295131014550050576823494298654980010178247189670100796213387298934358016,0,1
155,-9552106936716678504871345839146909526154420540338530124228412767669430073388306964294401,65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,-9552106936716678504871345839146909526154420540338530124228412767669430073388306964294401/65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,2951601043445453658005245864296395043581715946964605808386579545209853892676986851966969909/65185151242703554760590262029100101153646988597309960020356494379340201592426774597868716032,0,1
156,-75682078037062914307826817033240898553377331973451430984271270389996253658384278255563331,521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,-75682078037062914307826817033240898553377331973451430984271270389996253658384278255563331/521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,23537126269526566349734140097337919450100350243743395036108365091288834887757510537480195941/521481209941628438084722096232800809229175908778479680162851955034721612739414196782949728256,0,1
157,-149918001716729721972828917817438977389174205374161751822346274466807865527117901512612713,1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,-149918001716729721972828917817438977389174205374161751822346274466807865527117901512612713/1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,46924334537336402977495451276858399922811526282112628320394383908110861909987903173447779169/1042962419883256876169444192465601618458351817556959360325703910069443225478828393565899456512,0,1
158,-593978918194131683259436092112131644592550965596362383802460555798871669746682318651237711,4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,-593978918194131683259436092112131644592550965596362383802460555798871669746682318651237711/4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,187103359231151480226722369015321468046653554162854150897775075076644575970204930375139878965/4171849679533027504677776769862406473833407270227837441302815640277772901915313574263597826048,0,1
159,-1176750686988374089476241314561770239287129271464491515080346384129840100441540442610942635,8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,-1176750686988374089476241314561770239287129271464491515080346384129840100441540442610942635/8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,373029967775314586363968496716081165854019979054243810280469803769159311839968320307668815295/8343699359066055009355553539724812947666814540455674882605631280555545803830627148527195652096,0,1
160,-74605993555062917272793699343216233170803995810848762056093960753831862367993664061533763059,533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,-74605993555062917272793699343216233170803995810848762056093960753831862367993664061533763059/533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,23799311944065070610021190090485978381486474663660755095893973480472364095389978835629270415821/533996758980227520598755426542388028650676130589163192486760401955554931445160137505740521734144,0,1
161,-147821813317174351615038447766993654543394252569321460222943934661319031648384961711983046061,1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,-147821813317174351615038447766993654543394252569321460222943934661319031648384961711983046061/1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,47450802074812966868427341733204963108429555074752188731565003026283409159131572709546557785581/1067993517960455041197510853084776057301352261178326384973520803911109862890320275011481043468288,0,1
162,-585812371293987245289226441150678556894192037959903564587222259583745792088044107525266145501,4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,-585812371293987245289226441150678556894192037959903564587222259583745792088044107525266145501/4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,189217395927957880228420140491669173876824028261048851361672789845549890844438246730660964996823/4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873152,0,1
163,-1160842919803422578088467119580792477771926553748765959274066195371471722972013783623686901821,8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,-1160842919803422578088467119580792477771926553748765959274066195371471722972013783623686901821/8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,377273948936112337878751813863757555275876129968348936764071513495728309965904479677698243091825/8543948143683640329580086824678208458410818089426611079788166431288878903122562200091848347746304,0,1
164,-9201803632588105801920775947896525738436003169959730164977353987700690486973279992138981538825,68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,-9201803632588105801920775947896525738436003169959730164977353987700690486973279992138981538825/68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,3008989787856310597228093734962163916468573036576831763947594753978125789240262557429446963195775/68351585149469122636640694597425667667286544715412888638305331450311031224980497600734786781970432,0,1
165,-18236301744583700589261174151285841917991351736829283417864210630170459328728863984420890686035,136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,-18236301744583700589261174151285841917991351736829283417864210630170459328728863984420890686035/136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,5999743273968037493866926295773041991019154721416834244477325297326081119151796250874473035705515/136703170298938245273281389194851335334573089430825777276610662900622062449960995201469573563940864,0,1
166,-72286063541783584263456943322566770976134394233937761981654521654531097821105978926198470309705,546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,-72286063541783584263456943322566770976134394233937761981654521654531097821105978926198470309705/546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,23926687032330366391204248239769601193100484491433399215927646667649793378786079024571693672512355/546812681195752981093125556779405341338292357723303109106442651602488249799843980805878294255763456,0,1
167,-143273575043894409528169151136344917323954996954691013269027824357184391489737000147135890254565,1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,-143273575043894409528169151136344917323954996954691013269027824357184391489737000147135890254565/1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,47710100489616838372880327328402857468877013985912107418586265510942402366082421048996251454770145/1093625362391505962186251113558810682676584715446606218212885303204976499599687961611756588511526912,0,1
168,-2271909547124611351089539396590612260422714951710100353266012643378209636480115288047440545465245,17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,-2271909547124611351089539396590612260422714951710100353266012643378209636480115288047440545465245/17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,761089698286744802614995697857855107241609508822883618344114235531700228220838621495892582730857075/17498005798264095394980017816940970922825355447145699491406164851279623993595007385788105416184430592,0,1
169,-4503489338974821317248495253596775782494730821437181173633812044566273539768275866839601081247675,34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,-4503489338974821317248495253596775782494730821437181173633812044566273539768275866839601081247675/34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,1517675907234514783912742900462113438700724286824330055514594659018834182901908967124945564380466475/34996011596528190789960035633881941845650710894291398982812329702559247987190014771576210832368861184,0,1
170,-17855010673347232751914622358377805161184991609698000653112878341398049210610693730881712522123135,139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,-17855010673347232751914622358377805161184991609698000653112878341398049210610693730881712522123135/139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,6052848618264711902899056979490075949641712155687622221405265757733938682397025174768900544999742765/139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444736,0,1
171,-35396775545407671946778110991170034793226386875366211821083425483824202821035234940169009035086215,279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,-35396775545407671946778110991170034793226386875366211821083425483824202821035234940169009035086215/279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,12070300460984016133851335847988981864490197924499878230989448089984053161973015114597632080964399315/279968092772225526319680285071055534765205687154331191862498637620473983897520118172609686658950889472,0,1
172,-280704661883349212415147345302069345685818556383718098395103443953117515394721281734828653045683705,2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,-280704661883349212415147345302069345685818556383718098395103443953117515394721281734828653045683705/2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,96281699025988779858395539438609785570235764839615307749520481275919307780389399635046227994669510815/2239744742177804210557442280568444278121645497234649534899989100963791871180160945380877493271607115776,0,1
173,-556541612866987166811534910049767546648761646471764784679309140323232992950227743555180508639708155,4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,-556541612866987166811534910049767546648761646471764784679309140323232992950227743555180508639708155/4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,192006856439110572549979543967169803593822768032758850714361653411515382567828571526537275480699313475/4479489484355608421114884561136888556243290994469299069799978201927583742360321890761754986543214231552,0,1
174,-2206975361369087040804362574335285098779572046353550008211053487488682558250903120994681327364359925,17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,-2206975361369087040804362574335285098779572046353550008211053487488682558250903120994681327364359925/17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,765820450395073203159113813294343929276511500084681852849235560158572847713063382985154420595432893975/17917957937422433684459538244547554224973163977877196279199912807710334969441287563047019946172856926208,0,1
175,-4376116859400418303766364647396251024437208571912467730567060343763273415503219331343739546259616537,35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,-4376116859400418303766364647396251024437208571912467730567060343763273415503219331343739546259616537/35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,1527264783930745988014461261941291607528585791597451237967904059973382422010623546638965101644606171413/35835915874844867368919076489095108449946327955754392558399825615420669938882575126094039892345713852416,0,1
176,-138842253084613271637678296540117418866235071963404657997082187270307492910056686058087736513146015583,1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,-138842253084613271637678296540117418866235071963404657997082187270307492910056686058087736513146015583/1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,48733630832699258344825082085581214022048510259155034956975847731877930011429896806388795516114251469633/1146749307995035755805410447651043470398282494584140561868794419693461438044242404035009276555062843277312,0,1
177,-275331247642368691213701028732097254361855990164717711621332473061457231702993767267733308000645488529,2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,-275331247642368691213701028732097254361855990164717711621332473061457231702993767267733308000645488529/2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,97191930417756147998436463142430330789735164528145352202330362990694402791156799845509857724227857450737/2293498615990071511610820895302086940796564989168281123737588839386922876088484808070018553110125686554624,0,1
178,-1092044161997260089870072619577868885277923196945453395531801831356116885293896627477638850834020870233,9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,-1092044161997260089870072619577868885277923196945453395531801831356116885293896627477638850834020870233/9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,387675677509027331903875779950143454273662734915635955413789650131421494279333302754561792046077408932715/9173994463960286046443283581208347763186259956673124494950355357547691504353939232280074212440502746218496,0,1
179,-2165785907871661072088691508101360079741132597294055616836813687885036280890130182986378726514398932585,18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,-2165785907871661072088691508101360079741132597294055616836813687885036280890130182986378726514398932585/18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,773185569110183002735662868392185548467584337233977855210742486574957952277776475326137205365640418932845/18347988927920572092886567162416695526372519913346248989900710715095383008707878464560148424881005492436992,0,1
180,-17181901535781844505236952630937456632612985271866174560238721923887954495061699451691937897014231531841,146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,-17181901535781844505236952630937456632612985271866174560238721923887954495061699451691937897014231531841/146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,6168302651345682177380065994506546931108061712599956667125701170675775663727150103157405705028109119930919/146783911423364576743092537299333564210980159306769991919205685720763064069663027716481187399048043939495936,0,1
181,-34079020173180564515911966820478159840376031561325727442683431882186605876945580680427655828884580773099,293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,-34079020173180564515911966820478159840376031561325727442683431882186605876945580680427655828884580773099/293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,12302526282518183790244220022192615702375747393638587606808718909469364721577354625634383754227333659088739/293567822846729153486185074598667128421960318613539983838411371441526128139326055432962374798096087878991872,0,1
182,-135192596511188832859826593650468304421711509820204259415480427576586425511839061820158063233267402847129,1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,-135192596511188832859826593650468304421711509820204259415480427576586425511839061820158063233267402847129/1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,49074912533561546328117053495119994505081278064734146167819395210300872460797579440717376953676067233507827/1174271291386916613944740298394668513687841274454159935353645485766104512557304221731849499192384351515967488,0,1
183,-268168920948423750426869144782076472705362175217126481791362815356835368638238139020313535265989438434469,2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,-268168920948423750426869144782076472705362175217126481791362815356835368638238139020313535265989438434469/2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,97881656146174668905807237845457912537457193954251165853847427605244909552956920742414440372086145028581185/2348542582773833227889480596789337027375682548908319870707290971532209025114608443463698998384768703031934976,0,1
184,-4255724180268463865469879906324257066845964954532659384949888156749778676215518293148453929221136740373095,37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,-4255724180268463865469879906324257066845964954532659384949888156749778676215518293148453929221136740373095/37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,1561850774158526238627445925621002343532469138313485994276608953527168774171095213585482592024157183716925865/37576681324381331646231689548629392438010920782533117931316655544515344401833735095419183974156299248510959616,0,1
185,-8442436617073114803391599597951364019094427774667491860954642992038750130654568722083689686617065857929329,75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,-8442436617073114803391599597951364019094427774667491860954642992038750130654568722083689686617065857929329/75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,3115259111699979362451500251644053323045843848852304496692263264062298798211535858448881494361697301575922401/75153362648762663292463379097258784876021841565066235862633311089030688803667470190838367948312598497021919232,0,1
186,-33497409803225584542489250017677992720923052138196822545078099613573105357113288800525607466254809694364757,300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,-33497409803225584542489250017677992720923052138196822545078099613573105357113288800525607466254809694364757/300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,12427539036996691865263511756558535299462452343271021164223974956635622087489030144995000369980534396609324847/300613450595050653169853516389035139504087366260264943450533244356122755214669880763353471793250393988087676928,0,1
187,-66457428005329903022799528109938691440975680980058936707080079982008674264647220026711231925029595703793181,601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,-66457428005329903022799528109938691440975680980058936707080079982008674264647220026711231925029595703793181/601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,24788620645988053827504223985007131907483929005561983391740869833289235500713413069963289508036039197514856513/601226901190101306339707032778070279008174732520529886901066488712245510429339761526706943586500787976175353856,0,1
188,-527417460552937315478813276276747487393275085224723050888103613474239053206668363190708287405022110585422479,4809815209520810450717656262224562232065397860164239095208531909697964083434718092213655548692006303809402830848,-527417460552937315478813276276747487393275085224723050888103613474239053206668363190708287405022110585422479/4809815209520810450717656262224562232065397860164239095208531909697964083434718092213655548692006303809402830848,197781547707351493304554978603780307772478156959271144083038855052839644952500636196515607776883291469533429625/4809815209520810450717656262224562232065397860164239095208531909697964083434718092213655548692006303809402830848,0,1
189,-1046463215382812133886534278326879935304117232588736212079570661655236216679897546013310094057583552748854125,9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696,-1046463215382812133886534278326879935304117232588736212079570661655236216679897546013310094057583552748854125/9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696,394516632199320174475223422929233735609652196685953551953998139444024053688321374847017905459708999386318005125/9619630419041620901435312524449124464130795720328478190417063819395928166869436184427311097384012607618805661696,0,1
190,-4152806654729686047107614978202460374838444175641616336357875152042358459877067103652820057470621046171768475,38478521676166483605741250097796497856523182881313912761668255277583712667477744737709244389536050430475222646784,-4152806654729686047107614978202460374838444175641616336357875152042358459877067103652820057470621046171768475/38478521676166483605741250097796497856523182881313912761668255277583712667477744737709244389536050430475222646784,1573913722142551011853786076738732482063770342568172591479634682624053856293408432284418801781365376499100252025/38478521676166483605741250097796497856523182881313912761668255277583712667477744737709244389536050430475222646784,0,1
191,-8240385979803931999234482077166138649548535824964254405652537605361538514625175038138318333933850138738744775,76957043352332967211482500195592995713046365762627825523336510555167425334955489475418488779072100860950445293568,-8240385979803931999234482077166138649548535824964254405652537605361538514625175038138318333933850138738744775/76957043352332967211482500195592995713046365762627825523336510555167425334955489475418488779072100860950445293568,3139587058305298091708337671400298825477992149311380928553616827642746174072191689530699285228796902859461759275/76957043352332967211482500195592995713046365762627825523336510555167425334955489475418488779072100860950445293568,0,1
192,-1046529019435099363902779223800099608492664049770460309517872275880915391357397229843566428409598967619820586425,9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704,-1046529019435099363902779223800099608492664049770460309517872275880915391357397229843566428409598967619820586425/9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704,400820614443643056374764442715438150052690331062086298545345081662390594889883139030085942080876404598391284600775/9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576704,0,1
193,-2076790748412658323185307993344239119443991352653296883654637728820676657460534399119616280211794842478711319175,19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408,-2076790748412658323185307993344239119443991352653296883654637728820676657460534399119616280211794842478711319175/19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408,799564438138873454426343577437532060985936670771519300207035525595960513122305743661052267881541014354303857882375/19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153408,0,1
194,-8242932351947149014704572963273526401916872894551745362959129129855263021879440656299507916304546539735091318375,78804012392788958424558080200287227610159478540930893335896586808491443542994421222828532509769831281613255980613632,-8242932351947149014704572963273526401916872894551745362959129129855263021879440656299507916304546539735091318375/78804012392788958424558080200287227610159478540930893335896586808491443542994421222828532509769831281613255980613632,3190014820203546668690669736786854717541829810191525455465182973253986789467343533987909563609859510877480340211125/78804012392788958424558080200287227610159478540930893335896586808491443542994421222828532509769831281613255980613632,0,1
195,-16359050360018188044567537111727460089958101590725771566488117811558906612653043764040561864665946209628104308775,157608024785577916849116160400574455220318957081861786671793173616982887085988842445657065019539662563226511961227264,-16359050360018188044567537111727460089958101590725771566488117811558906612653043764040561864665946209628104308775/157608024785577916849116160400574455220318957081861786671793173616982887085988842445657065019539662563226511961227264,6363670590047075149336771936461981974993701518792325139363877828696414672322034024211778565355053075545332576113475/157608024785577916849116160400574455220318957081861786671793173616982887085988842445657065019539662563226511961227264,0,1
196,-129870828368307656108913712989020040305993908546782145701303629157069687190245592330852623782756185215210868900275,1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112,-129870828368307656108913712989020040305993908546782145701303629157069687190245592330852623782756185215210868900275/1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112,50779493892008293538585261778706835759643618241791818969209719000414247691386026601363375899057668419147449740007525/1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818112,0,1
197,-257763928385828901211092699384298658678394001227369639437612786804133237012111810159204953802323189944910912385825,2521728396569246669585858566409191283525103313309788586748690777871726193375821479130513040312634601011624191379636224,-257763928385828901211092699384298658678394001227369639437612786804133237012111810159204953802323189944910912385825/2521728396569246669585858566409191283525103313309788586748690777871726193375821479130513040312634601011624191379636224,101301223855630758175959430858029372860608842482356268298981825214024362145759941392567546844313013648349988567629225/2521728396569246669585858566409191283525103313309788586748690777871726193375821479130513040312634601011624191379636224,0,1
198,-1023244685410411698747064958161912857177867095781376447464462880949741031775352943359268149942555693417676652198275,10086913586276986678343434265636765134100413253239154346994763111486904773503285916522052161250538404046496765518544896,-1023244685410411698747064958161912857177867095781376447464462880949741031775352943359268149942555693417676652198275/10086913586276986678343434265636765134100413253239154346994763111486904773503285916522052161250538404046496765518544896,404181650737112621005090658473955578585257502833643696748462837975147707551264412626910919227309498899982277618318625/10086913586276986678343434265636765134100413253239154346994763111486904773503285916522052161250538404046496765518544896,0,1
199,-2031063571543279502538144012431937580830439712731877873107853457161546269101831219230708136820650748241116972956375,20173827172553973356686868531273530268200826506478308693989526222973809547006571833044104322501076808092993531037089792,-2031063571543279502538144012431937580830439712731877873107853457161546269101831219230708136820650748241116972956375/20173827172553973356686868531273530268200826506478308693989526222973809547006571833044104322501076808092993531037089792,806332237902681962507643172935479219589684565954555515623817822493133868833426994034591130317798347051723438263680875/20173827172553973356686868531273530268200826506478308693989526222973809547006571833044104322501076808092993531037089792,0,1
200,-32253289516107278500305726917419168783587382638182220624952712899725354753337079761383645212711933882068937530547235,322781234760863573706989896500376484291213224103652939103832419567580952752105149328705669160017228929487896496593436672,-32253289516107278500305726917419168783587382638182220624952712899725354753337079761383645212711933882068937530547235/322781234760863573706989896500376484291213224103652939103832419567580952752105149328705669160017228929487896496593436672,12869062516926804121621985040050248344651365672634706029356132446990416546581494824792074439872061618945506074688346765/322781234760863573706989896500376484291213224103652939103832419567580952752105149328705669160017228929487896496593436672,0,1
