log_1_t,w,log10_F,leading_relative_error,corrected_relative_error,series_tail_relative_bound,cutoff
10,6.9776835731702,-23.37672376844294,0.0585210455136,-0.00856443019589,1.3976e-75,318
20,16.139152421266,-99.61157309014137,0.0265203922718,-0.00161130961272,9.248e-76,571
40,35.354961823311,-430.1490576359227,0.0123199348394,-0.00034163195025,1.6069e-76,1670
80,74.608150807166,-1824.18096279618,0.00588477896076,-7.74295250469e-5,3.9037e-77,6301
