t,Phi_q_q,error_from_1_sqrt2,log_error
1.0,0.7581230535231052825218,0.05101627234,0.0696640235
0.5,0.7102498816636103305134,0.003143100477,0.00443516542
0.25,0.7062676156627055563015,-0.0008391655238,0.001187464021
0.125,0.7070168425927268211104,-8.993859382e-5,0.0001272004688
0.0625,0.7071063458774740564748,-4.353090735e-7,6.15620185e-7
