x,n,m,estimate,absolute_error
1.0,3,0,0.94642506248407978538064784159514113,0.00082127858526191011566
1.0,3,1,0.94560367339464388699024980520617199,1.1050417398827474244e-7
1.0,3,2,0.94560378390190556564668037347046772,3.087690381688126034e-12
1.0,3,3,0.94560378389881785527621601405696569,1.9988776233379533822e-17
1.0,4,0,0.94580902066700286158784931430341428,0.00020523676818498632286
1.0,4,1,0.94560377699520171073065346295394923,6.9036161645343387845e-9
1.0,4,2,0.94560378389886610075075451967280166,4.8225485762272236302e-14
1.0,4,3,0.9456037838988178751869423719916432,7.8049875444856312775e-20
1.0,5,0,0.94565508791315199844495242579131549,0.00005130401433412317996
1.0,5,1,0.94560378346738707637449820362787339,4.3143079889049404381e-10
1.0,5,2,0.9456037838988186287113769367991613,7.5344638468936266179e-16
1.0,5,3,0.94560378389881787526468739564695129,3.0485178954822586241e-22
1.0,6,0,0.94561660957882830689211175916873391,0.00001282568001043162712
1.0,6,1,0.94560378387185415669032201597595581,2.6963718574670231461e-11
1.0,6,2,0.94560378389881788703729191972745457,1.1772299672290955056e-17
1.0,6,3,0.94560378389881787526499105663901434,1.1907974851750794981e-24
1.0,7,0,0.94560699029859769424076945177415033,3.2063997798189757772e-6
1.0,7,1,0.9456037838971326538906063007429859,1.6852213743859466935e-12
1.0,7,2,0.94560378389881787544893325762477122,1.8394101018827170352e-19
1.0,7,3,0.94560378389881787526499224278497596,4.6515235582943763e-27
3.0,3,0,0.59031736178527540270257061539311677,0.00459818525020691979
3.0,3,1,0.58571360738912812122404182215177868,5.5691459403616884874e-6
3.0,3,2,0.58571917793540946503302728051061055,1.4003409821204980181e-9
3.0,3,3,0.58571917653498690072909305130393038,8.1582183436211147162e-14
3.0,4,0,0.5868645459881649415936740204621132,0.0011453694530964586811
3.0,4,1,0.58571882977626688104496568936318356,3.4675880160186756357e-7
3.0,4,2,0.58571917655686850329634202363528476,2.1800020383812761184e-11
3.0,4,3,0.58571917653506816538114559062737828,3.175313836718237145e-16
3.0,5,0,0.58600525882924139618214277213791597,0.00028608229417291326961
3.0,5,1,0.58571915488308090190563100274327843,2.165198758100689826e-8
3.0,5,2,0.58571917653540879566107053489312682,3.4031274854127244203e-13
3.0,5,3,0.58571917653506848167329037088231398,1.2392388915687788023e-18
3.0,6,0,0.58579068086962102547475894509193782,0.00007150433455254256223
3.0,6,1,0.5857191751821383023013555641337613,1.3529301806111736983e-9
3.0,6,2,0.58571917653507379907934943594498293,5.3161668201734938901e-15
3.0,6,3,0.58571917653506848290768957642533712,4.8396860257556587979e-21
3.0,7,0,0.58573705160400898309470640937330543,0.000017875068940500182177
3.0,7,1,0.58571917645051533053072481895678158,8.4553152381804443494e-11
3.0,7,2,0.58571917653506856597287176173033159,8.3060342499279238807e-17
3.0,7,3,0.58571917653506848291251035849264307,1.8903958449716950025e-23
10.0,3,0,-0.034855185734394867452794692671485014,0.0029276077216164091701
10.0,3,1,-0.031888109546727548927667209268266292,0.000039468466050909355077
10.0,3,2,-0.031927688128062966347813791161370456,1.1011528450806506944e-7
10.0,3,3,-0.031927577941561504311465129609089376,7.1216953971279225195e-11
10.0,4,0,-0.032629878593644378558949080119070973,0.0007023005808659202762
10.0,4,1,-0.031925214466729502759054629793051446,2.3635460489555236897e-6
10.0,4,2,-0.031927579663225589655783077445843768,1.6504471313730387226e-9
10.0,4,3,-0.031927578012511407636524780783487912,2.6705064621957402084e-13
10.0,5,0,-0.032101380498458221709028242374556328,0.00017380248567976342628
10.0,5,1,-0.031927431838444584224737549467544248,1.4617433387405800681e-7
10.0,5,2,-0.031927578038303816730575691668837222,2.5525358447831336865e-11
10.0,5,3,-0.031927578012777425563228649582448539,1.0327195157052218787e-15
10.0,6,0,-0.031970919003447993595810222694297268,0.000043340990669535313066
10.0,6,1,-0.031927568900812614698960807781256412,9.111965843583783547e-9
10.0,6,2,-0.031927578013176275425218447115048362,3.9781714247409231072e-13
10.0,6,3,-0.03192757801277845425878458155181346,4.0239597732525137851e-18
10.0,7,0,-0.031938406426471459423173161509516626,0.000010828413693001140429
10.0,7,1,-0.031927577443653546629827344656686365,5.6912491165291701015e-10
10.0,7,2,-0.031927578012784670214510110701239005,6.2119317657558969118e-15
10.0,7,3,-0.031927578012778458267035601530285566,1.5708753274041679233e-20
