x,polynomial,up_atom_sum,residual
0,-7,-6.9999999999999076,9.2370555648813024e-14
0.001,-6.995000001997,-6.9949999991649099,2.8320901179768043e-09
0.002,-6.9900000159519999,-6.9900000152909616,6.6103833518127431e-10
0.0030000000000000001,-6.9850000537570001,-6.9850000533210261,4.3597392362926257e-10
0.0040000000000000001,-6.9800001272319996,-6.9800001230850643,4.1469352396461545e-09
0.0050000000000000001,-6.9750002481250002,-6.9750002478920612,2.3293900142107304e-10
0.0060000000000000001,-6.9700004281119998,-6.9700004265048818,1.6071179942400704e-09
0.0070000000000000001,-6.9650006787969998,-6.9650006770526138,1.7443859690047248e-09
0.0080000000000000002,-6.9600010117120004,-6.960001011496427,2.155733369590962e-10
0.0090000000000000011,-6.9550014383169998,-6.9550014342223063,4.0946934731778128e-09
0.01,-6.9500019699999998,-6.9500019695111739,4.8882586867193822e-10
0.010999999999999999,-6.9450026180769999,-6.9450026173818458,6.9515415646037582e-10
0.012,-6.9400033937919998,-6.9400033906969645,3.0950353391290264e-09
0.013000000000000001,-6.9350043083169997,-6.9350043082920996,2.4900081996293011e-11
0.014,-6.9300053727520003,-6.9300053698942037,2.857796665978185e-09
0.014999999999999999,-6.925006598125,-6.9250065973524224,7.7257755748405543e-10
0.016,-6.920007995392,-6.920007994929315,4.6268500142332414e-10
0.017000000000000001,-6.9150095754369998,-6.9150095709548012,4.4821986122656199e-09
0.018000000000000002,-6.9100113490719997,-6.9100113487867088,2.8529090201345753e-10
0.019,-6.9050133270370004,-6.9050133254414705,1.5955299303982429e-09
0.02,-6.9000155200000002,-6.900015517999055,2.0009451873193029e-09
0.021000000000000001,-6.8950179385570003,-6.8950179383439618,2.1303847574927204e-10
0.021999999999999999,-6.8900205932320002,-6.8900205890719395,4.160060740332483e-09
0.023,-6.8850234944770001,-6.8850234939016035,5.7539661924010943e-10
0.024,-6.880026652672,-6.8800266519219564,7.5004358279784356e-10
0.025000000000000001,-6.8750300781250004,-6.8750300747290449,3.395955516793947e-09
0.026000000000000002,-6.8700337810720002,-6.8700337810170922,5.4908078084281442e-11
0.027,-6.8650377716769997,-6.8650377687951494,2.8818503139405038e-09
0.028000000000000001,-6.8600420600319998,-6.8600420591358882,8.9611162934488675e-10
0.029000000000000001,-6.8550466561569996,-6.8550466556700567,4.8694293042217396e-10
0.029999999999999999,-6.8500515699999998,-6.8500515651687266,4.8312731593114222e-09
0.031,-6.8450568114369998,-6.8450568110896306,3.4736924447997808e-10
0.032000000000000001,-6.8400623902720001,-6.840062388692238,1.5797620989133065e-09
0.033000000000000002,-6.8350683162369998,-6.8350683139660431,2.2709567559786592e-09
0.034000000000000002,-6.8300745989919998,-6.8300745987864575,2.0554224988700298e-10
0.035000000000000003,-6.8250812481249996,-6.825081243902174,4.2228256447174317e-09
0.036000000000000004,-6.8200882731519998,-6.8200882724808221,6.7117778002057094e-10
0.036999999999999998,-6.8150956835169998,-6.8150956827133848,8.0361495236047631e-10
0.037999999999999999,-6.8101034885920004,-6.8101034848810302,3.7109701978010889e-09
0.039,-6.8051116976769999,-6.8051116975860007,9.0999208168796031e-11
0.040000000000000001,-6.8001203199999996,-6.8001203170975737,2.9024258552112769e-09
0.041000000000000002,-6.7951293647169999,-6.7951293636073276,1.1096723540049425e-09
0.042000000000000003,-6.7901388409120003,-6.7901388404056524,5.0634785253578229e-10
0.043000000000000003,-6.7851487575969998,-6.7851487524014376,5.1955622026866877e-09
0.043999999999999997,-6.780159123712,-6.7801591232972456,4.1475445300420688e-10
0.044999999999999998,-6.7751699481249998,-6.7751699465635458,1.5614540771480279e-09
0.045999999999999999,-6.7701812396320005,-6.7701812370791545,2.5528459346446652e-09
0.047,-6.7651930069570003,-6.7651930067634307,1.9356960478944529e-10
0.048000000000000001,-6.7602052587520003,-6.7602052544699154,4.2820849088798241e-09
0.049000000000000002,-6.7552180035970002,-6.755218002820115,7.7688522281960104e-10
0.050000000000000003,-6.7502312499999997,-6.7502312491450214,8.5497831037173455e-10
0.051000000000000004,-6.745245006397,-6.7452450023565191,4.0404808387961566e-09
0.052000000000000005,-6.7402592811520003,-6.7402592810188535,1.3314682689724577e-10
0.052999999999999999,-6.7352740825569999,-6.7352740796366497,2.9203501838992452e-09
0.053999999999999999,-6.7302894188320002,-6.730289417470801,1.3611991533934997e-09
0.055,-6.7253052981249999,-6.725305297603084,5.2191584387628609e-10
0.056000000000000001,-6.7203217285120003,-6.7203217229369141,5.5750861704950694e-09
0.057000000000000002,-6.7153387179969997,-6.7153387175033723,4.936273612088371e-10
0.058000000000000003,-6.7103562745119998,-6.7103562729722466,1.5397532138194947e-09
0.059000000000000004,-6.7053744059170004,-6.7053744030678208,2.8491795589502544e-09
0.059999999999999998,-6.7003931200000002,-6.700393119823441,1.7655921169534849e-10
0.060999999999999999,-6.6954124244770004,-6.6954124201392116,4.3377887948281568e-09
0.062,-6.6904323269920001,-6.6904323260979091,8.9409102344006897e-10
0.063,-6.6854528351170002,-6.6854528342165525,9.0044771638986276e-10
0.064000000000000001,-6.6804739563520004,-6.6804739519681862,4.3838142005370173e-09
0.065000000000000002,-6.6754956981250002,-6.6754956979424236,1.8257662048881684e-10
0.066000000000000003,-6.670518067792,-6.670518064857184,2.9348159458209011e-09
0.067000000000000004,-6.6655410726369997,-6.6655410710131875,1.623812195816754e-09
0.068000000000000005,-6.6605647198720002,-6.6605647193388915,5.3310866832134707e-10
0.069000000000000006,-6.6555890166370002,-6.6555890108195888,5.8174114414555333e-09
0.070000000000000007,-6.6506139700000002,-6.650613969418969,5.8103122313468702e-10
0.071000000000000008,-6.6456395869569995,-6.6456395854413293,1.5156702559693258e-09
0.072000000000000008,-6.640665874432,-6.6406658712740505,3.1579494574884848e-09
0.072999999999999995,-6.6356928392769996,-6.6356928391225516,1.5444800993691388e-10
0.073999999999999996,-6.6307204882719999,-6.6307204838810296,4.3909702540645412e-09
0.074999999999999997,-6.6257488281250003,-6.6257488271036022,1.0213980772277864e-09
0.075999999999999998,-6.6207778654720002,-6.6207778645302415,9.4175867104695499e-10
0.076999999999999999,-6.6158076068770004,-6.6158076021352707,4.7417296755725147e-09
0.078,-6.6108380588319999,-6.610838058591832,2.4016788557901236e-10
0.079000000000000001,-6.6058692277570001,-6.6058692248111797,2.9458204764409857e-09
0.080000000000000002,-6.6009011199999996,-6.6009011180997019,1.9002976969773044e-09
0.081000000000000003,-6.5959337418370003,-6.5959337412983361,5.3866422433657135e-10
0.082000000000000003,-6.5909670994719995,-6.590967093562317,5.90968252112134e-09
0.083000000000000004,-6.5860011990369998,-6.5860011983598428,6.7715699714199218e-10
0.084000000000000005,-6.5810360465919997,-6.581036045104983,1.4870167319713801e-09
0.085000000000000006,-6.5760716481249997,-6.5760716446433927,3.4816070026977286e-09
0.086000000000000007,-6.5711080095519998,-6.5711080094259362,1.2606360400013727e-10
0.087000000000000008,-6.5661451367170001,-6.5661451322774678,4.4395322973400653e-09
0.087999999999999995,-6.5611830353920002,-6.5611830342309414,1.1610588046551129e-09
0.088999999999999996,-6.5562217112769998,-6.5562217102967226,9.8027719275251002e-10
0.089999999999999997,-6.5512611700000001,-6.5512611648848527,5.115147416745458e-09
0.090999999999999998,-6.5463014171170002,-6.5463014168105973,3.064029030497295e-10
0.091999999999999998,-6.5413424581120001,-6.5413424551574746,2.9545255131324666e-09
0.092999999999999999,-6.5363842983970004,-6.5363842962063892,2.1906112479541662e-09
0.094,-6.5314269433119998,-6.5314269427710592,5.4094062562626277e-10
0.095000000000000001,-6.5264703981250003,-6.5264703921254572,5.9995430845560804e-09
0.096000000000000002,-6.5215146680320002,-6.521514667248419,7.8358119992572028e-10
0.097000000000000003,-6.5165597581570003,-6.5165597566754396,1.4815606519391622e-09
0.098000000000000004,-6.5116056735520003,-6.5116056697332922,3.8187080164675535e-09
0.099000000000000005,-6.5066524191969997,-6.5066524191063797,9.0619955983584077e-11
0.10000000000000001,-6.5016999999999996,-6.5016999955135013,4.4864982839953882e-09
0.10100000000000001,-6.4967484207970001,-6.4967484194845433,1.3124568098987766e-09
0.10200000000000001,-6.4917976863520002,-6.491797685337537,1.0144631801267678e-09
0.10300000000000001,-6.4868478013570003,-6.486847795854807,5.5021933675902801e-09
0.10400000000000001,-6.4818987704320001,-6.4818987700511492,3.808509063674137e-10
0.105,-6.4769505981249997,-6.4769505951663628,2.9586368910372585e-09
0.106,-6.4720032889120001,-6.4720032864199455,2.4920545627082902e-09
0.107,-6.467056847197,-6.4670568466609613,5.3603876892793778e-10
0.108,-6.4621112773120002,-6.4621112712270765,6.0849236760418535e-09
0.109,-6.457166583517,-6.4571665826151463,9.0185370282824806e-10
0.11,-6.4522227699999997,-6.4522227684491611,1.550838568675772e-09
0.111,-6.447279840877,-6.4472798367066524,4.1703476227894498e-09
0.112,-6.442337800192,-6.4423378001432292,4.8770765204153577e-11
0.113,-6.4373966519170001,-6.4373966473879536,4.5290464711911227e-09
0.114,-6.4324563999519997,-6.4324563984761189,1.4758807509451799e-09
0.115,-6.4275170481249999,-6.4275170470811132,1.0438867548145936e-09
0.11600000000000001,-6.4225786001919998,-6.4225785942871232,5.9048765876923426e-09
0.11700000000000001,-6.417641059837,-6.4176410593721434,4.6485659765949094e-10
0.11800000000000001,-6.412704430672,-6.4127044277121641,2.9598359319038536e-09
0.11900000000000001,-6.4077687162370003,-6.4077687134286414,2.8083588787808367e-09
0.12,-6.40283392,-6.4028339194738191,5.2618087664768609e-10
0.121,-6.3979000453569999,-6.3979000391889098,6.1680900387273141e-09
0.122,-6.3929670956319997,-6.3929670946017003,1.0302994013500211e-09
0.123,-6.388035074077,-6.3880350724619461,1.615053868420091e-09
0.124,-6.3831039838720001,-6.3831039793347628,4.5372372525775972e-09
0.125,-6.378173828125,-6.3781738281250195,-1.9539925233402755e-14
0.126,-6.3732446098719997,-6.3732446053033351,4.5686645577802665e-09
0.127,-6.3683163320769998,-6.3683163304243857,1.6526140456107896e-09
0.128,-6.3633889976319997,-6.3633889965648054,1.0671943329043643e-09
0.129,-6.3584626093569998,-6.3584626030348774,6.3221223811638083e-09
0.13,-6.3535371700000001,-6.3535371694412923,5.5870774673394408e-10
0.13100000000000001,-6.3486126822370004,-6.3486126792793138,2.9576865401281793e-09
0.13200000000000001,-6.3436891486720004,-6.343689145532859,3.1391413912729149e-09
0.13300000000000001,-6.3387665718369997,-6.3387665713269206,5.1007909007694252e-10
0.13400000000000001,-6.3338449541920001,-6.3338449479448737,6.2471263717611691e-09
0.13500000000000001,-6.328924298125,-6.3289242969540949,1.1709051506159085e-09
