case,n,k,expected,observed,match,orbit_sum,orbit_xor
n3_k3,3,3,24,24,1,312,2
n4_k3,4,3,67,67,1,2640,24
n4_k4,4,4,176,176,1,22440,0
n5_k3,5,3,218,218,1,26257,171
n5_k4,5,4,826,826,1,424821,5
n5_k5,5,5,2110,2110,1,3295820,3302
n6_k3,6,3,699,699,1,254436,648
n6_k4,6,4,3526,3526,1,7216755,1365
n6_k5,6,5,12031,12031,1,93978360,6928
n6_k6,6,6,32262,32262,1,752591805,19151
n7_k3,7,3,2125,2125,1,2325813,3879
n7_k4,7,4,15472,15472,1,126820278,5440
n7_k5,7,5,71037,71037,1,2775256422,1464
n8_k3,8,3,6452,6452,1,21175563,7875
n8_k4,8,4,63403,63403,1,2077983108,43648
n8_k5,8,5,369020,369020,1,72076669650,128342
n8_k6,8,6,1539561,1539561,1,1292944446120,2057098
n9_k3,9,3,19550,19550,1,192430554,7258
n9_k4,9,4,258360,258360,1,33865901161,85
n10_k3,10,3,58654,58654,1,1731877671,37197
