x,epsilon,tube_volume,normalized,periodic_profile
0.02,0.1630445642881952,0.9927557952430569,1.9389058896767424,2.575775636482425
0.037963592718543715,0.15985841868447095,0.9863835040356084,1.9405432708636148,2.569532254154337
0.055927185437087426,0.15673453534537632,0.9801357373574191,1.9423477498588637,2.5635534879009425
0.07389077815563114,0.1536716975689526,0.9740100618045717,1.9443186285908167,2.5578374329385243
0.09185437087417485,0.15066871242949886,0.9680040915256642,1.9464552276381784,2.5523822180658553
0.10981796359271856,0.1477244103129468,0.9621154872925601,1.9487568860724394,2.5471860053218367
0.12778155631126226,0.144837644461315,0.9563419555892965,1.95122296130277,2.5422469896479045
0.14574514902980595,0.14200729052606514,0.9506812477187968,1.9538528289233705,2.537563398555151
0.16370874174834968,0.1392322461301866,0.9451311589270397,1.9566458825632547,2.53313349179611
0.18167233446689338,0.13651143043883845,0.9396895275443434,1.9596015337384398,2.5289555610411494
0.1996359271854371,0.13384378373838168,0.9343542341434299,1.9627192117065135,2.5250279295594207
0.2175995199039808,0.1312282670236381,0.9291232007139427,1.9659983633235587,2.5213489519043097
0.23556311262252452,0.12866386159321438,0.9239943898530953,1.9694384529034072,2.5179170136033378
0.25352670534106825,0.12614956865273463,0.9189658039721358,1.9730389620791935,2.5147305308524674
0.27149029805961195,0.12368440892582605,0.9140354845183186,1.9767993896671958,2.5117879502147504
0.2894538907781557,0.12126742227270655,0.9092015112120796,1.9807192515329302,2.509087748323286
0.3074174834966994,0.11889766731622604,0.9044620012991186,1.984798080459473,2.50662843158842
0.3253810762152431,0.1165742210752152,0.8998151088170969,1.989035426018,2.504408535909155
0.3433446689337868,0.11429617860499919,0.8952590238766649,1.9934308544405082,2.5024266263887105
0.3613082616523305,0.11206265264493648,0.8907919719565395,1.9979839484946953,2.500681297054194
0.37927185437087424,0.10987277327284511,0.8864122132123567,2.0026943073609904,2.4991711705803303
0.39723544708941794,0.1077256875661822,0.8821180417990309,2.007561546511695,2.4978948980172104
0.41519903980796163,0.10562055926984432,0.8779077852063552,2.012585297592224,2.4968511585220057
0.43316263252650533,0.1035565684704597,0.8737798036075859,2.0177652083044197,2.4960386590946113
0.4511262252450491,0.10153291127704529,0.8697324892207571,2.023100942291925,2.49545613431717
0.4690898179635928,0.09954879950790425,0.865764265682475,2.02859217902758,2.4951023460974318
0.4870534106821365,0.0976034603836419,0.8618735874339503,2.034238613702843,2.494976083415908
