a=-alpha,terms_N,partial_sum,actual_tail_to_reference,first_omitted_term,hazard_tail_approximation,approximation_over_actual,reference_terms
0.5,25,0.60737270533374532,1.3605409427050124e-05,2.3152046211622242e-06,1.2463804468472009e-05,0.916091833568,900
0.5,50,0.60738594515725419,3.655859181320086e-07,3.9195251159225709e-08,3.472382165782133e-07,0.949812887631,900
0.5,100,0.60738630582041975,4.9227526022685902e-09,3.1867304435979272e-10,4.7965072580928042e-09,0.974354725013,900
0.5,200,0.60738631071025972,3.2912601730287042e-11,1.2454613429611488e-12,3.2587252089520385e-11,0.990114739533,900
0.5,400,0.60738631074306326,1.0907747794191008e-13,2.3566453570700864e-15,1.0905527835402384e-13,0.99979647872,900
1,25,0.75810660565664512,0.00013339474776040522,2.0620806597995121e-05,0.00012440590149387004,0.932614691227,900
1,50,0.75823500948513889,4.9909192665660223e-06,4.9246923888153446e-07,4.7869654663022586e-06,0.959135023155,900
1,100,0.75823990647405326,9.393035229319086e-08,5.6553974475059737e-09,9.2049639067371116e-08,0.979977577216,900
1,200,0.75823999952431653,8.8008902931769286e-10,3.123860417953156e-11,8.7455859551721026e-10,0.993716051881,900
1,400,0.75824000040031114,4.094382758970246e-12,8.3567013372034104e-14,4.1045426846785085e-12,1.00248143037,900
2,25,1.3105593071411741,0.0043268368614678967,0.00053614097154787313,0.0042634024839594423,0.985339318412,900
2,50,1.314578993646546,0.00030715035609591687,2.5115931182958266e-05,0.00030305022704375827,0.986651068538,900
2,100,1.3148749918513734,1.1152151268672406e-05,5.7119514219810342e-07,1.1104415075475095e-05,0.995719552932,900
2,200,1.3148859403004609,2.0370218096554098e-07,6.278959440085834e-09,2.0439799520489958e-07,1.00341584089,900
2,400,1.3148861421444764,1.8581654624121809e-09,3.3510372362185572e-11,1.8763184180639163e-09,1.00976928913,900
3,25,2.702683917763423,0.076811999846177537,0.0072379031158962886,0.08440285256093652,1.09882378704,900
3,50,2.769482193518106,0.010013724091494368,0.00065301421075691457,0.010385561096605166,1.0371327392,900
3,100,2.778807997474904,0.00068792013469665559,2.9130952252103298e-05,0.00070299139057928932,1.02190843838,900
3,200,2.7794717083225384,2.4209287062031584e-05,6.3417490344867093e-07,2.4657567398922353e-05,1.01851687477,900
3,400,2.7794954882008209,4.294087795547728e-07,6.7355848447993318e-09,4.3852490271562185e-07,1.02122947549,900
