order,moment_exact,moment_decimal
0,1,1.0
2,1/9,0.11111111111111111111111111111111111
4,19/675,0.028148148148148148148148148148148148
6,583/59535,0.0097925589989082052574116066179558243
8,132809/32531625,0.0040824582233442073674462926460021594
10,46840699/24405225075,0.0019192897773347005282638230288888249
12,4068990560161/4133856862760625,0.00098430852718100482853945226957211929
14,1204567303451311/2232691548877164375,0.00053951353202241304398914559615532418
16,4146897304424408411/13301767332333178846875,0.00031175536308956227942378226394263078
18,18814360006695807527868793/100028040755473167511640090625,0.00018809085796940749091693192335129284
20,21431473463327429953796293981397/182171989134769427819794434994453125,0.00011764417551302352928459622575184621
22,911368783375270623395381542054690099/12012265189685856975048179723754213046875,0.00007586985210398144800181301193519663
24,3805483535214088799368825731508632105336401423/75749878923357625026812035792140968086378130859375,0.000050237486703634326505251742445575736
26,145207789035057547250789646529728411435729158593693/4265864263161561698961986212637106045311431174856953125,0.000034039477132223527453932477652336022
28,682360217626740313551227884784167957464306726227507465068183/28991257095996374877911696916274356449119004879010121926615234375,0.000023536758525761639748884612465647333
30,273924248263297037680241037316572843974612267333895389712392992144541/16530638923375146098866370391397246561109111877865759668800557077645703125,0.000016570699386334941873557377322346941
32,407312457614567671036647985412452329595629605197217338360762517649335584298587/34354138810330772666360272938584285483716865052546518795723431222388259928623046875,0.000011856284911210846215458943181582682
34,27166737026726099440121501725479033285640809351680949124512223147627646789263602470887/3156147650567411354905783924240925229036265338040714513008445177799615435340881618349609375,0.0000086075621404600861887964318223210487
36,380337188713192654120918397736914091030597304398480133472495490652980913466142231474641996592197219/60065056990904203455176369519776852726500197414189150246909435364886772260376069437916325091519482421875,0.0000063320873693799713290348845009041785
38,3653949214210057934727987403811233325014538232445620975889312798092725011081466942147409969754382926743479659/775033265747322885843134854470588207143742708579408645077122573499394937921673499825902002137693502378158544921875,0.000004714570813533727831470750999612482
40,134692129950210994558727807513170963382350563797470049973431460207786458300543663061905481809917676157997627047401238313/37950360176590058780084424204962493645674857158199447891304441672942043999556264606081965928172129705758499144432545166015625,0.0000035491660506899948524098723028214966
