k,v2_k,multiplicity_plus,multiplicity_minus,multiplicity_total
1,0,1,0,1
2,1,1,1,2
3,0,1,0,1
4,2,1,2,3
5,0,1,0,1
6,1,1,1,2
7,0,1,0,1
8,3,2,2,4
9,0,1,0,1
10,1,1,1,2
11,0,1,0,1
12,2,1,2,3
13,0,1,0,1
14,1,1,1,2
15,0,1,0,1
16,4,2,3,5
17,0,1,0,1
18,1,1,1,2
19,0,1,0,1
20,2,1,2,3
21,0,1,0,1
22,1,1,1,2
23,0,1,0,1
24,3,2,2,4
25,0,1,0,1
26,1,1,1,2
27,0,1,0,1
28,2,1,2,3
29,0,1,0,1
30,1,1,1,2
31,0,1,0,1
32,5,3,3,6
