k,ordinal_exponent_2_to_k_minus_1,sm_X,sm_double_X
1,1,1,2
2,3,2,3
3,7,3,4
4,15,4,5
5,31,5,6
6,63,6,7
7,127,7,8
8,255,8,9
9,511,9,10
10,1023,10,11
11,2047,11,12
12,4095,12,13
13,8191,13,14
14,16383,14,15
15,32767,15,16
16,65535,16,17
