derivative_order_r,prefix_length_n,fft_sup_error,exact_formula,ratio
0,3,0.006944444444484694,0.006944444444444444,1.000000000005796
0,4,0.0017361111111111453,0.001736111111111111,1.0000000000000198
0,5,0.0004340277777777868,0.00043402777777777775,1.0000000000000209
0,6,0.00010850694444447561,0.00010850694444444444,1.0000000000002873
1,4,0.013888888889560407,0.013888888888888888,1.0000000000483493
1,5,0.003472222222222278,0.003472222222222222,1.0000000000000162
1,6,0.0008680555555556378,0.0008680555555555555,1.0000000000000948
1,7,0.0002170138888889735,0.00021701388888888888,1.00000000000039
2,5,0.055555555577056714,0.05555555555555555,1.0000000003870209
2,6,0.013888888888889773,0.013888888888888888,1.0000000000000637
2,7,0.0034722222222227346,0.003472222222222222,1.0000000000001477
2,8,0.0008680555555559828,0.0008680555555555555,1.0000000000004923
3,6,0.44444444582203757,0.4444444444444444,1.0000000030995846
3,7,0.11111111111112507,0.1111111111111111,1.0000000000001257
3,8,0.027777777777787973,0.027777777777777776,1.000000000000367
3,9,0.006944444444450912,0.006944444444444444,1.0000000000009315
4,7,7.111111287536696,7.111111111111111,1.000000024809848
4,8,1.7777777777815271,1.7777777777777777,1.000000000002109
4,9,0.44444444444586295,0.4444444444444444,1.0000000000031917
4,10,0.11111111111132214,0.1111111111111111,1.0000000000018994
