base_a,p_a,sup_grid_error_to_exp_cdf
3.0,0.3333333333333333,0.33333333333333326
2.5,0.2,0.19999999999999996
2.2,0.09090909090909098,0.09090909090909094
2.05,0.02439024390243894,0.024390243902438935
