n,degree,m,atom_count,u_n_exact,u_n_decimal,Q_2n_at_0_exact,Q_2n_at_0_decimal,central_atom_exact,central_atom_decimal,A2_term_decimal,A2_partial_decimal
0,0,1,3,1/2,0.5,1,1,1/2,0.5,0.25,0.25
1,2,4,15,-5/6,-0.83333333333333337,-2/3,-0.66666666666666663,5/36,0.1388888888888889,0.1388888888888889,0.3888888888888889
2,4,16,63,11/30,0.36666666666666664,134/135,0.99259259259259258,737/32400,0.022746913580246914,0.014938271604938271,0.40382716049382716
3,6,64,255,143/5670,0.025220458553791889,-1426/567,-2.5149911816578485,-101959/102876480,-0.00099108173218990375,4.8928579204887262e-05,0.40387608907303207
4,8,256,1023,-7291/85050,-0.085726043503821278,7587914/722925,10.496128920704084,-27661740487/7870050720000,-0.003514810954992168,0.00043229144322465052,0.40430838051625667
5,10,1024,4095,99137/2485890,0.039879882054314551,-9200178166/130509225,-70.494466318377107,-456039031421371/166108967595648000,-0.0027454209006432901,7.573357107933523e-05,0.40438411408733604
6,12,4096,16383,-5726162257/213774110550,-0.026786041781521986,1946131985937422/2672176381875,728.29473351301363,-5571933762507660310140727/1169903880740956705344000000,-0.0047627278225444341,2.8699681372857663e-05,0.40441281376870891
7,14,16384,65535,27288832157947/1167420417713550,0.023375325413096264,-6375764942442515458/583710208856775,-10922.825822988025,-86993589696418209677366522522363/5582317288220588304833960355840000,-0.01558377734636939,1.8841580626487724e-05,0.40443165534933539
8,16,65536,262143,-144048691053129139/11591954102251136250,-0.012426609852186625,43063254838167276630844826/191267242687143748125,225147.04678733691,-3101602745962663344898749577397186223992407/72651934875434995280037077413562188800000000,-0.042691261441013241,4.6794131035897486e-06,0.40443633476243895
9,18,262144,1048575,245262858648906702103531/100278737599471847129463750,0.0024458111910874163,-305857399722396790770917542392802/50139368799735923564731875,-6100144.5978316283,-37507730097418180041162599607397189620739099220236591931/659018561260337807606801771749615578700405968998400000000,-0.056914527605545204,1.6167546979590393e-07,0.40443649643790874
10,20,1048576,4194303,190920333865973179103798951/82729958519564273881807593750,0.0023077532889228232,355919825053110866657212831320322187774/1695964149651067614577055671875,209862823.53099197,33976165914329345877712018063378433910435174733837550809483112537/73561299354282056929590230767121464933486065274523904000000000000,0.46187555430057214,1.298957376227831e-07,0.40443662633364641
11,22,4194304,16777215,-45956358119729097218525273579033/23132967547232266175685815725893750,-0.0019866174984206697,-4645059381793313858685309124325542453992315874/520491769812725988952930853832609375,-8924366630.1671124,106735006218550490002329028296693307871522915312525810175069184015308119734921/25250798962588835544620280001242658356377383100634948127204974796800000000000,4.2269952082184528,8.7703313000693308e-08,0.40443671403695941
12,24,16777216,67108863,-288790922470991027558048162741110956139/831657364559867966928661506179358237656250,-0.00034724747808110348,9356630755749140630709809218542726435982768122237990506/20375605431716765189752206901394276822578125,459207496292.82495,-1351055013586620128790935910692637337168346661714118358060095015159696323823238372205832208167/142149344052879153705776162059042408664478637929308839256193436028366275400601600000000000000,-9.5044758918059546,2.4608328782384987e-09,0.40443671649779228
13,26,67108864,268435455,69634382881546891226009066389155697684816028851/55811580141189234690704075791564205398794722343750,0.0012476690805992134,-8254511363575754019065640089179653088445496215647823948818894/293745158637838077319495135745074765256814328125,-28100927354356.297,-287398902395656886225811535156476245081957779592370817700687350720945826006948731292502272164423230438955397/550104157962229976336169185867297053687168765299273551323251417977750983064288056010022174720000000000000,-522.44451934389781,2.937128556006201e-08,0.40443674586907785
14,28,268435456,1073741823,-532451572082897253165210832605946532352284232646967/1078681468030030704536030877346318859380727031747656250,-0.00049361334913382759,61977075092479862358068284801853052116944949313484919316253435681080802/30742421838855875079276880004370087492350720404808203125,2016011471618868,-16499895533045338687638835425951099025103887445439787021514828475191786610040992353336908804544469242614073892397933613767/4450831755799951325330590145971174012178553007125030341363913429370051206427091648501549200749724999680000000000000000,-3707.1487843916043,4.2746340077739296e-09,0.40443675014371183
15,30,1073741824,4294967295,-28527496961544077794027916352456706342142370756766540750813723/92426387392326734717272474641404839989977251031901762368617031250,-0.00030865100071965422,-2037354440475716418944826933390025772976453835030671970314168678567869633150321266/12161366762148254568062167715974321051312796188408126627449609375,-1.675267657264393e+17,29060311305129667422686680386691773376544358501913945830726746072396560438019901903001564706017776120837099736348301433205425901738284185766659/603459653086669375917169323570201715643512139554218800162692205675253545235814355871304755109567336287247695507189379203072000000000000000,48156.179384135234,1.561728528610557e-09,0.40443675170544036
16,32,4294967296,17179869183,3011717718122044103681662943749591151476897522194584615537451666454349/5654819245655892586393537751973655849168951865755314402080796062660156250,0.00053259310108553614,613885994121639094556827163813525105935834847413909805859140062235671855560217182494443011902/38465921612891827477211855638425449671672521412405336339735647635537109375,1.5959217103897379e+19,924425662701552737096787888592701438853538994764853568969399316987823106525108234910195241788526972731731205582147786766834475828605799954892318433977708373330899/467115991316498960876596381484607719795763151472196372105503777053797996424541309119988071080811904896165784504150999907196703555669114880000000000000000000,1979006.670476411,4.3639294049832024e-09,0.40443675606936974
17,34,17179869184,68719476735,-39966281188040227508987585697426362717086979873078535565725300914256254453563129/70599002624744348776887198802801732816554587337337324428756030461499042094886718750,-0.00056610263179599635,-4207383982697457333522832881496957163708048184949432604623031301856585759368947348481865437731402378457842/2435665590553680032802608358696659782171133263138137692792083050921716952273591796875,-1.7274062576632398e+21,84076745659271579550592211815798198403307959696914262612916461608540009821189940720417415963457666038451495972286692724289645585944122801871366530759444720658343596283224087624506053809/1477087025332722878694713060315312941627982782076145948426792436759423413272718056491699778007877461159298706009677141174403163252823538213049519731143540015104000000000000000000,56920644.631844074,4.6445244887877299e-09,0.40443676071389428
18,36,68719476736,274877906943,5257566613113238184086031639512153315351927981725240624569679327687083702061133412547616147/9441125335939206732310154501767941400175951010907664817867565663739075252668343093325292968750,0.00055687923060394515,1234820899422894546409074367652581916747556040293803069772198422134563948672953976111638822900851899550713827983890331766/5858218270950277777398450868347007638809177602268206019486824494350096194280706889408344287109375,2.1078437885220532e+23,3246076566990135105671128664272196280355221097022914387224741490535333451146052166992370068515896607108037331650439258662507846923332824363619081240158692445357791129106187539410225291810356163413183572124312801/1900374351876217807236674480899850819364822550611849430536977483924676729541565330161713953795345639784816665706807634093684121586538049564609499759656190340478375522778642356797440000000000000000000000,1708124803.8236892,4.2481435270964637e-09,0.40443676496203779
