degree,node_kind,m,shift_count,right_inverse_residual_inf,projector_norm_2,smallest_nonzero_projector_singular_value,decoder_norm_2,kernel_norm_2,max_abs_decoder_entry,max_decoder_row_l1,elapsed_seconds
2,equispaced,4,15,2.2677761589035076e-16,2.187610984208423,1.004084449772377,5.320217558491168,0.48591692380846213,2.3506944444444446,4.902777777777779,0.01852785699998094
4,equispaced,16,63,3.22785844858981e-15,6.656732837695741,1.0000273869607956,104.31550508342418,0.3341539302344776,29.326559877748842,86.25161337770062,0.030607124999960433
6,equispaced,64,255,2.4452469363135504e-14,33.029468620117626,1.0000179934282252,2336.5875288390257,0.20283831765411653,405.9243455160002,1394.8455037884203,0.054219095000007655
8,equispaced,256,1023,3.106461921506138e-13,131.88378171319079,1.0000000634244923,46141.08921982783,0.11655400978740627,4693.5110625893585,18281.39410421731,0.1215017380000063
10,equispaced,1024,4095,6.426620022233735e-12,529.9628266069805,1.0000000814878236,821932.2651074578,0.064962654757061,46813.05088408027,201577.25655211767,0.3804787099999203
12,equispaced,4096,16383,2.6116874667766614e-10,3017.1055871491067,1.0000000064975993,14089855.932890832,0.0355093703259276,434760.9538585245,2029049.8401140505,0.936999333000017
2,chebyshev,4,15,2.7461636359977286e-16,2.187610984208424,1.0040844497723769,5.32021755849117,0.48591692380846213,2.350694444444445,4.902777777777779,0.016110462000028747
4,chebyshev,16,63,1.52564054328655e-15,5.098319965131842,1.0017266642954243,72.14542902803153,0.32436801107188634,22.617141162778427,64.93871003327547,0.03145005900000797
6,chebyshev,64,255,6.129589392807247e-15,11.006713762080665,1.0000207799729761,928.5307705912949,0.1927069590797359,186.1126449278347,659.8248870702054,0.07265303399992717
8,chebyshev,256,1023,5.46048205567866e-14,40.48862807690904,1.0000222432301848,9739.715117691374,0.10966229403949822,1200.8850353653536,4935.109595837368,0.06842203500002597
10,chebyshev,1024,4095,1.355791586014134e-12,66.23956473951738,1.000002488873535,86604.84845392175,0.060780343456615774,6297.926621015296,28795.919719467263,0.16576630200006548
12,chebyshev,4096,16383,2.152797211329993e-11,111.36564823803431,1.0000000821495627,718800.3030051603,0.033103294169137966,29054.796841265535,147002.41176488262,0.6129357170000276
