degree,coefficient
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,256
11,4192
12,32576
13,159418
14,550047
15,1420449
16,2845950
17,4526996
18,5803019
19,6049225
20,5150665
21,3583938
22,2031824
23,932405
24,342684
25,99255
26,22114
27,3651
28,420
29,30
30,1
