n,k,j,modulus,residue
1471,1046,521,1000000009,0
1701,610,505,1000000009,439228697
1854,1713,549,1000000009,366891231
2336,1689,145,1000000009,782191592
2543,1785,663,1000000009,0
2807,2566,502,1000000009,0
2842,2673,2118,1000000009,0
