m,Gr_m,certification
1,1,Positive integrand on (0 1) and direct n=1 coefficient
2,4,Zero coefficient at 3 and positive exact cumulative total at 4
3,11,Exact negative obstruction and finite positives then tail anchor 12
4,36,Exact negative obstruction and finite positives then tail anchor 40
5,113,Exact negative obstruction and finite positives then tail anchor 126
6,346,Exact negative obstruction and finite positives then tail anchor 378
