r,max_value,profiles,states,cycles,perfect_profiles,max_period
1,7,7,35,7,7,8
2,7,27,600,53,17,49
3,7,75,6500,358,19,216
4,7,165,48181,1865,25,625
5,7,297,247929,8025,11,1024
