n,M_with_A=2^-M,filtered_exact,smooth_bound_exact,ratio_exact,sign_check
1,2,-1/16,1/8,1/2,True
2,3,12703/12441600,1/384,12703/32400,True
3,4,-57176347/19664496230400,1/98304,57176347/200037600,True
4,5,90140447894489/55455767161366118400000,1/125829120,90140447894489/440722840320000,True
5,6,-120352956794270544887/633908631433132141478255001600000,1/773094113280,120352956794270544887/819963081523998720000,True
6,7,1687823542225034531881796288737/351111411326114940139025669778016944783360000000,1/22166154415964160,1687823542225034531881796288737/15839978587952224476266496000000,True
7,8,-13794836192979518233444806634761647753/510682235647543032442731020833331490070022015774883840000000,1/2905362191609254379520,13794836192979518233444806634761647753/175772314075816022861459192020992000000,True
8,9,5294376482175909723567007590790596299478826742761/154635031296255835416381904175294282690243861938904990670198574940160000000000,1/1713652349303736855146004480,5294376482175909723567007590790596299478826742761/90237107520136512916917064028756159496192000000000,True
9,10,-3662259744003121491654069308124671316368997200626709806495789/369767362772848900476085999181959466154977553657371655572826412261857066558077345464320000000000,1/4492236814558787941553941984051200,3662259744003121491654069308124671316368997200626709806495789/82312526707069021654061674334210806994949205166496153600000000,True
10,11,278200320982051591988156077214430163993198324114635684777569868291094378709/421637056866431127848348001921093784721972888839384970212595249588008361825901290026326890536322067333120000000000000,1/51814968810690751870631528968553182003200,278200320982051591988156077214430163993198324114635684777569868291094378709/8137360043714561316864177966685284941518014872251108250953030041600000000000,True
11,12,-1041719587714971071972556449072276922216009461384459307495016646056136949364096859713307/102172982242070848309197018029368844748747435666975943937526394318865504805878685893938098723763168336984127219775786933288960000000000000,1/2607932771310665560007967653747021825864997273600,1041719587714971071972556449072276922216009461384459307495016646056136949364096859713307/39177766914107183252602443394359781753674883272390475748968234877042581674393600000000000,True
12,13,2033127412892271338384241553958960791332274575145812902479405451388391131676587394667202339152059863653903/55309741320830777465343396482752410049081224027597370103094022267609719279846796053074983389559832976168530606177220264600968975868794293517895598080000000000000000,1/568800068430849309652190255623050928880268799281777868800,2033127412892271338384241553958960791332274575145812902479405451388391131676587394667202339152059863653903/97239336615085067840914970185390074484593398993022348793448538837154004727186518824128715161600000000000000,True
