n,primitive_orbits,B_n,proved_divisor
144,2193781151831281693433133853682100623841642973704450566225674993331162087638536357393056021368320,105795773140011655740409618715379081010881702049790247213815344971603109936272007976131173870,27
145,10763374651086041210762876825501860859643559416549505823751178480669516488537071181147768277611825,511932206948206478514286650440040944572820899716980062960817050210202924543974848092640583953,21025
146,52812236454660181537195505800944323300266148188457720576810544214667899157669448631147877536159726,4955173245886674942502862244412115152961732800568373107225609327703874944423855191513218008647/2,5329
147,259149982320827920604288040869812921468782773993557364096776223046297845145899834471735520705938190,11992687413615989661913463874765742119893691239463064653467361888393625116659717454381763186910,7203
148,1271738787439031250912206448472743507264574645430571231809403048058529564532644249475839632697251660,232238639050224844943792265973839208777314580977094819541527218418285165181271776748692409185035/4,1369
149,6241289892705936775798623712322854714805506601011691079645234568620442669096382350021084790112200851,281126520999321506950075389051072236151772740012237785669349784632243712855113839467640412148651,22201
150,30632334762960536461509087919126483797246482453574512121368157029616129121105626558836970769871996250,2722874201152047685467474481700131893088576218095512188566058402632544810764944583007730735099733/2,1875
151,150353922166650228363666812486172959676322404987139174281355161569869663364670158853384053099424985553,6594181051999922300059945286880968364384123722079697130887029585100200138795235246409545769897153,22801
152,738036702804824902577041152565598063500552450012452165164335549677334839614332131229170003771966024800,63888218733104648768788188414612020732388543110496205433200792042705578221462268977594356282199275/2,361
153,3623008227934332158416721663241965837322122784127371575302331012516214836929896057867151807915483735611,464309653714511362093646246730996518944267946190871661579178650841498761621158023563648828388502337/3,7803
154,17786417245435822503865364750006774763505697476247337303711261446765436528416164792376075167207575983882,1499950855577316790678475691516847256156661956168606620316348578745609422197349029547653496981580029/2,5929
155,87324290870950915418669975399249472502745380399353710167518890520144423858121437649361890148243970510475,3634725946761744658425389194557730385129880557725440589699017295323389130410881900077498029063224579,24025
156,428754550329322965390733388770798679823434259822143998048515150661735130945896551263096185221427629600540,211417431128857478003320211425443136007610581766343194304001553580737244056162007526181550898139856805/12,507
157,2105276554881403628987709913964570589770737403502797838150676172094769981790958042742243421973991855456427,85410221708036984420776092902940102631779682887857431869474468420413403456162848096971212705342685523,24649
158,10337986572357559753376662637662772266775257770378693210343283920258295897128622432837959753476533098677538,828231579262743130377877154114947305461885737091707515649998711765606144618540492936865867126785218609/2,6241
159,50767857815220389962343521475778378999146573312602849277822253815434283131945025298052852216478270303072346,6024428363026034171394745636143156401939785607286442301865699989964908405357188239949311999107424979598/3,8427
160,249325932184886936009585251944315788837462937859063897234864025218118923030627405791005147065421697969100800,9739294225972145937874423904074835501463396010119683485736875985082770430883883038711138557243035076918,25
161,1224535788135425802179670199913899200575524201093952447315076622669744643421512795841766705259057413838898965,47241070488616403772218286328224188903804799239765149774895899952538275661491176877503441428149277182165,25921
162,6014515054916352479049240146937203482343628108226678319167614475526713215887957054795775907667668857566320800,687530298915906776297352554519570585544539107021796790028305266978362278908088369318218553688576686964600/3,2187
163,29542996616530199041661258550287813205148290074853810129475816407652688992516000849163365659317273780256424997,1111934834451059469368860647758207429905088263572351617655004569522853287384395379922592708017511904108413,26569
164,145121902914734628770041963903004056077529577371945619753891130546877148659669548126353786454386933253159857740,21582674437051550977103207005205838203082923464001430659412720188411235672169772178220372762401388050737635/4,1681
165,712911430177877836366940724133949259827937290832477774746334095357466507274927171068542862913029654040061611125,26185911117644732281613984357537162895424693878144270881408047579704922213955084336769251163013026778331005,9075
166,3502370552422779681442386805857051164699021677379253666287089623987603803691343544288304183743907017190203521994,254200214285293923751080476546454577202716045680015507786840588183161837980210737718704034238924881491522973/2,6889
167,17207279859957953874474822924898849095059833767210434185109615527888469947762368659831388642996078162543048460617,616991640430203803452071530886688267598688865402504004629410001358545302727325062204861724801752596455342553,27889
168,84544563119763765171569254592937602676023940670982568459951180258983630050308950588283506028358767913482570114048,8986454413240196127930405462684694161992340632544915865215899262221899452626376550625372664578950671075953456/3,147
169,415415026926609689181205063376540027202497589974411586692178931380544932152173993564118786696052150165754157023436,14544834807135943740807571981952313546531899792528678501879448597056998429752949601348649791535735799368164876,28561
170,2041274942377632959574065447587739863414719989791176153810551025657143294397341607689836300289221505384841892756050,141264701894645879555298646891885111654997923168939526215263046758279812761061702954313930815863079957428504689/2,7225
171,10030979051215394608659476612161080150921321148300843602400972426282785568582686041845726388660667899421836906501694,1029135021156806669607004884801588196462636826541586498656096483665003136204235769143913654320372206773554622602/3,9747
172,49295513723699836364025756622165232190706922924006715871565803800054331774964547385935683532230283047856706396681996,6665158697093001130885040105755169306477409805841903173548648431591986448751290885064316323990032862068240453851/4,1849
