p,m,r,n,required_exponent,actual_valuation,quotient_mod_p
3,1,1,3,2,2,2
3,1,2,9,5,5,2
3,1,3,27,8,8,2
3,1,4,81,11,11,2
3,1,5,243,14,14,2
3,1,6,729,17,17,2
3,1,7,2187,20,20,2
3,2,1,6,2,2,1
3,2,2,18,5,5,1
3,2,3,54,8,8,1
3,2,4,162,11,11,1
3,2,5,486,14,14,1
3,2,6,1458,17,17,1
3,2,7,4374,20,20,1
3,3,1,9,5,5,2
3,3,2,27,8,8,2
3,3,3,81,11,11,2
3,3,4,243,14,14,2
3,3,5,729,17,17,2
3,3,6,2187,20,20,2
3,4,1,12,2,2,2
3,4,2,36,5,5,2
3,4,3,108,8,8,2
3,4,4,324,11,11,2
3,4,5,972,14,14,2
3,4,6,2916,17,17,2
3,5,1,15,2,2,2
3,5,2,45,5,5,2
3,5,3,135,8,8,2
3,5,4,405,11,11,2
3,5,5,1215,14,14,2
3,5,6,3645,17,17,2
3,6,1,18,5,5,1
3,6,2,54,8,8,1
3,6,3,162,11,11,1
3,6,4,486,14,14,1
3,6,5,1458,17,17,1
3,6,6,4374,20,20,1
3,7,1,21,2,3,0
3,7,2,63,5,6,0
3,7,3,189,8,9,0
3,7,4,567,11,12,0
3,7,5,1701,14,15,0
3,8,1,24,2,4,0
3,8,2,72,5,7,0
3,8,3,216,8,10,0
3,8,4,648,11,13,0
3,8,5,1944,14,16,0
3,9,1,27,8,8,2
3,9,2,81,11,11,2
3,9,3,243,14,14,2
3,9,4,729,17,17,2
3,9,5,2187,20,20,2
3,10,1,30,2,2,2
3,10,2,90,5,5,2
3,10,3,270,8,8,2
3,10,4,810,11,11,2
3,10,5,2430,14,14,2
3,11,1,33,2,4,0
3,11,2,99,5,8,0
3,11,3,297,8,13,0
3,11,4,891,11,15,0
3,11,5,2673,14,18,0
3,12,1,36,5,5,2
3,12,2,108,8,8,2
3,12,3,324,11,11,2
3,12,4,972,14,14,2
3,12,5,2916,17,17,2
5,1,1,5,3,3,3
5,1,2,25,6,6,3
5,1,3,125,9,9,3
5,1,4,625,12,12,3
5,1,5,3125,15,15,3
5,2,1,10,3,5,0
5,2,2,50,6,8,0
5,2,3,250,9,11,0
5,2,4,1250,12,14,0
5,3,1,15,3,3,4
5,3,2,75,6,6,4
5,3,3,375,9,9,4
5,3,4,1875,12,12,4
5,4,1,20,3,4,0
5,4,2,100,6,7,0
5,4,3,500,9,10,0
5,4,4,2500,12,13,0
5,5,1,25,6,6,3
5,5,2,125,9,9,3
5,5,3,625,12,12,3
5,5,4,3125,15,15,3
5,6,1,30,3,4,0
5,6,2,150,6,7,0
5,6,3,750,9,10,0
5,6,4,3750,12,13,0
5,7,1,35,3,4,0
5,7,2,175,6,7,0
5,7,3,875,9,10,0
5,7,4,4375,12,13,0
5,8,1,40,3,3,3
5,8,2,200,6,6,3
5,8,3,1000,9,9,3
5,8,4,5000,12,12,3
5,9,1,45,3,4,0
5,9,2,225,6,7,0
5,9,3,1125,9,10,0
5,10,1,50,6,8,0
5,10,2,250,9,11,0
5,10,3,1250,12,14,0
5,11,1,55,3,3,2
5,11,2,275,6,6,2
5,11,3,1375,9,9,2
5,12,1,60,3,4,0
5,12,2,300,6,7,0
5,12,3,1500,9,10,0
7,1,1,7,3,3,2
7,1,2,49,6,6,2
7,1,3,343,9,9,2
7,1,4,2401,12,12,2
7,2,1,14,3,3,3
7,2,2,98,6,6,3
7,2,3,686,9,9,3
7,2,4,4802,12,12,3
7,3,1,21,3,3,4
