x,nmax,partial_sum,sinh_2x_over_2x,absolute_error
0.1,4,1.0066800127054705,1.00668001270547,4.4408920985006262e-16
0.1,8,1.0066800127054705,1.00668001270547,4.4408920985006262e-16
0.1,16,1.0066800127054705,1.00668001270547,4.4408920985006262e-16
0.1,32,1.0066800127054705,1.00668001270547,4.4408920985006262e-16
0.1,64,1.0066800127054705,1.00668001270547,4.4408920985006262e-16
0.5,4,1.1752011935422824,1.1752011936438014,1.0151901541632924e-10
0.5,8,1.1752011936438016,1.1752011936438014,2.2204460492503131e-16
0.5,16,1.1752011936438016,1.1752011936438014,2.2204460492503131e-16
0.5,32,1.1752011936438016,1.1752011936438014,2.2204460492503131e-16
0.5,64,1.1752011936438016,1.1752011936438014,2.2204460492503131e-16
1.0,4,1.8134300932415224,1.8134302039235095,1.1068198713104493e-07
1.0,8,1.8134302039235088,1.8134302039235095,6.6613381477509392e-16
1.0,16,1.8134302039235091,1.8134302039235095,4.4408920985006262e-16
1.0,32,1.8134302039235091,1.8134302039235095,4.4408920985006262e-16
1.0,64,1.8134302039235091,1.8134302039235095,4.4408920985006262e-16
2.0,4,6.8223340608675382,6.8224792992819374,0.00014523841439917362
2.0,8,6.8224792992677576,6.8224792992819374,1.4179768470512499e-11
2.0,16,6.8224792992819436,6.8224792992819374,6.2172489379008766e-15
2.0,32,6.8224792992819436,6.8224792992819374,6.2172489379008766e-15
2.0,64,6.8224792992819436,6.8224792992819374,6.2172489379008766e-15
4.0,4,185.9246183379762,186.30985322369378,0.3852348857175798
4.0,8,186.30984652663963,186.30985322369378,6.6970541467981093e-06
4.0,16,186.30985322369378,186.30985322369378,0
4.0,32,186.30985322369378,186.30985322369378,0
4.0,64,186.30985322369378,186.30985322369378,0
