t,order_k,conditional_weight,jmax,omitted_mean_bound,unconditioned_mean,P_K_eq_0
1.0,1,0.97826923393626974,45,8.975e-29,0.10300096592731099195,0.89920100773895217
1.0,2,0.02161648606500878,45,8.975e-29,0.10300096592731099195,0.89920100773895217
1.0,3,0.0001141308665203461,45,8.975e-29,0.10300096592731099195,0.89920100773895217
1.0,4,1.4908363108351411e-07,45,8.975e-29,0.10300096592731099195,0.89920100773895217
1.0,5,4.8566208415482038e-11,45,8.975e-29,0.10300096592731099195,0.89920100773895217
1.0,6,3.9530202456269981e-15,45,8.975e-29,0.10300096592731099195,0.89920100773895217
4.0,1,0.73780870415547029,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,2,0.24193792111548462,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,3,0.019840818821886829,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,4,0.00041042099076495504,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,5,2.1321415846089904e-06,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,6,2.7739058982039025e-09,47,8.975e-29,0.85939301993363766185,0.33009568785604404
4.0,7,9.0273131287981169e-13,47,8.975e-29,0.85939301993363766185,0.33009568785604404
16.0,1,0.11978348316600965,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,2,0.3800474026862391,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,3,0.3793855953826234,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,4,0.11169760474391274,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,5,0.0089021626722410405,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,6,0.00018280221220355654,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,7,9.479037235181774e-07,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,8,1.2326459598028513e-09,49,8.975e-29,2.4845607231326614147,0.010308569323348508
16.0,9,4.0110188377374724e-13,49,8.975e-29,2.4845607231326614147,0.010308569323348508
64.0,1,0.0011577242386339693,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,2,0.020748179435719785,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,3,0.1421953986945389,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,4,0.37555965510453548,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,5,0.35096342691544113,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,6,0.10119231960457746,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,7,0.0080180450633422339,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,8,0.00016439769348959037,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,9,8.521413503172468e-07,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,10,1.1080105160896513e-09,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
64.0,11,3.6053691934211752e-13,51,8.975e-29,4.3908107231326629977,2.0133924459664543e-05
256.0,1,6.0829426131411402e-07,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,2,4.9048152931159051e-05,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,3,0.0016292764189505416,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,4,0.02360778511588842,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,5,0.14763041206061583,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,6,0.37494814543040705,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,7,0.34512158446857916,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,8,0.099016969263683932,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,9,0.0078347562079339374,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,10,0.00016058122198146535,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,11,8.3228225171042427e-07,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,12,1.0821633509005674e-09,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
256.0,13,3.5212443765572084e-13,53,8.975e-29,6.3673732231326629977,2.4577544506426444e-09
