theta,Q_direct,Q_fourier_4,Q_first_harmonic,abs_error,tail_bound
0,-1.64043927680912934138646772573,-1.64043927686733700229993513295,-1.64043927686438824953918903888,5.82076609135e-11,7.25033829778e-56
0.00389105058366,-1.64043934184879725198843671493,-1.64043934190684813423933284642,-1.6404393419038432284114718397,5.80508822509e-11,7.28955331895e-56
0.00778210116732,-1.64043940889217794661828224162,-1.6404394089500724724800441657,-1.64043940894701859644915881935,5.78945258618e-11,7.32898044305e-56
0.011673151751,-1.64043947789920065509072419406,-1.64043947795693924569942211592,-1.64043947795384369938659530795,5.77385906087e-11,7.36862081726e-56
0.0155642023346,-1.64043954882862098202257268376,-1.64043954888620405737997337142,-1.64043954888307424031371187796,5.75830753574e-11,7.408475595e-56
0.0194552529183,-1.64043962163804555814023906308,-1.64043962169547353711686102199,-1.64043962169231693074542958834,5.74279789766e-11,7.44854593592e-56
0.0233463035019,-1.64043969628395737827898045133,-1.64043969634123067861714087034,-1.64043969633805482842507889988,5.72733003382e-11,7.48883300593e-56
0.0272373540856,-1.6404397727217418109298015722,-1.64043977277886084924665506262,-1.64043977277567334671822413088,5.71190383169e-11,7.52933797726e-56
0.0311284046693,-1.64043985090571326378805739294,-1.64043985096267845557862654288,-1.64043985095948692005130282763,5.69651917906e-11,7.57006202849e-56
0.0350194552529,-1.64043993078914248936595487332,-1.6404399308459542490061526394,-1.64043993084276630945754118275,5.68117596402e-11,7.61100634454e-56
0.0389105058366,-1.64044001232428451434848021175,-1.64044001238094325509812417075,-1.64044001237776653190983102758,5.66587407496e-11,7.65217211678e-56
0.0428015564202,-1.64044009546240717600075182954,-1.64044009551891331000657031032,-1.64044009551575539674862370929,5.65061340058e-11,7.69356054299e-56
0.0466926070039,-1.64044018015382024856939379168,-1.64044018021017418686802391127,-1.6404401802070426321473864273,5.63539382986e-11,7.73517282744e-56
0.0505836575875,-1.64044026634790514227151088837,-1.64044026640410729479248851224,-1.64044026640100958420904904156,5.6202152521e-11,7.77701018092e-56
0.0544747081712,-1.64044035399314515711897956648,-1.64044035404919593268772121643,-1.64044035404613947094089862216,5.60507755687e-11,7.81907382077e-56
0.0583657587549,-1.6404404430371562734981876608,-1.64044044309305607983896439025,-1.64044044309004817302769466335,5.58998063408e-11,7.86136497091e-56
0.0622568093385,-1.64044053342671846110022025419,-1.64044053348246770483912351437,-1.64044053347951554299754003058,5.57492437389e-11,7.90388486186e-56
0.0661478599222,-1.64044062510780748749120847295,-1.64044062516340657415910799005,-1.64044062516051721406966104561,5.55990866679e-11,7.94663473084e-56
