n,real,imag,absolute_value
0,-1.640442694376616662103872915921478971827,0.0,1.64044269437661666210387291592
1,0.000001708756114206282341938518250694058679117,0.000001309392050320833381576519713606023985509,0.00000215275521118420458477495266868
2,-0.000000000001474376777224502479020434458244073986671,6.104880365546261701243530953634050005986e-13,1.59577019774002321442356469046e-12
3,3.968509986079599652959559400367986215736e-19,-9.695226253375595472437840553369770595028e-19,1.04759955905754795430328690371e-18
4,4.568362372888755786008745560912697039525e-25,4.412036071179973383086007042988948241388e-25,6.35106267198009930984443326976e-25
5,-4.791100521127655542980115067041361381657e-31,-9.068643085469905511202240269246049163484e-33,4.79195870519465731244599847271e-31
6,1.568262035324919085120013438977245719578e-37,-2.23285388409912595742902367179513011508e-37,2.72856780732640228269602779694e-37
7,9.338013767227791111584826461165331243913e-44,1.839579127442306909577382043269328293348e-43,2.06301632986526717894677183844e-43
8,-1.038448413027771495304820498936187770784e-49,-3.936358518012025493405749855596863572822e-50,1.11055134520793562260617882605e-49
