t,P_K_eq_0_product,P_K_eq_0_negative_Laplace,absolute_error,log_P_K_eq_0,jmax
1,0.8992010077389521603632921680785955517121,0.8992010077389521603632922610538006004379,9.29752050487258e-26,-0.10624867913720834294656731142062658,83
2,0.6848262325235204817158297446539108666582,0.6848262325235204817158298154632836805567,7.08093728138985e-26,-0.37859014804903989636294226787840508,84
4,0.3300956878560440670318205443128350453866,0.330095687856044067031820578443929205621,3.41310941602344e-26,-1.1083727033526815066640790513655052,85
8,0.08246857314801654365308796131017493946702,0.08246857314801654365308796983722554608584,8.52705060661881e-27,-2.4953379897535447145040552295913069,86
16,0.01030856932334850704051175023707760025051,0.0103085693233485070405117513029586861796,1.0658810859291e-27,-4.5747797565037300812749307309046887,87
32,0.0006442855827092653713534237401213682873449,0.0006442855827092653713534238067389361579117,6.66175678705668e-29,-7.3473684787435366472749574050888412,88
64,0.00002013392445966454285479449187233455751595,0.00002013392445966454285479449395413355347116,2.08179899595521e-30,-10.813104381543263194361118012700486,89
128,0.0000003145925696822584821061639355052274611867,0.0000003145925696822584821061639680333367729869,3.25281093118002e-32,-14.971987464902935050864510741449546,90
256,0.000000002457754450642644391454405746134589540521,0.00000000245775445064264439145440600026044353896,2.54125853998439e-34,-19.824017728822552216785135591656782,91
