denominator_exponent,values_checked_in_unit_interval,maximum_leaves,predicted_fibonacci
0,1,1,1
1,1,2,2
2,2,3,3
3,4,5,5
4,8,8,8
5,16,13,13
6,32,21,21
7,64,34,34
8,128,55,55
9,256,89,89
10,512,144,144
11,1024,233,233
12,2048,377,377
