FINITE SYMBOLIC VERIFICATION
Python: 3.13.5
SymPy: 1.14.0
Arithmetic: exact rational/complex symbolic; deterministic.

PASS | total chain rule | degree 1
PASS | total chain rule | degree 2
PASS | total chain rule | degree 3
PASS | total chain rule | degree 4
PASS | total chain rule | degree 5
PASS | total chain rule | degree 6
PASS | total chain rule | degree 7
PASS | scale primitives | power p=-2
PASS | scale primitives | power p=0
PASS | scale primitives | power p=1/2
PASS | scale primitives | power p=1
PASS | scale primitives | power p=3/2
PASS | scale primitives | power p=2
PASS | scale primitives | power p=3
PASS | scale primitives | log depth 0, p=0
PASS | scale primitives | log depth 0, p=1
PASS | scale primitives | log depth 0, p=2
PASS | scale primitives | log depth 0, p=3
PASS | scale primitives | log depth 1, p=0
PASS | scale primitives | log depth 1, p=1
PASS | scale primitives | log depth 1, p=2
PASS | scale primitives | log depth 1, p=3
PASS | scale primitives | log depth 2, p=0
PASS | scale primitives | log depth 2, p=1
PASS | scale primitives | log depth 2, p=2
PASS | scale primitives | log depth 2, p=3
PASS | scale primitives | log depth 3, p=0
PASS | scale primitives | log depth 3, p=1
PASS | scale primitives | log depth 3, p=2
PASS | scale primitives | log depth 3, p=3
PASS | formal exponential/logarithm | exponential derivative n=1
PASS | formal exponential/logarithm | logarithm derivative n=1
PASS | formal exponential/logarithm | inverse phases n=1
PASS | formal exponential/logarithm | exp(log) n=1
PASS | formal exponential/logarithm | log(exp) n=1
PASS | formal exponential/logarithm | exponential derivative n=2
PASS | formal exponential/logarithm | logarithm derivative n=2
PASS | formal exponential/logarithm | inverse phases n=2
PASS | formal exponential/logarithm | exp(log) n=2
PASS | formal exponential/logarithm | log(exp) n=2
PASS | formal exponential/logarithm | exponential derivative n=3
PASS | formal exponential/logarithm | logarithm derivative n=3
PASS | formal exponential/logarithm | inverse phases n=3
PASS | formal exponential/logarithm | exp(log) n=3
PASS | formal exponential/logarithm | log(exp) n=3
PASS | formal exponential/logarithm | exponential derivative n=4
PASS | formal exponential/logarithm | logarithm derivative n=4
PASS | formal exponential/logarithm | inverse phases n=4
PASS | formal exponential/logarithm | exp(log) n=4
PASS | formal exponential/logarithm | log(exp) n=4
PASS | formal exponential/logarithm | exponential derivative n=5
PASS | formal exponential/logarithm | logarithm derivative n=5
PASS | formal exponential/logarithm | inverse phases n=5
PASS | formal exponential/logarithm | exp(log) n=5
PASS | formal exponential/logarithm | log(exp) n=5
PASS | formal exponential/logarithm | exponential derivative n=6
PASS | formal exponential/logarithm | logarithm derivative n=6
PASS | formal exponential/logarithm | inverse phases n=6
PASS | formal exponential/logarithm | exp(log) n=6
PASS | formal exponential/logarithm | log(exp) n=6
PASS | formal exponential/logarithm | exponential derivative n=7
PASS | formal exponential/logarithm | logarithm derivative n=7
PASS | formal exponential/logarithm | inverse phases n=7
PASS | formal exponential/logarithm | exp(log) n=7
PASS | formal exponential/logarithm | log(exp) n=7
PASS | formal exponential/logarithm | exponential derivative n=8
PASS | formal exponential/logarithm | logarithm derivative n=8
PASS | formal exponential/logarithm | inverse phases n=8
PASS | formal exponential/logarithm | exp(log) n=8
PASS | formal exponential/logarithm | log(exp) n=8
PASS | formal exponential/logarithm | exponential derivative n=9
PASS | formal exponential/logarithm | logarithm derivative n=9
PASS | formal exponential/logarithm | inverse phases n=9
PASS | formal exponential/logarithm | exp(log) n=9
PASS | formal exponential/logarithm | log(exp) n=9
PASS | phase and gauge algebra | coordinate logarithmic derivative
PASS | phase and gauge algebra | admissible gauge p=2
PASS | phase and gauge algebra | admissible gauge p=3
PASS | phase and gauge algebra | admissible gauge p=4
PASS | phase and gauge algebra | remove finite phase, retain P prime
PASS | oscillatory extension | circle identity
PASS | oscillatory extension | cosine derivative
PASS | oscillatory extension | sine derivative
PASS | oscillatory extension | Cayley Riccati derivative
PASS | oscillatory extension | Cayley cosine
PASS | oscillatory extension | Cayley sine
PASS | oscillatory extension | Cayley inverse
PASS | oscillatory extension | conjugation fixes real coordinate
PASS | constant coefficient modes | operator 1, lambda=0, k=0
PASS | constant coefficient modes | operator 1, lambda=0, k=1
PASS | constant coefficient modes | operator 1, lambda=0, k=2
PASS | constant coefficient modes | operator 2, lambda=1, k=0
PASS | constant coefficient modes | operator 2, lambda=-1, k=0
PASS | constant coefficient modes | operator 3, lambda=2, k=0
PASS | constant coefficient modes | operator 3, lambda=2, k=1
PASS | constant coefficient modes | operator 4, lambda=-2, k=0
PASS | constant coefficient modes | operator 4, lambda=-2, k=1
PASS | constant coefficient modes | operator 4, lambda=0, k=0
PASS | constant coefficient modes | operator 4, lambda=3, k=0
PASS | constant coefficient modes | operator 5, lambda=0, k=0
PASS | constant coefficient modes | operator 5, lambda=0, k=1
PASS | constant coefficient modes | operator 5, lambda=1, k=0
PASS | constant coefficient modes | forced quadratic oscillator
PASS | constant coefficient modes | Jordan block coordinate 0
PASS | constant coefficient modes | Jordan block coordinate 1
PASS | constant coefficient modes | Jordan block coordinate 2
PASS | Laurent resolvent residuals | a=I, input 1, N=1
PASS | Laurent resolvent residuals | a=I, input 1, N=2
PASS | Laurent resolvent residuals | a=I, input 1, N=3
PASS | Laurent resolvent residuals | a=I, input 1, N=4
PASS | Laurent resolvent residuals | a=I, input 1, N=5
PASS | Laurent resolvent residuals | a=I, input 1, N=6
PASS | Laurent resolvent residuals | a=I, input 1, N=7
PASS | Laurent resolvent residuals | a=I, input 1, N=8
PASS | Laurent resolvent residuals | a=I, input 1, N=9
PASS | Laurent resolvent residuals | a=I, input 1, N=10
PASS | Laurent resolvent residuals | a=I, input 2, N=1
PASS | Laurent resolvent residuals | a=I, input 2, N=2
PASS | Laurent resolvent residuals | a=I, input 2, N=3
PASS | Laurent resolvent residuals | a=I, input 2, N=4
PASS | Laurent resolvent residuals | a=I, input 2, N=5
PASS | Laurent resolvent residuals | a=I, input 2, N=6
PASS | Laurent resolvent residuals | a=I, input 2, N=7
PASS | Laurent resolvent residuals | a=I, input 2, N=8
PASS | Laurent resolvent residuals | a=I, input 2, N=9
PASS | Laurent resolvent residuals | a=I, input 2, N=10
PASS | Laurent resolvent residuals | a=2, input 1, N=1
PASS | Laurent resolvent residuals | a=2, input 1, N=2
PASS | Laurent resolvent residuals | a=2, input 1, N=3
PASS | Laurent resolvent residuals | a=2, input 1, N=4
PASS | Laurent resolvent residuals | a=2, input 1, N=5
PASS | Laurent resolvent residuals | a=2, input 1, N=6
PASS | Laurent resolvent residuals | a=2, input 1, N=7
PASS | Laurent resolvent residuals | a=2, input 1, N=8
PASS | Laurent resolvent residuals | a=2, input 1, N=9
PASS | Laurent resolvent residuals | a=2, input 1, N=10
PASS | Laurent resolvent residuals | a=2, input 2, N=1
PASS | Laurent resolvent residuals | a=2, input 2, N=2
PASS | Laurent resolvent residuals | a=2, input 2, N=3
PASS | Laurent resolvent residuals | a=2, input 2, N=4
