d,n,total_over_leading_asymptotic,variance_over_dn_div_8
1,25,0.903590693481700424,1.05882352941176471
1,50,0.949734347280030296,1.0297029702970297
1,100,0.974320073827298661,1.01492537313432836
1,200,0.987018997992465772,1.00748129675810474
1,400,0.993473687264946346,1.00374531835205993
2,25,0.941611931698999689,1.02121296423036897
2,50,0.970097197608738864,1.0107310073646347
2,100,0.984865501426720119,1.0053970712442324
2,200,0.992386211057234433,1.00270648246360676
2,400,0.996181373189169121,1.00135523483652907
3,25,0.955918887196175964,1.01249465055834374
3,50,0.977575035121650243,1.00631495656360112
3,100,0.988689231403694707,1.00317457614398066
3,200,0.994319764601305052,1.00159158631188219
3,400,0.997153634160392073,1.00079687068838774
4,25,0.96367369422835253,1.00871002614016458
4,50,0.981587058610883803,1.00439828316480927
4,100,0.990730025251624583,1.00221006004663962
4,200,0.995349002246585014,1.00110777221197483
4,400,0.997670481589528933,1.00055457322162819
5,25,0.968631660005523668,1.00662535357819274
5,50,0.984137057179708416,1.00334316211871968
5,100,0.992023247553905534,1.00167926298141248
5,200,0.996000229120784776,1.00084155949334609
5,400,0.997997256538354006,1.0004212626842106
8,25,0.976762627429176084,1.00377767811054145
8,50,0.988293709439319296,1.00190334736671183
8,100,0.994124807209030427,1.00095532025406162
8,200,0.997056873331132071,1.00047857417236075
8,400,0.998527051791856595,1.00023951589568177
