phase_grid_d,rho,q,radial_order,base_integer,alias_error,radial_error,combined_error,max_phase_drift
4,5,0.2,3,16,3.8210787235880066913194496419807561e-19,1.604114822066591615222862725598446e-18,1.9862184931564367550301863060776908e-18,0.0
6,7,0.14285714285714285714,3,16,1.5126857016996516875847480834494014e-31,2.1302667809923403099908312817559534e-19,2.1302667809916806092576782186805946e-19,0.0
8,9,0.11111111111111111111,3,16,5.7017912083139835863121064477688369e-44,4.7053508651785409676783628388053573e-20,4.7053508651785409676783634966275979e-20,0.0
10,11,0.090909090909090909091,3,16,1.9284136964047721496229599164610309e-56,1.4088904984569334649336505158587722e-20,1.4088904984569334649336505158587722e-20,0.0
12,13,0.076923076923076923077,3,16,5.2972262543325433991011268644317747e-69,5.1635143001664916904457784299304242e-21,5.1635143001664916904457784299304242e-21,0.0
16,17,0.058823529411764705882,3,16,1.2992932428353422726754373355778689e-93,1.0304733713159009290423646889043075e-21,1.0304733713159009290423646889043075e-21,0.0
