radices,h,rank,multisets,sumset_size,collision_generators
"2,5,5",5,3,126,89,37
"2,5,6",0,0,1,1,0
"2,5,6",1,0,5,5,0
"2,5,6",2,1,15,14,1
"2,5,6",3,1,35,30,5
"2,5,6",4,1,70,55,15
"2,5,6",5,2,126,90,36
"2,5,6",6,3,210,134,76
"2,6,6",0,0,1,1,0
"2,6,6",1,0,5,5,0
"2,6,6",2,1,15,14,1
"2,6,6",3,1,35,30,5
"2,6,6",4,1,70,55,15
"2,6,6",5,1,126,91,35
"2,6,6",6,3,210,138,72
"3,3,3",0,0,1,1,0
"3,3,3",1,0,5,5,0
"3,3,3",2,0,15,15,0
"3,3,3",3,3,35,32,3
"3,3,4",0,0,1,1,0
"3,3,4",1,0,5,5,0
"3,3,4",2,0,15,15,0
"3,3,4",3,2,35,33,2
"3,3,4",4,3,70,59,11
"3,3,5",0,0,1,1,0
"3,3,5",1,0,5,5,0
"3,3,5",2,0,15,15,0
"3,3,5",3,2,35,33,2
"3,3,5",4,2,70,60,10
"3,3,5",5,3,126,95,31
"3,3,6",0,0,1,1,0
"3,3,6",1,0,5,5,0
"3,3,6",2,0,15,15,0
"3,3,6",3,2,35,33,2
"3,3,6",4,2,70,60,10
"3,3,6",5,2,126,96,30
"3,3,6",6,3,210,140,70
"3,4,4",0,0,1,1,0
"3,4,4",1,0,5,5,0
"3,4,4",2,0,15,15,0
"3,4,4",3,1,35,34,1
"3,4,4",4,3,70,63,7
"3,4,5",0,0,1,1,0
"3,4,5",1,0,5,5,0
"3,4,5",2,0,15,15,0
"3,4,5",3,1,35,34,1
"3,4,5",4,2,70,64,6
"3,4,5",5,3,126,105,21
"3,4,6",0,0,1,1,0
"3,4,6",1,0,5,5,0
"3,4,6",2,0,15,15,0
"3,4,6",3,1,35,34,1
"3,4,6",4,2,70,64,6
"3,4,6",5,2,126,106,20
"3,4,6",6,3,210,159,51
"3,5,5",0,0,1,1,0
"3,5,5",1,0,5,5,0
"3,5,5",2,0,15,15,0
"3,5,5",3,1,35,34,1
"3,5,5",4,1,70,65,5
"3,5,5",5,3,126,109,17
"3,5,6",0,0,1,1,0
"3,5,6",1,0,5,5,0
"3,5,6",2,0,15,15,0
"3,5,6",3,1,35,34,1
"3,5,6",4,1,70,65,5
"3,5,6",5,2,126,110,16
"3,5,6",6,3,210,169,41
"3,6,6",0,0,1,1,0
"3,6,6",1,0,5,5,0
"3,6,6",2,0,15,15,0
"3,6,6",3,1,35,34,1
"3,6,6",4,1,70,65,5
"3,6,6",5,1,126,111,15
"3,6,6",6,3,210,173,37
"4,4,4",0,0,1,1,0
"4,4,4",1,0,5,5,0
"4,4,4",2,0,15,15,0
"4,4,4",3,0,35,35,0
"4,4,4",4,3,70,67,3
"4,4,5",0,0,1,1,0
"4,4,5",1,0,5,5,0
"4,4,5",2,0,15,15,0
"4,4,5",3,0,35,35,0
"4,4,5",4,2,70,68,2
"4,4,5",5,3,126,115,11
"4,4,6",0,0,1,1,0
"4,4,6",1,0,5,5,0
"4,4,6",2,0,15,15,0
"4,4,6",3,0,35,35,0
"4,4,6",4,2,70,68,2
"4,4,6",5,2,126,116,10
"4,4,6",6,3,210,179,31
"4,5,5",0,0,1,1,0
"4,5,5",1,0,5,5,0
"4,5,5",2,0,15,15,0
"4,5,5",3,0,35,35,0
"4,5,5",4,1,70,69,1
"4,5,5",5,3,126,119,7
"4,5,6",0,0,1,1,0
"4,5,6",1,0,5,5,0
"4,5,6",2,0,15,15,0
"4,5,6",3,0,35,35,0
"4,5,6",4,1,70,69,1
"4,5,6",5,2,126,120,6
"4,5,6",6,3,210,189,21
"4,6,6",0,0,1,1,0
"4,6,6",1,0,5,5,0
"4,6,6",2,0,15,15,0
"4,6,6",3,0,35,35,0
"4,6,6",4,1,70,69,1
"4,6,6",5,1,126,121,5
"4,6,6",6,3,210,193,17
"5,5,5",0,0,1,1,0
"5,5,5",1,0,5,5,0
"5,5,5",2,0,15,15,0
"5,5,5",3,0,35,35,0
"5,5,5",4,0,70,70,0
"5,5,5",5,3,126,123,3
"5,5,6",0,0,1,1,0
"5,5,6",1,0,5,5,0
"5,5,6",2,0,15,15,0
"5,5,6",3,0,35,35,0
"5,5,6",4,0,70,70,0
"5,5,6",5,2,126,124,2
"5,5,6",6,3,210,199,11
"5,6,6",0,0,1,1,0
"5,6,6",1,0,5,5,0
"5,6,6",2,0,15,15,0
"5,6,6",3,0,35,35,0
"5,6,6",4,0,70,70,0
"5,6,6",5,1,126,125,1
"5,6,6",6,3,210,203,7
"6,6,6",0,0,1,1,0
"6,6,6",1,0,5,5,0
"6,6,6",2,0,15,15,0
"6,6,6",3,0,35,35,0
"6,6,6",4,0,70,70,0
"6,6,6",5,0,126,126,0
"6,6,6",6,3,210,207,3
"2,2,2,2",0,0,1,1,0
"2,2,2,2",1,0,6,6,0
"2,2,2,2",2,4,21,17,4
"2,2,2,3",0,0,1,1,0
"2,2,2,3",1,0,6,6,0
"2,2,2,3",2,3,21,18,3
"2,2,2,3",3,4,56,37,19
"2,2,2,4",0,0,1,1,0
"2,2,2,4",1,0,6,6,0
"2,2,2,4",2,3,21,18,3
"2,2,2,4",3,3,56,38,18
"2,2,2,4",4,4,126,65,61
"2,2,2,5",0,0,1,1,0
"2,2,2,5",1,0,6,6,0
"2,2,2,5",2,3,21,18,3
"2,2,2,5",3,3,56,38,18
"2,2,2,5",4,3,126,66,60
"2,2,2,5",5,4,252,101,151
"2,2,2,6",0,0,1,1,0
"2,2,2,6",1,0,6,6,0
"2,2,2,6",2,3,21,18,3
"2,2,2,6",3,3,56,38,18
"2,2,2,6",4,3,126,66,60
"2,2,2,6",5,3,252,102,150
"2,2,2,6",6,4,462,145,317
"2,2,3,3",0,0,1,1,0
"2,2,3,3",1,0,6,6,0
"2,2,3,3",2,2,21,19,2
"2,2,3,3",3,4,56,42,14
"2,2,3,4",0,0,1,1,0
"2,2,3,4",1,0,6,6,0
"2,2,3,4",2,2,21,19,2
"2,2,3,4",3,3,56,43,13
"2,2,3,4",4,4,126,78,48
"2,2,3,5",0,0,1,1,0
"2,2,3,5",1,0,6,6,0
"2,2,3,5",2,2,21,19,2
"2,2,3,5",3,3,56,43,13
"2,2,3,5",4,3,126,79,47
"2,2,3,5",5,4,252,126,126
"2,2,3,6",0,0,1,1,0
"2,2,3,6",1,0,6,6,0
"2,2,3,6",2,2,21,19,2
"2,2,3,6",3,3,56,43,13
"2,2,3,6",4,3,126,79,47
"2,2,3,6",5,3,252,127,125
"2,2,3,6",6,4,462,186,276
"2,2,4,4",0,0,1,1,0
"2,2,4,4",1,0,6,6,0
"2,2,4,4",2,2,21,19,2
"2,2,4,4",3,2,56,44,12
"2,2,4,4",4,4,126,83,43
"2,2,4,5",0,0,1,1,0
"2,2,4,5",1,0,6,6,0
"2,2,4,5",2,2,21,19,2
"2,2,4,5",3,2,56,44,12
"2,2,4,5",4,3,126,84,42
"2,2,4,5",5,4,252,139,113
"2,2,4,6",0,0,1,1,0
"2,2,4,6",1,0,6,6,0
"2,2,4,6",2,2,21,19,2
"2,2,4,6",3,2,56,44,12
"2,2,4,6",4,3,126,84,42
"2,2,4,6",5,3,252,140,112
"2,2,4,6",6,4,462,211,251
"2,2,5,5",0,0,1,1,0
"2,2,5,5",1,0,6,6,0
"2,2,5,5",2,2,21,19,2
"2,2,5,5",3,2,56,44,12
"2,2,5,5",4,2,126,85,41
"2,2,5,5",5,4,252,144,108
"2,2,5,6",0,0,1,1,0
"2,2,5,6",1,0,6,6,0
"2,2,5,6",2,2,21,19,2
"2,2,5,6",3,2,56,44,12
"2,2,5,6",4,2,126,85,41
"2,2,5,6",5,3,252,145,107
"2,2,5,6",6,4,462,224,238
"2,2,6,6",0,0,1,1,0
"2,2,6,6",1,0,6,6,0
"2,2,6,6",2,2,21,19,2
"2,2,6,6",3,2,56,44,12
"2,2,6,6",4,2,126,85,41
"2,2,6,6",5,2,252,146,106
"2,2,6,6",6,4,462,229,233
"2,3,3,3",0,0,1,1,0
"2,3,3,3",1,0,6,6,0
"2,3,3,3",2,1,21,20,1
"2,3,3,3",3,4,56,47,9
"2,3,3,4",0,0,1,1,0
"2,3,3,4",1,0,6,6,0
"2,3,3,4",2,1,21,20,1
"2,3,3,4",3,3,56,48,8
"2,3,3,4",4,4,126,92,34
"2,3,3,5",0,0,1,1,0
"2,3,3,5",1,0,6,6,0
"2,3,3,5",2,1,21,20,1
"2,3,3,5",3,3,56,48,8
"2,3,3,5",4,3,126,93,33
"2,3,3,5",5,4,252,155,97
"2,3,3,6",0,0,1,1,0
"2,3,3,6",1,0,6,6,0
"2,3,3,6",2,1,21,20,1
"2,3,3,6",3,3,56,48,8
"2,3,3,6",4,3,126,93,33
"2,3,3,6",5,3,252,156,96
"2,3,3,6",6,4,462,236,226
"2,3,4,4",0,0,1,1,0
"2,3,4,4",1,0,6,6,0
"2,3,4,4",2,1,21,20,1
"2,3,4,4",3,2,56,49,7
"2,3,4,4",4,4,126,97,29
"2,3,4,5",0,0,1,1,0
"2,3,4,5",1,0,6,6,0
"2,3,4,5",2,1,21,20,1
"2,3,4,5",3,2,56,49,7
"2,3,4,5",4,3,126,98,28
"2,3,4,5",5,4,252,169,83
"2,3,4,6",0,0,1,1,0
"2,3,4,6",1,0,6,6,0
"2,3,4,6",2,1,21,20,1
"2,3,4,6",3,2,56,49,7
"2,3,4,6",4,3,126,98,28
"2,3,4,6",5,3,252,170,82
"2,3,4,6",6,4,462,265,197
"2,3,5,5",0,0,1,1,0
"2,3,5,5",1,0,6,6,0
"2,3,5,5",2,1,21,20,1
"2,3,5,5",3,2,56,49,7
"2,3,5,5",4,2,126,99,27
"2,3,5,5",5,4,252,174,78
"2,3,5,6",0,0,1,1,0
"2,3,5,6",1,0,6,6,0
"2,3,5,6",2,1,21,20,1
"2,3,5,6",3,2,56,49,7
"2,3,5,6",4,2,126,99,27
"2,3,5,6",5,3,252,175,77
"2,3,5,6",6,4,462,279,183
"2,3,6,6",0,0,1,1,0
"2,3,6,6",1,0,6,6,0
"2,3,6,6",2,1,21,20,1
"2,3,6,6",3,2,56,49,7
"2,3,6,6",4,2,126,99,27
"2,3,6,6",5,2,252,176,76
"2,3,6,6",6,4,462,284,178
"2,4,4,4",0,0,1,1,0
"2,4,4,4",1,0,6,6,0
"2,4,4,4",2,1,21,20,1
"2,4,4,4",3,1,56,50,6
"2,4,4,4",4,4,126,102,24
"2,4,4,5",0,0,1,1,0
"2,4,4,5",1,0,6,6,0
"2,4,4,5",2,1,21,20,1
"2,4,4,5",3,1,56,50,6
"2,4,4,5",4,3,126,103,23
"2,4,4,5",5,4,252,183,69
"2,4,4,6",0,0,1,1,0
"2,4,4,6",1,0,6,6,0
"2,4,4,6",2,1,21,20,1
"2,4,4,6",3,1,56,50,6
"2,4,4,6",4,3,126,103,23
"2,4,4,6",5,3,252,184,68
"2,4,4,6",6,4,462,295,167
"2,4,5,5",0,0,1,1,0
"2,4,5,5",1,0,6,6,0
"2,4,5,5",2,1,21,20,1
"2,4,5,5",3,1,56,50,6
"2,4,5,5",4,2,126,104,22
"2,4,5,5",5,4,252,188,64
"2,4,5,6",0,0,1,1,0
"2,4,5,6",1,0,6,6,0
"2,4,5,6",2,1,21,20,1
"2,4,5,6",3,1,56,50,6
"2,4,5,6",4,2,126,104,22
"2,4,5,6",5,3,252,189,63
"2,4,5,6",6,4,462,309,153
"2,4,6,6",0,0,1,1,0
"2,4,6,6",1,0,6,6,0
"2,4,6,6",2,1,21,20,1
"2,4,6,6",3,1,56,50,6
"2,4,6,6",4,2,126,104,22
"2,4,6,6",5,2,252,190,62
