n,rho,theta_mod_1,relative_error_order_0,relative_error_order_1,relative_error_order_2,relative_error_order_3
5,6.43984140786335885,0.382536448752322262,-0.382509557843622243,0.0789488563355033552,-0.0216956852648809896,0.00641037555599079533
10,12.0803979190387568,0.0230929599277201723,-0.256964465738620078,0.0268824521764821473,-0.00439948403421150295,0.000719106931833269981
20,22.8243817305652959,0.767076771454259294,-0.161764745757207583,0.00876101312644782272,-0.000823920197793927785,0.0000739530993698720007
40,43.651764726941906,0.594459767830869437,-0.0965552341317373661,0.00271602316625852695,-0.000143280113855090882,6.96422891729366819e-6
80,84.5410234363518321,0.483718477240795459,-0.0553438508502642982,0.000804967914436997061,-0.0000234032051616655487,6.04524268392937946e-7
120,125.082035435227523,0.0247304761164860428,-0.0394049263648707442,0.000388487822835688005,-7.92016112118974357e-6,1.40036976686761838e-7
160,165.472909928053446,0.415604968942408992,-0.0308134632044645962,0.000230222494035212768,-3.63867798814525733e-6,4.91681081222363193e-8
