a,n,log10_normalized_abs_derivative,exact_ratio
2.0,0,0,1.0
2.0,1,0.60205999132796217,4.0
2.0,2,1.8061799739838869,64.0
2.0,3,3.6123599479677737,4096.0
2.0,4,6.0205999132796224,1048576.0
2.0,5,9.0308998699194341,1073741824.0
2.0,6,12.643259817887207,4398046511104.0
2.0,7,16.857679757182943,72057594037927936.0
2.0,8,21.674159687806643,4722366482869645213696.0
2.0,9,27.092699609758302,1237940039285380274899124224.0
2.0,10,33.113299523037924,1298074214633706907132624082305024.0
2.0,11,39.735959427645511,5.4445178707350154154139937189082914e+39
2.0,12,46.960679323581061,9.1343852333181432387730302044767689e+46
2.0,13,54.787459210844574,6.1299821634635554334333881086012367e+54
2.0,14,63.216299089436042,1.6455045573212060421549691825573505e+63
2.0,15,72.247198959355472,1.7668470647783843295832975007429185e+72
2.0,16,81.880158820602873,7.5885503602567541832791480735293707e+81
2.0,17,92.115178673178235,1.303703024854071095211805240582002e+92
2.0,18,102.95225851708155,8.9589789687112168422297691222737771e+102
2.0,19,114.39139835231285,2.4626253872746549507674400062589759e+114
2.0,20,126.43259817887208,2.7076852481648582613070451017022302e+126
2.6,0,0,1.0
2.6,1,0.94389004824847256,8.7880000000000009006129175759270164
2.6,2,2.7177267924385808,522.06766144000014267360938902131125
2.6,3,5.3215102325703247,209657.41778571584810268885038037319
2.6,4,8.7552403686437064,569167860.59607640143624465570895195
2.6,5,13.018917200658722,10445210596547.184154545697843707934
2.6,6,18.112540728615375,1295808214142058639.8369746824071401
2.6,7,24.036110952513663,1086703216490175741775246.6619872157
2.6,8,30.789627872353584,6160668952867324665039917451487.7621
2.6,9,38.373091488135145,2.3609755420544992933318457278800181e+38
2.6,10,46.786501799858335,6.116483378201279169000607356539903e+46
2.6,11,56.029858807523169,1.0711710026899335373789558474557539e+56
2.6,12,66.103162511129639,1.2681263045018536642865310245310523e+66
2.6,13,77.006412910677739,1.0148758325315496021797151130627212e+77
2.6,14,88.739610006167467,5.4904761096503845556336634119206656e+88
2.6,15,101.30275379759885,2.0079541766958211654962194217712178e+101
2.6,16,114.69584428497187,4.9641430162850572265951382464877771e+114
2.6,17,128.91888146828651,8.296243077836220911857244866483135e+128
2.6,18,143.9718653475428,9.3727136206570849985477520500755674e+143
2.6,19,159.85479592274072,7.1580696971487069468709388147515837e+159
2.6,20,176.56767319388027,3.6954998916415228858194930759550795e+176
3.0,0,0,1.0
3.0,1,1.1303337684950059,13.5
3.0,2,3.214910046429337,1640.25
3.0,3,6.2537288338029926,1793613.375
3.0,4,10.246790130615972,17651846030.0625
3.0,5,15.194093936868278,1563485784343740.84375
3.0,6,21.09564025255991,1246350673076132966615.015625
3.0,7,27.951429077690868,8941884948678417928796482003.3359375
3.0,8,35.761460412261144,5.7737823989978876295345003986868476e+35
3.0,9,44.525734256270752,3.3553224005990321031019604802449302e+44
3.0,10,54.244250609719671,1.7548928710101867289191209272554737e+54
3.0,11,64.91700947260793,8.2605596688869726679647486937125058e+64
3.0,12,76.544010844935514,3.4995390575360857916888998368193099e+76
3.0,13,89.125254726702423,1.3343038117880476051049569691387142e+89
3.0,14,102.66074111790864,4.5786887061207764494479247827139668e+102
3.0,15,117.15047001855422,1.4140671018182854488620990680914439e+117
3.0,16,132.59444142863907,3.9304423320907421675521519444103573e+132
3.0,17,148.99265534816331,9.832305139850777504833160092690612e+148
3.0,18,166.34511177712682,2.2136643811420685819904103351664781e+166
3.0,19,184.65181071552968,4.4854984974259265716847910293537646e+184
3.0,20,203.91275216337186,8.1799785223210412914482346378871062e+203
