n,threshold_t_n,nu_1_2n,power_of_2_exponent
256,163,19807040628566084398385987584,94
257,163,39614081257132168796771975168,95
258,164,39614081257132168796771975168,95
259,165,39614081257132168796771975168,95
260,165,79228162514264337593543950336,96
261,166,79228162514264337593543950336,96
262,166,158456325028528675187087900672,97
263,167,158456325028528675187087900672,97
264,168,158456325028528675187087900672,97
265,168,316912650057057350374175801344,98
266,169,316912650057057350374175801344,98
267,170,316912650057057350374175801344,98
268,170,633825300114114700748351602688,99
269,171,633825300114114700748351602688,99
270,171,1267650600228229401496703205376,100
271,172,1267650600228229401496703205376,100
272,173,1267650600228229401496703205376,100
273,173,2535301200456458802993406410752,101
274,174,2535301200456458802993406410752,101
275,175,2535301200456458802993406410752,101
276,175,5070602400912917605986812821504,102
277,176,5070602400912917605986812821504,102
278,177,5070602400912917605986812821504,102
279,177,10141204801825835211973625643008,103
280,178,10141204801825835211973625643008,103
281,178,20282409603651670423947251286016,104
282,179,20282409603651670423947251286016,104
283,180,20282409603651670423947251286016,104
284,180,40564819207303340847894502572032,105
285,181,40564819207303340847894502572032,105
286,182,40564819207303340847894502572032,105
287,182,81129638414606681695789005144064,106
288,183,81129638414606681695789005144064,106
289,183,162259276829213363391578010288128,107
290,184,162259276829213363391578010288128,107
291,185,162259276829213363391578010288128,107
292,185,324518553658426726783156020576256,108
293,186,324518553658426726783156020576256,108
294,187,324518553658426726783156020576256,108
295,187,649037107316853453566312041152512,109
296,188,649037107316853453566312041152512,109
297,189,649037107316853453566312041152512,109
298,189,1298074214633706907132624082305024,110
299,190,1298074214633706907132624082305024,110
300,190,2596148429267413814265248164610048,111
301,191,2596148429267413814265248164610048,111
302,192,2596148429267413814265248164610048,111
303,192,5192296858534827628530496329220096,112
304,193,5192296858534827628530496329220096,112
305,194,5192296858534827628530496329220096,112
306,194,10384593717069655257060992658440192,113
307,195,10384593717069655257060992658440192,113
308,195,20769187434139310514121985316880384,114
309,196,20769187434139310514121985316880384,114
310,197,20769187434139310514121985316880384,114
311,197,41538374868278621028243970633760768,115
312,198,41538374868278621028243970633760768,115
313,199,41538374868278621028243970633760768,115
314,199,83076749736557242056487941267521536,116
315,200,83076749736557242056487941267521536,116
316,201,83076749736557242056487941267521536,116
317,201,166153499473114484112975882535043072,117
318,202,166153499473114484112975882535043072,117
319,202,332306998946228968225951765070086144,118
320,203,332306998946228968225951765070086144,118
321,204,332306998946228968225951765070086144,118
322,204,664613997892457936451903530140172288,119
323,205,664613997892457936451903530140172288,119
324,206,664613997892457936451903530140172288,119
325,206,1329227995784915872903807060280344576,120
326,207,1329227995784915872903807060280344576,120
327,207,2658455991569831745807614120560689152,121
328,208,2658455991569831745807614120560689152,121
329,209,2658455991569831745807614120560689152,121
330,209,5316911983139663491615228241121378304,122
331,210,5316911983139663491615228241121378304,122
332,211,5316911983139663491615228241121378304,122
333,211,10633823966279326983230456482242756608,123
334,212,10633823966279326983230456482242756608,123
335,212,21267647932558653966460912964485513216,124
336,213,21267647932558653966460912964485513216,124
337,214,21267647932558653966460912964485513216,124
338,214,42535295865117307932921825928971026432,125
339,215,42535295865117307932921825928971026432,125
340,216,42535295865117307932921825928971026432,125
341,216,85070591730234615865843651857942052864,126
342,217,85070591730234615865843651857942052864,126
343,218,85070591730234615865843651857942052864,126
344,218,170141183460469231731687303715884105728,127
345,219,170141183460469231731687303715884105728,127
346,219,340282366920938463463374607431768211456,128
347,220,340282366920938463463374607431768211456,128
348,221,340282366920938463463374607431768211456,128
349,221,680564733841876926926749214863536422912,129
350,222,680564733841876926926749214863536422912,129
351,223,680564733841876926926749214863536422912,129
352,223,1361129467683753853853498429727072845824,130
353,224,1361129467683753853853498429727072845824,130
354,224,2722258935367507707706996859454145691648,131
355,225,2722258935367507707706996859454145691648,131
356,226,2722258935367507707706996859454145691648,131
357,226,5444517870735015415413993718908291383296,132
358,227,5444517870735015415413993718908291383296,132
359,228,5444517870735015415413993718908291383296,132
360,228,10889035741470030830827987437816582766592,133
361,229,10889035741470030830827987437816582766592,133
362,230,10889035741470030830827987437816582766592,133
363,230,21778071482940061661655974875633165533184,134
364,231,21778071482940061661655974875633165533184,134
365,231,43556142965880123323311949751266331066368,135
366,232,43556142965880123323311949751266331066368,135
367,233,43556142965880123323311949751266331066368,135
368,233,87112285931760246646623899502532662132736,136
369,234,87112285931760246646623899502532662132736,136
370,235,87112285931760246646623899502532662132736,136
371,235,174224571863520493293247799005065324265472,137
372,236,174224571863520493293247799005065324265472,137
373,236,348449143727040986586495598010130648530944,138
374,237,348449143727040986586495598010130648530944,138
375,238,348449143727040986586495598010130648530944,138
376,238,696898287454081973172991196020261297061888,139
377,239,696898287454081973172991196020261297061888,139
378,240,696898287454081973172991196020261297061888,139
379,240,1393796574908163946345982392040522594123776,140
380,241,1393796574908163946345982392040522594123776,140
381,242,1393796574908163946345982392040522594123776,140
382,242,2787593149816327892691964784081045188247552,141
383,243,2787593149816327892691964784081045188247552,141
384,243,5575186299632655785383929568162090376495104,142
385,244,5575186299632655785383929568162090376495104,142
386,245,5575186299632655785383929568162090376495104,142
387,245,11150372599265311570767859136324180752990208,143
388,246,11150372599265311570767859136324180752990208,143
389,247,11150372599265311570767859136324180752990208,143
390,247,22300745198530623141535718272648361505980416,144
391,248,22300745198530623141535718272648361505980416,144
392,248,44601490397061246283071436545296723011960832,145
393,249,44601490397061246283071436545296723011960832,145
394,250,44601490397061246283071436545296723011960832,145
395,250,89202980794122492566142873090593446023921664,146
396,251,89202980794122492566142873090593446023921664,146
397,252,89202980794122492566142873090593446023921664,146
398,252,178405961588244985132285746181186892047843328,147
399,253,178405961588244985132285746181186892047843328,147
400,254,178405961588244985132285746181186892047843328,147
401,254,356811923176489970264571492362373784095686656,148
402,255,356811923176489970264571492362373784095686656,148
403,255,713623846352979940529142984724747568191373312,149
404,256,713623846352979940529142984724747568191373312,149
405,257,713623846352979940529142984724747568191373312,149
406,257,1427247692705959881058285969449495136382746624,150
407,258,1427247692705959881058285969449495136382746624,150
408,259,1427247692705959881058285969449495136382746624,150
409,259,2854495385411919762116571938898990272765493248,151
410,260,2854495385411919762116571938898990272765493248,151
411,260,5708990770823839524233143877797980545530986496,152
412,261,5708990770823839524233143877797980545530986496,152
413,262,5708990770823839524233143877797980545530986496,152
414,262,11417981541647679048466287755595961091061972992,153
415,263,11417981541647679048466287755595961091061972992,153
416,264,11417981541647679048466287755595961091061972992,153
417,264,22835963083295358096932575511191922182123945984,154
418,265,22835963083295358096932575511191922182123945984,154
419,265,45671926166590716193865151022383844364247891968,155
420,266,45671926166590716193865151022383844364247891968,155
421,267,45671926166590716193865151022383844364247891968,155
422,267,91343852333181432387730302044767688728495783936,156
423,268,91343852333181432387730302044767688728495783936,156
424,269,91343852333181432387730302044767688728495783936,156
425,269,182687704666362864775460604089535377456991567872,157
426,270,182687704666362864775460604089535377456991567872,157
427,271,182687704666362864775460604089535377456991567872,157
428,271,365375409332725729550921208179070754913983135744,158
429,272,365375409332725729550921208179070754913983135744,158
430,272,730750818665451459101842416358141509827966271488,159
431,273,730750818665451459101842416358141509827966271488,159
432,274,730750818665451459101842416358141509827966271488,159
433,274,1461501637330902918203684832716283019655932542976,160
434,275,1461501637330902918203684832716283019655932542976,160
435,276,1461501637330902918203684832716283019655932542976,160
436,276,2923003274661805836407369665432566039311865085952,161
437,277,2923003274661805836407369665432566039311865085952,161
438,277,5846006549323611672814739330865132078623730171904,162
439,278,5846006549323611672814739330865132078623730171904,162
440,279,5846006549323611672814739330865132078623730171904,162
441,279,11692013098647223345629478661730264157247460343808,163
442,280,11692013098647223345629478661730264157247460343808,163
443,281,11692013098647223345629478661730264157247460343808,163
444,281,23384026197294446691258957323460528314494920687616,164
445,282,23384026197294446691258957323460528314494920687616,164
446,283,23384026197294446691258957323460528314494920687616,164
447,283,46768052394588893382517914646921056628989841375232,165
448,284,46768052394588893382517914646921056628989841375232,165
449,284,93536104789177786765035829293842113257979682750464,166
450,285,93536104789177786765035829293842113257979682750464,166
451,286,93536104789177786765035829293842113257979682750464,166
452,286,187072209578355573530071658587684226515959365500928,167
453,287,187072209578355573530071658587684226515959365500928,167
454,288,187072209578355573530071658587684226515959365500928,167
455,288,374144419156711147060143317175368453031918731001856,168
456,289,374144419156711147060143317175368453031918731001856,168
457,289,748288838313422294120286634350736906063837462003712,169
458,290,748288838313422294120286634350736906063837462003712,169
459,291,748288838313422294120286634350736906063837462003712,169
460,291,1496577676626844588240573268701473812127674924007424,170
461,292,1496577676626844588240573268701473812127674924007424,170
462,293,1496577676626844588240573268701473812127674924007424,170
463,293,2993155353253689176481146537402947624255349848014848,171
464,294,2993155353253689176481146537402947624255349848014848,171
465,295,2993155353253689176481146537402947624255349848014848,171
466,295,5986310706507378352962293074805895248510699696029696,172
467,296,5986310706507378352962293074805895248510699696029696,172
468,296,11972621413014756705924586149611790497021399392059392,173
469,297,11972621413014756705924586149611790497021399392059392,173
470,298,11972621413014756705924586149611790497021399392059392,173
471,298,23945242826029513411849172299223580994042798784118784,174
472,299,23945242826029513411849172299223580994042798784118784,174
473,300,23945242826029513411849172299223580994042798784118784,174
474,300,47890485652059026823698344598447161988085597568237568,175
475,301,47890485652059026823698344598447161988085597568237568,175
476,301,95780971304118053647396689196894323976171195136475136,176
477,302,95780971304118053647396689196894323976171195136475136,176
478,303,95780971304118053647396689196894323976171195136475136,176
479,303,191561942608236107294793378393788647952342390272950272,177
480,304,191561942608236107294793378393788647952342390272950272,177
481,305,191561942608236107294793378393788647952342390272950272,177
482,305,383123885216472214589586756787577295904684780545900544,178
483,306,383123885216472214589586756787577295904684780545900544,178
484,307,383123885216472214589586756787577295904684780545900544,178
485,307,766247770432944429179173513575154591809369561091801088,179
486,308,766247770432944429179173513575154591809369561091801088,179
487,308,1532495540865888858358347027150309183618739122183602176,180
488,309,1532495540865888858358347027150309183618739122183602176,180
489,310,1532495540865888858358347027150309183618739122183602176,180
490,310,3064991081731777716716694054300618367237478244367204352,181
491,311,3064991081731777716716694054300618367237478244367204352,181
492,312,3064991081731777716716694054300618367237478244367204352,181
493,312,6129982163463555433433388108601236734474956488734408704,182
494,313,6129982163463555433433388108601236734474956488734408704,182
495,313,12259964326927110866866776217202473468949912977468817408,183
496,314,12259964326927110866866776217202473468949912977468817408,183
497,315,12259964326927110866866776217202473468949912977468817408,183
498,315,24519928653854221733733552434404946937899825954937634816,184
499,316,24519928653854221733733552434404946937899825954937634816,184
500,317,24519928653854221733733552434404946937899825954937634816,184
501,317,49039857307708443467467104868809893875799651909875269632,185
502,318,49039857307708443467467104868809893875799651909875269632,185
503,318,98079714615416886934934209737619787751599303819750539264,186
504,319,98079714615416886934934209737619787751599303819750539264,186
505,320,98079714615416886934934209737619787751599303819750539264,186
506,320,196159429230833773869868419475239575503198607639501078528,187
507,321,196159429230833773869868419475239575503198607639501078528,187
508,322,196159429230833773869868419475239575503198607639501078528,187
509,322,392318858461667547739736838950479151006397215279002157056,188
510,323,392318858461667547739736838950479151006397215279002157056,188
511,324,392318858461667547739736838950479151006397215279002157056,188
512,324,784637716923335095479473677900958302012794430558004314112,189
513,325,784637716923335095479473677900958302012794430558004314112,189
514,325,1569275433846670190958947355801916604025588861116008628224,190
515,326,1569275433846670190958947355801916604025588861116008628224,190
516,327,1569275433846670190958947355801916604025588861116008628224,190
517,327,3138550867693340381917894711603833208051177722232017256448,191
518,328,3138550867693340381917894711603833208051177722232017256448,191
519,329,3138550867693340381917894711603833208051177722232017256448,191
520,329,6277101735386680763835789423207666416102355444464034512896,192
521,330,6277101735386680763835789423207666416102355444464034512896,192
522,330,12554203470773361527671578846415332832204710888928069025792,193
523,331,12554203470773361527671578846415332832204710888928069025792,193
524,332,12554203470773361527671578846415332832204710888928069025792,193
525,332,25108406941546723055343157692830665664409421777856138051584,194
526,333,25108406941546723055343157692830665664409421777856138051584,194
527,334,25108406941546723055343157692830665664409421777856138051584,194
528,334,50216813883093446110686315385661331328818843555712276103168,195
529,335,50216813883093446110686315385661331328818843555712276103168,195
530,336,50216813883093446110686315385661331328818843555712276103168,195
531,336,100433627766186892221372630771322662657637687111424552206336,196
532,337,100433627766186892221372630771322662657637687111424552206336,196
533,337,200867255532373784442745261542645325315275374222849104412672,197
534,338,200867255532373784442745261542645325315275374222849104412672,197
535,339,200867255532373784442745261542645325315275374222849104412672,197
536,339,401734511064747568885490523085290650630550748445698208825344,198
537,340,401734511064747568885490523085290650630550748445698208825344,198
538,341,401734511064747568885490523085290650630550748445698208825344,198
539,341,803469022129495137770981046170581301261101496891396417650688,199
540,342,803469022129495137770981046170581301261101496891396417650688,199
541,342,1606938044258990275541962092341162602522202993782792835301376,200
542,343,1606938044258990275541962092341162602522202993782792835301376,200
543,344,1606938044258990275541962092341162602522202993782792835301376,200
544,344,3213876088517980551083924184682325205044405987565585670602752,201
545,345,3213876088517980551083924184682325205044405987565585670602752,201
546,346,3213876088517980551083924184682325205044405987565585670602752,201
547,346,6427752177035961102167848369364650410088811975131171341205504,202
548,347,6427752177035961102167848369364650410088811975131171341205504,202
549,348,6427752177035961102167848369364650410088811975131171341205504,202
550,348,12855504354071922204335696738729300820177623950262342682411008,203
551,349,12855504354071922204335696738729300820177623950262342682411008,203
552,349,25711008708143844408671393477458601640355247900524685364822016,204
553,350,25711008708143844408671393477458601640355247900524685364822016,204
554,351,25711008708143844408671393477458601640355247900524685364822016,204
555,351,51422017416287688817342786954917203280710495801049370729644032,205
556,352,51422017416287688817342786954917203280710495801049370729644032,205
557,353,51422017416287688817342786954917203280710495801049370729644032,205
558,353,102844034832575377634685573909834406561420991602098741459288064,206
559,354,102844034832575377634685573909834406561420991602098741459288064,206
560,354,205688069665150755269371147819668813122841983204197482918576128,207
561,355,205688069665150755269371147819668813122841983204197482918576128,207
562,356,205688069665150755269371147819668813122841983204197482918576128,207
563,356,411376139330301510538742295639337626245683966408394965837152256,208
564,357,411376139330301510538742295639337626245683966408394965837152256,208
565,358,411376139330301510538742295639337626245683966408394965837152256,208
566,358,822752278660603021077484591278675252491367932816789931674304512,209
567,359,822752278660603021077484591278675252491367932816789931674304512,209
568,359,1645504557321206042154969182557350504982735865633579863348609024,210
569,360,1645504557321206042154969182557350504982735865633579863348609024,210
570,361,1645504557321206042154969182557350504982735865633579863348609024,210
571,361,3291009114642412084309938365114701009965471731267159726697218048,211
572,362,3291009114642412084309938365114701009965471731267159726697218048,211
573,363,3291009114642412084309938365114701009965471731267159726697218048,211
574,363,6582018229284824168619876730229402019930943462534319453394436096,212
575,364,6582018229284824168619876730229402019930943462534319453394436096,212
576,365,6582018229284824168619876730229402019930943462534319453394436096,212
577,365,13164036458569648337239753460458804039861886925068638906788872192,213
578,366,13164036458569648337239753460458804039861886925068638906788872192,213
579,366,26328072917139296674479506920917608079723773850137277813577744384,214
580,367,26328072917139296674479506920917608079723773850137277813577744384,214
581,368,26328072917139296674479506920917608079723773850137277813577744384,214
582,368,52656145834278593348959013841835216159447547700274555627155488768,215
583,369,52656145834278593348959013841835216159447547700274555627155488768,215
584,370,52656145834278593348959013841835216159447547700274555627155488768,215
585,370,105312291668557186697918027683670432318895095400549111254310977536,216
586,371,105312291668557186697918027683670432318895095400549111254310977536,216
587,371,210624583337114373395836055367340864637790190801098222508621955072,217
588,372,210624583337114373395836055367340864637790190801098222508621955072,217
589,373,210624583337114373395836055367340864637790190801098222508621955072,217
590,373,421249166674228746791672110734681729275580381602196445017243910144,218
591,374,421249166674228746791672110734681729275580381602196445017243910144,218
592,375,421249166674228746791672110734681729275580381602196445017243910144,218
593,375,842498333348457493583344221469363458551160763204392890034487820288,219
594,376,842498333348457493583344221469363458551160763204392890034487820288,219
595,377,842498333348457493583344221469363458551160763204392890034487820288,219
596,377,1684996666696914987166688442938726917102321526408785780068975640576,220
597,378,1684996666696914987166688442938726917102321526408785780068975640576,220
598,378,3369993333393829974333376885877453834204643052817571560137951281152,221
599,379,3369993333393829974333376885877453834204643052817571560137951281152,221
600,380,3369993333393829974333376885877453834204643052817571560137951281152,221
601,380,6739986666787659948666753771754907668409286105635143120275902562304,222
602,381,6739986666787659948666753771754907668409286105635143120275902562304,222
603,382,6739986666787659948666753771754907668409286105635143120275902562304,222
604,382,13479973333575319897333507543509815336818572211270286240551805124608,223
605,383,13479973333575319897333507543509815336818572211270286240551805124608,223
606,383,26959946667150639794667015087019630673637144422540572481103610249216,224
607,384,26959946667150639794667015087019630673637144422540572481103610249216,224
608,385,26959946667150639794667015087019630673637144422540572481103610249216,224
609,385,53919893334301279589334030174039261347274288845081144962207220498432,225
610,386,53919893334301279589334030174039261347274288845081144962207220498432,225
611,387,53919893334301279589334030174039261347274288845081144962207220498432,225
612,387,107839786668602559178668060348078522694548577690162289924414440996864,226
613,388,107839786668602559178668060348078522694548577690162289924414440996864,226
614,389,107839786668602559178668060348078522694548577690162289924414440996864,226
615,389,215679573337205118357336120696157045389097155380324579848828881993728,227
616,390,215679573337205118357336120696157045389097155380324579848828881993728,227
617,390,431359146674410236714672241392314090778194310760649159697657763987456,228
618,391,431359146674410236714672241392314090778194310760649159697657763987456,228
619,392,431359146674410236714672241392314090778194310760649159697657763987456,228
620,392,862718293348820473429344482784628181556388621521298319395315527974912,229
621,393,862718293348820473429344482784628181556388621521298319395315527974912,229
622,394,862718293348820473429344482784628181556388621521298319395315527974912,229
623,394,1725436586697640946858688965569256363112777243042596638790631055949824,230
624,395,1725436586697640946858688965569256363112777243042596638790631055949824,230
625,395,3450873173395281893717377931138512726225554486085193277581262111899648,231
626,396,3450873173395281893717377931138512726225554486085193277581262111899648,231
627,397,3450873173395281893717377931138512726225554486085193277581262111899648,231
628,397,6901746346790563787434755862277025452451108972170386555162524223799296,232
629,398,6901746346790563787434755862277025452451108972170386555162524223799296,232
630,399,6901746346790563787434755862277025452451108972170386555162524223799296,232
631,399,13803492693581127574869511724554050904902217944340773110325048447598592,233
632,400,13803492693581127574869511724554050904902217944340773110325048447598592,233
633,401,13803492693581127574869511724554050904902217944340773110325048447598592,233
634,401,27606985387162255149739023449108101809804435888681546220650096895197184,234
635,402,27606985387162255149739023449108101809804435888681546220650096895197184,234
636,402,55213970774324510299478046898216203619608871777363092441300193790394368,235
637,403,55213970774324510299478046898216203619608871777363092441300193790394368,235
638,404,55213970774324510299478046898216203619608871777363092441300193790394368,235
639,404,110427941548649020598956093796432407239217743554726184882600387580788736,236
640,405,110427941548649020598956093796432407239217743554726184882600387580788736,236
641,406,110427941548649020598956093796432407239217743554726184882600387580788736,236
642,406,220855883097298041197912187592864814478435487109452369765200775161577472,237
643,407,220855883097298041197912187592864814478435487109452369765200775161577472,237
644,407,441711766194596082395824375185729628956870974218904739530401550323154944,238
645,408,441711766194596082395824375185729628956870974218904739530401550323154944,238
646,409,441711766194596082395824375185729628956870974218904739530401550323154944,238
647,409,883423532389192164791648750371459257913741948437809479060803100646309888,239
648,410,883423532389192164791648750371459257913741948437809479060803100646309888,239
649,411,883423532389192164791648750371459257913741948437809479060803100646309888,239
650,411,1766847064778384329583297500742918515827483896875618958121606201292619776,240
651,412,1766847064778384329583297500742918515827483896875618958121606201292619776,240
652,412,3533694129556768659166595001485837031654967793751237916243212402585239552,241
653,413,3533694129556768659166595001485837031654967793751237916243212402585239552,241
654,414,3533694129556768659166595001485837031654967793751237916243212402585239552,241
655,414,7067388259113537318333190002971674063309935587502475832486424805170479104,242
656,415,7067388259113537318333190002971674063309935587502475832486424805170479104,242
657,416,7067388259113537318333190002971674063309935587502475832486424805170479104,242
658,416,14134776518227074636666380005943348126619871175004951664972849610340958208,243
659,417,14134776518227074636666380005943348126619871175004951664972849610340958208,243
660,418,14134776518227074636666380005943348126619871175004951664972849610340958208,243
661,418,28269553036454149273332760011886696253239742350009903329945699220681916416,244
662,419,28269553036454149273332760011886696253239742350009903329945699220681916416,244
663,419,56539106072908298546665520023773392506479484700019806659891398441363832832,245
664,420,56539106072908298546665520023773392506479484700019806659891398441363832832,245
665,421,56539106072908298546665520023773392506479484700019806659891398441363832832,245
666,421,113078212145816597093331040047546785012958969400039613319782796882727665664,246
667,422,113078212145816597093331040047546785012958969400039613319782796882727665664,246
668,423,113078212145816597093331040047546785012958969400039613319782796882727665664,246
669,423,226156424291633194186662080095093570025917938800079226639565593765455331328,247
670,424,226156424291633194186662080095093570025917938800079226639565593765455331328,247
671,424,452312848583266388373324160190187140051835877600158453279131187530910662656,248
672,425,452312848583266388373324160190187140051835877600158453279131187530910662656,248
673,426,452312848583266388373324160190187140051835877600158453279131187530910662656,248
674,426,904625697166532776746648320380374280103671755200316906558262375061821325312,249
675,427,904625697166532776746648320380374280103671755200316906558262375061821325312,249
676,428,904625697166532776746648320380374280103671755200316906558262375061821325312,249
677,428,1809251394333065553493296640760748560207343510400633813116524750123642650624,250
678,429,1809251394333065553493296640760748560207343510400633813116524750123642650624,250
679,430,1809251394333065553493296640760748560207343510400633813116524750123642650624,250
680,430,3618502788666131106986593281521497120414687020801267626233049500247285301248,251
681,431,3618502788666131106986593281521497120414687020801267626233049500247285301248,251
682,431,7237005577332262213973186563042994240829374041602535252466099000494570602496,252
683,432,7237005577332262213973186563042994240829374041602535252466099000494570602496,252
684,433,7237005577332262213973186563042994240829374041602535252466099000494570602496,252
685,433,14474011154664524427946373126085988481658748083205070504932198000989141204992,253
686,434,14474011154664524427946373126085988481658748083205070504932198000989141204992,253
687,435,14474011154664524427946373126085988481658748083205070504932198000989141204992,253
688,435,28948022309329048855892746252171976963317496166410141009864396001978282409984,254
