test,xi_1,xi_2,lhs,rhs,absolute_error
0,-0.0017351092134729293,-0.42315991542701092,0.9829344076322607,0.9829344076322607,0
1,-0.26290368479891918,2.1339390035495547,0.60992278917061049,0.6099227891706106,1.1102230246251565e-16
2,-0.84119302877348712,0.038842499362790009,0.8560547996945358,0.85605479969453613,3.3306690738754696e-16
3,-0.16235795993970753,-0.56135974531210231,0.96706876901165051,0.9670687690116504,1.1102230246251565e-16
4,0.59617313078115786,4.7446605027367159,0.04107521831088045,0.041075218310880512,6.2450045135165055e-17
5,-4.1436396607444976,1.8138622376325853,-0.043348517206061594,-0.043348517206061594,0
6,-6.4402656281516659,17.165251115471708,1.5535140015875718e-08,1.5535140015874683e-08,1.0356301269163906e-21
7,-3.8657180899792474,-17.769804948175647,-5.5242720736879213e-05,-5.524272073687924e-05,2.7105054312137611e-20
8,-6.0447863194441833,-9.1080243636838656,-0.00046599027615238395,-0.00046599027615238227,1.6805133673525319e-18
9,-11.594841648878418,-7.2846171960847093,2.7270008191018737e-05,2.7270008191018229e-05,5.082197683525802e-19
10,-18.320090621608351,-16.413928512333047,-2.9996630245320721e-08,-2.9996630245319821e-08,8.9997250645769411e-22
11,-3.7941600038480088,9.2701284726144433,-0.00087963657644340911,-0.00087963657644341106,1.951563910473908e-18
