mode_m,r,terms,real_residue,imag_residue,target_c_m,absolute_error
0,0.8,276,0.55694038518170563,0,0.63661977236758138,0.07967938718587575
0,0.9,551,0.6002347326590125,0,0.63661977236758138,0.036385039708568878
0,0.95,1100,0.61941586211956257,0,0.63661977236758138,0.017203910248018817
0,0.975,2200,0.62830054445831718,0,0.63661977236758138,0.0083192279092642041
0,0.9875,4401,0.63254039566509013,0,0.63661977236758138,0.0040793767024912553
0,0.99375,8801,0.63460263338388911,0,0.63661977236758138,0.0020171389836922682
0,0.996875,17600,0.63561747798148749,0,0.63661977236758138,0.0010022943860938938
1,0.8,276,-0.19874056643013593,0.041739369049391323,-0.21220659078919379,0.043857824167188524
1,0.9,551,-0.20422002113943391,0.021136598062853319,-0.21220659078919379,0.022595155950802383
1,0.95,1100,-0.20772159263728263,0.010597702338090813,-0.21220659078919379,0.011507671496415862
1,0.975,2200,-0.20980005079920205,0.005302309435061694,-0.21220659078919379,0.0058228790188852202
1,0.9875,4401,-0.21095213492253412,0.0026515743770290667,-0.21220659078919379,0.0029333438595422054
1,0.99375,8801,-0.21156400364069428,0.0013258388606248632,-0.21220659078919379,0.0014733522755131501
1,0.996875,17600,-0.21188081089291344,0.00066292584040127025,-0.21220659078919379,0.00073864958586068979
2,0.8,276,-0.046378740709503062,-0.11179962235394571,-0.042441318157838762,0.1118689360583859
2,0.9,551,-0.043123710769643643,-0.05746862617793471,-0.042441318157838762,0.057472677460301505
2,0.95,1100,-0.042250476796311942,-0.028912214076726592,-0.042441318157838762,0.028912843914837168
2,0.975,2200,-0.042169631016939192,-0.014477175765914431,-0.042441318157838762,0.014479724861326277
2,0.9875,4401,-0.042251103537280336,-0.0072411482395375532,-0.042441318157838762,0.0072436461418840716
2,0.99375,8801,-0.042330049302635883,-0.0036208896440910552,-0.042441318157838762,0.0036225988699860223
2,0.996875,17600,-0.042380996799594853,-0.0018104839818946117,-0.042441318157838762,0.0018114885908990315
4,0.8,276,-0.049491684942489039,0.015457037204541115,-0.010105075751866371,0.042311050361311171
4,0.9,551,-0.020841667922175292,0.010116050975342669,-0.010105075751866371,0.014751572755718971
4,0.95,1100,-0.012832505756728618,0.0053619263749702774,-0.010105075751866371,0.0060157400942880482
4,0.975,2200,-0.010761987813657959,0.0027179297362372257,-0.010105075751866371,0.0027961894621162261
4,0.9875,4401,-0.010247476653399321,0.0013634864978391615,-0.010105075751866371,0.00137090242050523
4,0.99375,8801,-0.010127399851708647,0.00068230120490695475,-0.010105075751866371,0.00068266631647624903
4,0.996875,17600,-0.010103403657563487,0.00034121986411486655,-0.010105075751866371,0.00034122396100790713
