degree,legendre_density_coefficient,normalized_raw_moment_same_degree
0,0.5,1
1,0,0
2,-0.95180813767801453,0.07951782995252947
3,0,0
4,0.64118730551605574,0.015012098334729676
5,0,0
6,-0.18444309168729092,0.0040061691180559387
7,0,0
8,-0.055788912116341675,0.0013116724699519134
9,0,0
10,0.079697489461237447,0.00049366227687508727
11,0,0
12,-0.039154966996034907,0.00020587577578430301
13,0,0
14,0.015126258759721581,9.2962704164110981e-05
