# m n family_key | target_columns | row_permutation | column_permutation | predecessor_columns
6 9 1185429062184 | 3 5 9 18 20 24 34 36 40 | 0 1 2 3 4 5 | 0 1 2 3 5 8 6 4 7 | 3 5 9 18 16 8 34 4 32
6 8 17609384002088 | 3 5 9 18 20 24 34 44 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 7 | 3 1 8 18 4 16 34 44
6 9 567622895927848 | 3 5 9 18 20 24 38 42 49 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 8 | 3 5 9 18 16 8 4 34 49
6 8 563224849416744 | 3 5 9 18 20 24 38 49 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 7 | 3 1 8 18 4 16 38 49
6 8 633318715687464 | 3 5 9 18 20 24 46 49 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 7 | 3 1 8 18 4 16 46 49
6 7 1116692808232 | 3 5 9 18 20 34 40 | 0 1 2 3 4 5 | 0 2 6 4 1 3 5 | 3 1 8 16 4 2 32
6 7 17609367224872 | 3 5 9 18 20 34 44 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 34 44
6 7 1374390845992 | 3 5 9 18 20 38 40 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 38 40
6 8 564324344267304 | 3 5 9 18 20 38 40 49 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 7 | 1 4 9 2 16 38 40 49
6 8 567622879150632 | 3 5 9 18 20 38 42 49 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 7 | 3 1 8 18 20 4 34 49
6 7 72057868917146152 | 3 5 9 18 20 38 56 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 38 56
6 7 282574489649704 | 3 5 9 18 20 40 48 | 0 1 2 3 4 5 | 0 2 5 3 1 6 4 | 3 1 8 18 4 32 16
6 7 564049466360360 | 3 5 9 18 20 40 49 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 40 49
6 8 303465210577448 | 3 5 9 18 20 42 44 48 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 9 16 4 2 40 48
6 8 584940187288104 | 3 5 9 18 20 42 44 49 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 9 16 4 2 40 49
6 7 285873024533032 | 3 5 9 18 20 42 48 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 42 48
6 7 567348001243688 | 3 5 9 18 20 42 49 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 42 49
6 7 351843722199592 | 3 5 9 18 20 46 48 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 46 48
6 7 633318698910248 | 3 5 9 18 20 46 49 | 0 1 2 3 4 5 | 1 4 2 0 3 5 6 | 1 4 9 2 16 46 49
6 7 17609634611752 | 3 5 9 18 28 34 44 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 9 16 12 2 32
6 7 4503617075937832 | 3 5 9 18 28 34 52 | 0 1 2 3 4 5 | 2 1 4 3 6 0 5 | 1 5 8 18 20 2 32
6 7 4467034685992 | 3 5 9 18 28 36 42 | 0 1 2 3 5 4 | 0 1 2 5 6 4 3 | 3 5 9 32 40 20 18
6 8 285942011396648 | 3 5 9 18 28 36 42 48 | 0 1 2 3 4 5 | 1 5 2 0 4 7 6 3 | 1 4 9 2 28 32 42 16
6 8 567416988107304 | 3 5 9 18 28 36 42 49 | 0 1 2 3 5 4 | 0 1 2 5 6 4 3 7 | 3 5 9 32 40 20 18 49
6 7 281543964885544 | 3 5 9 18 28 36 48 | 0 1 2 3 4 5 | 1 5 2 0 4 6 3 | 1 4 9 2 28 32 16
6 7 563018941596200 | 3 5 9 18 28 36 49 | 0 1 2 3 5 4 | 2 1 4 0 5 3 6 | 1 5 8 2 36 16 49
6 8 286148169826856 | 3 5 9 18 28 38 42 48 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 7 | 3 1 8 18 28 4 34 48
6 8 567623146537512 | 3 5 9 18 28 38 42 49 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 7 | 3 1 8 18 28 4 34 49
6 8 580817286070824 | 3 5 9 18 28 38 44 49 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 9 16 12 2 36 49
6 7 281750123315752 | 3 5 9 18 28 38 48 | 0 1 2 3 5 4 | 2 1 4 0 5 3 6 | 1 5 8 2 36 18 48
6 7 563225100026408 | 3 5 9 18 28 38 49 | 0 1 2 3 5 4 | 2 1 4 0 5 3 6 | 1 5 8 2 36 18 49
6 7 72057869184533032 | 3 5 9 18 28 38 56 | 0 1 2 3 5 4 | 2 1 4 0 5 3 6 | 1 5 8 2 36 18 56
6 7 580542408163880 | 3 5 9 18 28 44 49 | 0 1 2 3 5 4 | 1 4 2 0 5 3 6 | 1 4 9 2 44 16 49
6 7 351843989586472 | 3 5 9 18 28 46 48 | 0 1 2 3 5 4 | 1 4 2 0 5 3 6 | 1 4 9 2 44 18 48
6 7 633318966297128 | 3 5 9 18 28 46 49 | 0 1 2 3 5 4 | 1 4 2 0 5 3 6 | 1 4 9 2 44 18 49
6 6 1152921521786978856 | 3 5 9 18 34 60 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 9 32 18 60
6 6 72057662757667368 | 3 5 9 18 36 56 | 0 1 2 3 5 4 | 1 4 2 0 3 5 | 1 4 9 2 16 56
6 7 286147901391400 | 3 5 9 18 38 42 48 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 3 1 8 18 4 34 48
6 7 567622878102056 | 3 5 9 18 38 42 49 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 3 1 8 18 4 34 49
6 8 1153489127484949032 | 3 5 9 18 38 42 49 60 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 7 | 3 1 8 18 4 34 49 60
6 7 1152926177531527720 | 3 5 9 18 38 42 60 | 0 1 2 3 4 5 | 0 2 5 3 1 4 6 | 3 1 8 18 4 34 60
6 7 299342040924712 | 3 5 9 18 38 44 48 | 0 1 2 3 4 5 | 2 1 5 3 0 4 6 | 1 5 8 18 2 36 48
6 7 580817017635368 | 3 5 9 18 38 44 49 | 0 1 2 3 4 5 | 2 1 5 3 0 4 6 | 1 5 8 18 2 36 49
6 7 72075461102141992 | 3 5 9 18 38 44 56 | 0 1 2 3 4 5 | 0 1 2 4 5 6 3 | 3 5 9 2 36 40 16
6 7 1153484729438437928 | 3 5 9 18 38 49 60 | 0 1 2 3 5 4 | 1 4 2 0 3 5 6 | 1 4 9 2 18 49 60
6 6 72057868916097576 | 3 5 9 18 38 56 | 0 1 2 3 5 4 | 1 4 2 0 3 5 | 1 4 9 2 18 56
6 6 299067163017768 | 3 5 9 18 44 48 | 0 1 2 4 5 3 | 3 1 0 2 4 5 | 2 5 1 8 36 16
6 6 580542139728424 | 3 5 9 18 44 49 | 0 1 2 4 3 5 | 1 4 3 0 5 2 | 1 4 16 2 48 9
6 6 351843721151016 | 3 5 9 18 46 48 | 0 1 2 4 5 3 | 3 1 0 2 4 5 | 2 5 1 8 38 16
6 6 633318697861672 | 3 5 9 18 46 49 | 0 1 2 4 5 3 | 3 1 0 2 4 5 | 2 5 1 8 38 17
6 7 76631562409738792 | 3 5 9 18 46 52 56 | 0 1 2 3 4 5 | 0 2 6 3 4 1 5 | 3 1 8 18 46 4 48
6 8 567622949143080 | 3 5 9 22 26 38 42 49 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 9 18 10 6 34 49
6 8 580817088676392 | 3 5 9 22 26 38 44 49 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 7 | 3 5 9 18 8 6 36 49
6 8 72075461173183016 | 3 5 9 22 26 38 44 56 | 0 1 2 3 4 5 | 0 1 2 3 5 6 7 4 | 3 5 9 22 2 36 40 24
6 7 563224902631976 | 3 5 9 22 26 38 49 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 3 1 8 4 18 38 49
6 7 72057868987138600 | 3 5 9 22 26 38 56 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 9 18 24 6 32
6 7 299067234058792 | 3 5 9 22 26 44 48 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 3 1 8 4 18 44 48
6 7 580542210769448 | 3 5 9 22 26 44 49 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 3 1 8 4 18 44 49
6 7 351843792192040 | 3 5 9 22 26 46 48 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 3 1 8 4 18 46 48
6 7 633318768902696 | 3 5 9 22 26 46 49 | 0 1 2 3 4 5 | 0 2 4 1 3 5 6 | 3 1 8 4 18 46 49
6 7 288793600987234856 | 3 5 9 22 38 49 58 | 0 1 2 3 5 4 | 0 1 2 4 3 5 6 | 3 5 9 36 22 49 58
6 6 72057868920029736 | 3 5 9 22 38 56 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 9 36 22 56
6 6 285873027416616 | 3 5 9 22 42 48 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 1 8 4 18 48
6 6 567348004127272 | 3 5 9 22 42 49 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 1 8 4 18 49
6 7 76565591716004392 | 3 5 9 22 42 52 56 | 0 1 2 3 4 5 | 0 1 2 4 6 3 5 | 3 5 9 2 40 20 48
6 6 351843725083176 | 3 5 9 22 46 48 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 1 8 4 22 48
6 6 633318701793832 | 3 5 9 22 46 49 | 0 1 2 3 5 4 | 0 2 4 1 3 5 | 3 1 8 4 22 49
6 6 633319771341352 | 3 5 9 30 46 49 | 0 1 2 3 5 4 | 0 1 2 4 3 5 | 3 5 9 44 30 49
6 8 2473938916392 | 3 5 10 12 22 25 38 41 | 0 1 2 3 4 5 | 0 1 2 3 5 7 4 6 | 3 5 10 12 16 9 6 32
6 8 563224869082152 | 3 5 10 12 22 25 38 49 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 7 | 1 4 2 8 22 25 38 49
6 7 563224835527720 | 3 5 10 12 22 38 49 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 | 1 4 2 8 22 38 49
6 8 72620818873455656 | 3 5 10 12 22 38 49 56 | 0 1 2 3 4 5 | 0 3 2 7 4 5 1 6 | 3 4 10 8 22 38 1 48
6 7 144115462957962280 | 3 5 10 12 22 38 57 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 | 1 4 2 8 22 38 57
6 7 283674004165672 | 3 5 10 12 22 41 48 | 0 1 2 3 4 5 | 1 3 0 2 4 5 6 | 1 4 2 8 22 41 48
6 7 2473918989352 | 3 5 10 20 24 38 41 | 0 1 2 3 4 5 | 1 3 0 4 2 5 6 | 1 4 2 16 8 38 41
6 7 1374424138792 | 3 5 10 20 25 38 40 | 0 1 2 3 5 4 | 0 3 6 5 1 2 4 | 3 4 8 36 1 2 24
6 8 282849400849448 | 3 5 10 20 25 38 40 48 | 0 1 2 3 4 5 | 1 3 0 7 4 5 2 6 | 1 4 2 16 25 38 8 32
6 7 2473935766568 | 3 5 10 20 25 38 41 | 0 1 2 3 5 4 | 0 1 4 5 6 2 3 | 3 5 8 36 41 2 16
6 7 72057868950438952 | 3 5 10 20 25 38 56 | 0 1 2 4 3 5 | 1 3 0 2 4 5 6 | 1 4 2 8 25 38 56
6 7 282574522942504 | 3 5 10 20 25 40 48 | 0 1 2 3 4 5 | 1 3 0 6 4 2 5 | 1 4 2 16 25 8 32
6 7 1126999453074472 | 3 5 10 20 25 40 50 | 0 1 2 3 5 4 | 0 3 2 5 1 4 6 | 3 4 10 32 1 24 50
6 7 1128098964702248 | 3 5 10 20 25 41 50 | 0 1 2 3 5 4 | 0 3 2 5 1 4 6 | 3 4 10 32 1 25 50
