n,certified_lower_bound,certified_upper_bound,equality_certified,assigned_birth_count
1,1,1,True,1
2,1,1,True,0
3,2,2,True,1
4,3,3,True,1
5,5,5,True,2
6,8,8,True,3
7,13,13,True,5
8,20,20,True,7
9,33,33,True,13
10,54,54,True,21
11,91,91,True,37
12,154,154,True,63
13,264,264,True,110
14,455,455,True,191
15,791,791,True,336
16,1379,1379,True,588
17,2424,2424,True,1045
18,4277,4277,True,1853
19,7588,7588,True,3311
20,13513,13513,True,5925
21,24162,24162,True,10649
22,43336,43337,False,19174
23,77978,77982,False,34642
24,140683,140691,False,62705
25,254487,254504,False,113804
26,461409,461439,False,206922
27,838433,838487,False,377024
28,1526536,1526635,False,688103
