m,mu_2m_num,mu_2m_den,v2(mu_2m-1),gamma_2m_num,gamma_2m_den
51,47927337865519469854703357526261565718916230627984238616121627870089609155059598711222119889131868993235017101219759517816287487378531749542474108448491483692440576485156941480019223968697273081007554868458716601220366919041148314064880141725658145236276643767484671583372089428712202482973333096326607330670933230914597023447628438556093844678770097097995373099941923138094192898365375788497540844607316406251550822245432852218135611696776412021372927279788811636245784828961442878944320230475251689711395423325060843542173807497623252284743510543300300757600623520095733520873661534616755838506765828364560175579979834603227677008628072912489616086351925283791480693409273875308715276322301777474687982768329377096689783348143808611296436697067760333480364030690538371543,4866224076901883764833989979535809570868784805804840282740251536255931805672606908247258681912266143189812615167865026447612099144743060934340820897895359210504557890268495201415444670282132373222662663927890644011100114340689695004621171676169767067135361248998528019879692145787255962132785233490779638678410374672332000662412879423976781887986154068311885464439649055696671259438504314992429634988770300830609273498304640965575583471608003108895699434042962019252508246797483778084915822559813656305434307023380055521601812061731977185003008552753296647281589660408667569956258231312083113517074544108719927681322360723007782563009514185292411373242796772272415353455957077674601619802218440345962561076203509417608475872615013458294063872781634378198520070873200893402099609375,3,-342544264748541553817731987043481348052624378169870680327326111127713454730965303430748017622969538035034197847468813920759837543516049840616899804918080749124702767800017385757336718255449060912461624797984957720292252386317345001343665684192086254914468347581843689466828059823987507548967862046581545421659368361559910063274351609233456437648969114540551746733845966517469243680514746716625249735791639662492068712943372484572204249867624503003433177103508148106772777986377112111709183133445596265240224404358583675649094801565895863910211243706092163560438638367564323565129801508293453282774306610251720206721149375467350288154581417905977051545409425075188973111552171123759855761855465931039923728845200651205113551952755695602312401610270164284444446701059017381644174297871036708050814357428914187686587048060922744867769927528880967821686069265651353,256117056679046513938631051554516293203620252937096856986329028223996410824874047802487299048014007536305927114098159286716426270775950575491622152520808379500239888961499747442918140541164861748561192838310033895321058649509983947611640614535250898270282170999922527362089060304592419059620275446883138877811072351175368455916467338104041151999271266753257129707349950299824803128342332368022612367830015833189961763068665313977662287979368584678721022844366422065921486673551777793942938029463876647654437211756845027452726950617472483421210976460699823541136297916245661576645170069057005974582870742564206720069597932789883292789974430804863756486462988014337650181892477772347453673800970544524345319800184706189919782769211234647055993304296546220974740572273731231689453125
52,503619520942187815927430964075726647232966161058966089815758921604227346553618859469820047249976451077430789313472087035726371206347626090047306199200681784044507373122448213448903127701798990887292033475146438379362050638339211851731791150002149086257373772930344270508602865981699189476183321198753309642872611416406481893354770568150422458968465972624398689762764774162499436921603923257349926409421833998574593295503473522399760000560385961968334542248838054315980332536034236464754391129677851149977850631809355321957553554434759968723368532141011368532380480698229723726296946958240809490246060061066108130003355662429309489978597168872978782584832102378882113077552723411707401223819695125484675636728679225452050085881456654574443084285430827967543402411965944226427913280148064725167181969202977,58600079321095013363675256862080265758526946279882639279735130351567553088765796284078582171541313931629713201485526583721081259489048930102883774367214918277169005322984400953234202478390935419940539149921070716562667830734659974671277813615912122822798823583142814639227266437793951760271223217979966150535549126815129533075490876717964001776824827744807694674473252559963634857665167929288718092861798424731217060069948139539310234752870822100475004880248801175554240619242966689786965805424380776452631647468172082636430183518147421121923149508344390437064475914660266112164143842864216839077461523943040230472309320737618947706131528852084153695545916242260373220736806778139362183462374722293975250062217445760181827351094469056887542509062636993525281679328649956888576805064475113176740705966949462890625,5,686002242808574559410486079108621291734511086613982335696265479228162466031716748762350359098985251863182431626135728852447627823050716284467573820966538921881707208936968776662531083169427726874751140176746718590710938572665274798852484440461618089725621077890603044907463500557584698633554586620598548153755501750868110198403605856976836342119984617610411890261725748959129743912398406754011524128435457375702844276433980789749582524594314009064555024227267702192758702986675486610411843318232606243565812420521602289134360427065382933066719050639622496708746362772337959389325861853155964400554061482150879179016771132101328978057352598150561078224030325121827216568911410390332719498082591507907563304680700796452117697108490960994465813356977230727318125935890384800088716940010636958306060238104520779249604354451781953495135323235112893394064150695656141851915861082632573877636046616567,1890325139390161721408879253615492443823449879996214170314036462953792035121477299486405876501332707471926232305984728507131653531904804196867218527974674783134484042676916159781748467044868884514210940320034539243957026797892257247460574632771358800735445922036864988362169885090127476137781394128386004855985455703713855905660996023160129089574994443380893376595911372902052737344037675138345744931025755636490872905482198049655168862995832970983064673556412941146910987717515054509256961465302605692020375724779744601175167210262820036191069338978851304421434706924524713295617543318200543196047145933646459047493849056052224119552629962970456570824061814266463652281832476714172973660076603944966943550394111153554252495196595776028630403518149580436299409010601611512534735647241132683120667934417724609375
53,187338669821876313057669432523516471482262742560572588544467551807348073276689226200996244223396714442270993251370106086129269126050295789886981569875749188560483516138538546995779573256071235548466198223076821427262806887845565176697029322502076930825928684129343647772618543031318454414899564291915051375071539730099278603510891473507306334366531135309206338099739215007611765831312082384589475403913679373303201554488177640096183229899493934989745437933643260231143936516184529460753191618717248744269846826042884865769503805701877512074284250376957101215785714283550745674718421794095585313733459948922514208362682417192859818343100225838645606156913131862990492543555109108730040212824566544871232046849052303707902849928356435434718095732797539860472702467685228360606817663131594296359983191562397697023838898953847353199790649,24930151794338878885005729281267218310146743569299023453809467750937697427976875427508799115450671712672946174664036953122047900709323567558569091797126934403964405496874493147571931907114628625843553100237525184578904845053451765946529876434122744487285353435271680577005485857444287479342095224227434898672539208686216278964527767668860077117198187448910330205677467530185587906382060426990482494703372281574074139035201828762894389924929127009668424543735301636182681572785677355544755416719111255358443246059480550068600423480656863923638975471021088572475668576998625361571557901793097254320540273079478908875066694612790272393880638894195184448433410728486882786467895463310410603967366364893747834323748958729126425448994924581697620796479954546909167108840175261562917295218576203590667414583768791642500274499529041349887847900390625,3,-28057053556469677112129354121415810251648484649255176935508979858383561010894373549208486132646069944142852072453202450035888339963606158750472220495555652366700233450189671309485671534649231338838411628420570039603516964879660514160835335735840512659695290666368013345358974469540977350086021996354109790519699347141762792350839129654359320203515685433141656752360640978975138958868075547028948852526722539742439353915739534939168880750719293719858922820641534154600138166256441833734269304711596875078804837065606867303670700438506812596877739929561433922802878659211208496610116141339218726146281637089251747287793881695002009208192344221752047556224663460649506923264956305942381335394416410523814007152255104546930692192007148988303535296664754779562531493750117270532835162481544954838329857684393653860398792417704985463240288258151926773438328709075987776475854085269192291638949408313472022531671153464668402791133748699,274231669737727667735063022093939401411614179262289257991904145260314671707745629702596790269957388839402407921304406484342526907802559243144260009768396278443608460465619424623291250978260914884279084102612777030367953295587969425411828640775350189360138887787988486347060344431887162272763047466501783885397931295548379068609805444357460848289180061938013632262452142832041466970202664696895307441737095097314815529387220116391838289174220397106352669981088317998009497300642450910992309583910223808942875706654286050754604658287225503160028730181231974297232354346984878977287136919724069797525943003874267997625733640740692996332687027836147028932767518013355710651146850096414516643641030013831226177561238546020390679938944170398673828761279500016000838197241927877192090247404338239497341560421456708067503019494819454848766326904296875
54,194605314789636066217007221844989693308632595638947115321892930308031122495357068367196200109102698521435491716512276251025990123973715492949545247330409972716156369574469768986616252081375953516461568986132091890433805030874610292317852358828615202047615904415514340211023804791392140356283683628812326852739462393496557901532255352303053322325305029742441926121903122035361787974171499607418637413561610551386334920800313790227912393211763992602140054952270254103915963635250440368356923921306917397190906519948137772687143192882438284135499041684508926156866556296370791968104993007890600913755476081158557295433036295261308047026125373105276854833156451585358554283242045209796512060804948369881499479770509796813519581952663990334589724025497221542061351576875281056711041809852884060506299508055633578017541608012633700578426689556629176001275712548350042968052703,29559533390495472967538207332776351975407912592345683192952535873265648682346695322388499918805968812401800974589260618450019678493062698520045731833818847511537205601510592681056844147380137138408605817808886831913568536492295970095387439712801496550654955384474829929181989177286661920539373010302600834005758495275942934962822421899688310424860796654046069251967902911311215864233659490300159998748009851990774732785860279960027518315782699014151166074473709341158462420323241048633039944654477050826131519711919059815307317820866365885430530182512070297600260156146481915533135536985091309109619281680064630740525705682488626729489190819338391298956636065120223884234540607392724747119960391764571690053934754987345454432513392053359250249647484365234360124862045906763867189549180629307668243066209809034246024966415222965945529058522548788688130103400908410549163818359375,4,18835275023352584792504833139061685210587078910723090952685688616785386537015636965328272415597510467365359411819798344011570629617130869371141772179107851210353984277678264586469444004703144568215955604976477866678205718177195347580821000834990568591424764763290552915403216077956838119579641091393454011855999040571338946968970642786734074714927058001937457855105006610570879512271969157077068860253503564676972071381174935131969881121651869163511631085818991172854868061055308230272343957092612458047196043916585875659801848757965386880003037972604295216336447809712144331347574755276636308286101655527106559079476970433456817903980481651567400995623134979975716503837224847380271725516829553235735729075184087590742382422331857766196274938442319038549639159494773125129702346856136793339440702378241547015427655998823183670714425224953257488494206339207737814890199299297233756285752323320312488451131822809051455019124433403851436711375156082627428018850613341,628926242350967509947621432612262807987402395581823046658564593048205291113759474944436168485233378987272361161473630179787652733894951032341398549655720159819940544712991333639507322284683768902310762081040145359863160350899914257348668930059606309588403306052655955940042322920992806819986659793672358170335287133530700743889838763823155540954485035192469558552508572581089699239014031708514042526553401106186696442252346382128245070548568064130875873924972539173584306815388107417724254141584618102683649355572745953517176974912050337987883620904512133991494896939286849266662458233725347002332325142129034696606929908138055887861472145092306197850141192874898380515628523561547335045105540250310035958594356489092456477287518979858707452120159241813497023933235019292848238075514481474631239214174676787962681382264153680126500618266437208269960214965976774692535400390625
55,529681568797262624629154965534326350030990157594844649180921991298592368141270800028615002056651407066048086235071938436748923561471187387849921000201290030804394852385927248716245225026765742106712230324734196880432766022309752816973167259632543666165639757190469311247170646052889400340294999768127308821924077159303038995929692432500482906772202338223164743759747203540567440569806409158044656538656732100694584860785425528128549076416245843261777793477492344578926538338464207874848010781754173336572461809379021669596320817511948505949092477597650119284911899908659699301019363714285468796223929097796784701562622695755116170683282225910830249214339432744535159912602024960620262518913679309399680455949161629569141291637809774875936086011231330924538682110574764934304602550349780700231484845281704080216364079720111751801130869868367494597595124315191795685938670805161416755804912476805799753,91658725922299844800443748444025587269443537529635458119087391763647109179879650730582038069767478713948678437844688169722662447304227319984107341076219676983699570858390711992936026808059245355389821197934312028644792604405093478534718411863988801575903801803432824327165769790361796547100577788963955154417740178692582887545931978114795529251141947372873363279593610344541613608278568252357165428747191366000071468933711460730043975154987935132022701130314855372970608796226169983350198867710250841890156709409633361145716014767015246233770563750194033878313380352764164587497513608105889732941745879824096381565650610615575147877137079590001371010623215407981860488799358603481761139168104421016874061743927648685821090982362928736981619927189736142667894084604017064236288453308529561465188341948417659273926791493955562980643736835147455714116783903239218778844662620392839900260441936552524566650390625,3,-44185663594772106463783253609715064083952826916556960583766302034370551738858994564199467014243639237820470830637794028690125317108674377208684835330030479431703896579795820649006942898837203105355319905251938884564121158526385104127544684180773516180721606341106175512049554035956406718072721837753861609366599506126375177005425714051492423357828442663395706482191456774514069093463265772008590342232455587171339862688794083370803457675653456781238429029231107051961582169780898368626076769576135535799058302992278277080930957842258335060331612461844004119929696990750974000019244324289423013779785487842143769484855349679329610342220987402995326068924930644507433931580199147923379829491680720614790220549405066541361860100529701180932476496167172047491203397616087238448201022522487654227127229252618233473896019877300074204407604345377316567104271015249216708794916117651384441626468272640504671475744911449642101296064411918255679832297421597068194471051717868628222877960163287679207690332661761,4857912473881891774423518667533356125280507489070679280311631763473296786533621488720848017697676371839279957205768472995301109707124047959157689077039642880136077255494707735625609420827140003835660523490518537518174008033469954362340075828791406483522901495581939689339785798889175216996330622815089623184140229470706893039934394840084163050310523210762288253818461348260705521238764117374929767723601142398003787853486707418692330683214360561997203159906687334767442266199987009117560539988643294620178305598710568140722948782651808050389839878760283795550609158696500723137368221229612155845912531630677108222979482362625482837488265218270072663563030416623038605906366005984533340375909534313894325272428165380348517822065235223060025856141056015561398386484012904404523288025352066757654982123266135941518119949179644837974118052262815152848189546871678595278767118880820514713803422637283802032470703125
56,3777046069037841468421802548099699093404929480510388781990884224836810574575957301310771449329160304217499403490540090837827741067209851455587764148743119051153956582363710775576001616322474309477201742178901639847945513820153152965325095478107976556729672643912772483900976177330608191815939724393425613337769109986128621333211509073551746966915089649143339126858465871022225844562495500726744378151295853197508431404699481581875785929508003582549280131025817844041983272055624506216060857936145473271157020009520584393319520632049756548090294412670125266748187384339921064174489291524872390984588705809636864939945736099705420502873106135341888540926054594536156777098157428638706354402491482174272328303680705254039390196314698009434086914620788506418061196949605735911881161526285696519340655472994578549678239859573143899455807818573852402495710838780094711927282376936824361175371320145410730429786974373724312330153322986230579,743231037023012483653787074280122266047005863639249679851267246716621735884028873844621395056116166315750903147974917814225844934164707445245259777056267522914595072800415352730012261637710342627537368820167448525448903210859348880196682650185566846624724131097933458899486639556911682648017782514394212200116132414573649937289747587944459183399880096905810554471603213967558441429567140704785883211308177332473378783435900362643057446111024056232073478356858440817595898411382788866989085745036913067154155655853547959216217026967531023321590854665285225858167504681806443949968543426196234836594808161681684492771299658609191326552381572321202589506926548414294796519330168414353118892258021312919222385432501303579421658342860041701692460713915135920348967105850659186423716351502674026292997433393093442805158529665200195163527300171925148291141399472172307812144801655640478271984492251996123171029020643817388030583970248699188232421875,6,40447380354490704439181224225490651263051308604501408617557230665945023703989765025889764575432936681964065430416971772988769712328524347133699755468409802465273279198503075048535775029055095920482206057227988620260285234704768265682912799325191087502720216170345169539619306051892845120698454479868153265195199214505123194995174418742520393470388696409984991891467850008360282321856449886445225442942740201946504857593518417687759155267441668009614737623440433657659073472768718859111518107298857584173773050193582422035631169725124364964730082998867371870509438607601649903377327624742650279209813067481938920722394662365719873406721885002405109812981770993132590828753073163128033651165426381906072706011012433409241376056667489361269141776274676994123197020937995084722124313425867301776785822496584073166554563301251380315889475252615122613308861935775721901029301726924308375260170183681811834932815230300099606908303549740912650762319706572536355724378834573736493598901416581212140156202980982976907732544603736405222547760620921,14121389703437237189421954411322323054893111409145743917174077687615812981796548603047806506066207159999267159811523438470291053749129441459659935764069082935377306383207891701870232971116496509923210007583181521983529161006327628723736970353525770085869758490860735719090246151581321970312337867773490031802206515876899348808505204170944724484597721841210400534960461065383610387161775673390931781014855369316994196885282106890218091476109457068409396088780310375534322069816272988472792629155701348275928957461217411225108123512383089443110226238640419291305182588954322435049402325097728461895301355071952005362654693513574635204495249874102849200631604419871601133867273199872709258952902404945465225323217524768009011508514340792332156753564387582486630375011162524542050610678550806499566951234468775413298012063638803708107018703266577817531686589971273848430751231457169087167705352787926340249551392232530372581095434725284576416015625
57,70182336787380972064806974216671937974340638003529583403736534090496368709368855254873182218396680407408711986590453520833748805003204672059084834526174374599306436248976055836614020836925528807821640968964218553077921550412888227230283622835556286202080613278178809498951789074379352580845004735450231165312238772319372241077502974347747552650059904241126841864788323638135531282589402738569354968161602431778116495967488436929766212791254787047481558370119349497444812506196451207318402195669734311644489900949207800337513876073396581598538041389159774220594709427632095247548235207038792478647313967061907725715701327313884823310683751240645830687263360351902289276742865786412397706731884241796734181642285281967771911933472624453928473696231261714854376967884616596494029598183528499901676253363757365731745428887010405166726798363242619717562175438581738561933508652950916757192769322377101794311301709407990711555360176723274061634321339593874935110687863087,15675922385551248628383171271580164573542198360184355600691829688851502889155978791981566040337301690035257685490383367628948849871305992198740739180303877865264921944062045036157493896717712740485425729388426627573037481481074832804929716305375096100765905569955683034467507902302543021736721602024467295238649759560147553998299869254310978286856710183823655934434308396313617102471103643597698696473885325437162628453815189634844650619125615499385933721848463090562538998893164587412073005800640950333991453286996347041505654871519025391153725012299308299226762886329005496784160332728619212377261074344363885119952894225665733754539153641066375472562455857824016260726251078592590098336782498851535825849361866089539332423225906542323845801000447181702070624092464125040924286424993747102496082468659763119482785125257526825245022961487573891606885740188788451655707319067380363590634312085627501270205369921358057458112272882220275429416435989885940216481685638427734375,3,-703159595826771143527891794396947644289024658133216896140707512972960293268938365487906489866029497032293667117240489941402368842372144258760737878040954448965511134543668338579695777782537820870137563725881233357433508309892962408998065831856787762020188549792280984798439064785936832653645013766191168924604169040524144838815138276566953658749275317980761099766151322055801986207472005858952468062404859408518759095614708359507639759090471363351163610151488450414889715587856992455303576243093808246416871365692102753812423346739690036105001211901123116835932214359325413888371178254485116392354120559343272522073656862652247677431488357328408360595506167421259618470104567168739172806579783777301858393038391610459699285906508488377415471348040606909917481370630900824561554304096824938463691027369505646213931604819550412601973217565402078041253601173206631285537161212114114759803803656756543334960544476887528337657696296335193854173696706821016432086360851603459969911606104583798000392465108609762817256740476387862027988990119673210041748517683174426305778997,752345606230233018356706095646254948061427301314906130324312833217892742909925024634835191550413377727891989626210374056149394053618934322677564980329297049395090667653646535960351792053328463548081014549719924690759470000271884186546587485938537263687427411303931286469329647553465872797749817249010625499258564384869394802436107021646710995671329127626469718332409765676735360543459734271801432324867824430894508525320791949429995033648042915391457086571798779326762296563716003015056218217025254107296206648707141754155660855360079110039635897521839344022684922160558092292552148148265752915037706951224387877511507905401738598762303990641265856669008503011223439735878297241658533437091842981859705253195180040489299195764579306909326981794671343889713853713328333302514855603402532315698081062618603894798150977687418675326472384461638086064531888396157431590085087697175611470518247865635938298570045291268954763921989493167141464354368682441418059170246124267578125
58,22876290890539398845189866477450976036884834898487819393563958535718563635193805194899162488448305862901711143642136380821236891271349333569360145088293183363698822386434548801062854887350949087032594630070634670351309610576769026742029312382589495278697994045869879461481909534603405697549284130470870426225684218316955171063911287968273102347059369201426345569888852286714093656039001577235963172022267761775752374159022261196096948626532419194647129277091035047372818750460449530872544708218666309712603066644332165630364167070904856744220245260453344996831347334121432590618029225378798810329964213303852780311390094027834202377704758777393413145998899869662679020469983333234814879020133683018928265233438058728123166429758549410163320086859869388699733473041357045669251642616844274458903358517241754357032861664705699705340830304326128934988951719896013591088769899868770653748371133734261559428824553403492084911269879460514220287810631459579994235547320328525271623502622671928899118352487,5789875032202354512488293122685974719163336585276023355157606306313533294214274692457751149416834556157765963863002777659674033244931886336981149979243660762231851803741490457762135332850305948112348875883689044200166774911516845155441224010043379781326485698087873841780556113734810465916942121377855618213761896230962504095694604590192924230047128400992764056885216502818794450268283399563240466993206268008621906478540478028397833705678781132348461129039735076057835938820220421919027279437991607650890220989159316339572108331231424700539022226421092236206112505748586756390429404369502206528697298241686051992655214092021063280021500389093015324267574856736626746552648248756476040404513166061209645414627719283783518833965786999435135973835111760987427488161496474480239496463280545831065456202265733323541361498341663116246767905877647242992751517941468925357153902308886257509186874465793182509739939318796687230504313996395295066752778589690183200730292226954860106774437808780930936336517333984375,4,6657673311177003618700151436950453345739366698601558048848749780497137816543141946281862644485962249172865536224316111140545512563851393424218584259028924437100869569419441756871237586273125354650472758695749124288884341005731632483973498018509871582597275762742131065009661075809795653214619059222427462135367060285117987556360522832183561890077481801768015348944701852335888948847161943221704904475623157084164680505989721181629948843378639359412711756887088493263186883318349942234145219642450444031402528384263377793704406467791507840256158343391362256831196415486027944008081345628713923642053517573487390285488813733899120686196704760697482740026647246003509228272666529743789482162227757093264588099278157640069901005404174874840736482548790087787985846630702345858086528211086016233123339093746957359615215931448693854037193703502650240733126205327804744833961802978523795336881957222184056495910100635228184020138169761444113222731037634725857966996039475451134860460558117356838876665495160207761530191020828499392402324867700491750440862946235584771907721279336863054136521547722782018934653878203,21080934992248772779969875259699633952473708506990001036128844561287574724234174155238671935026694618970425874425193113458873155044796998152948367074426168835286172417422766756711934746907963957077062257092511809932807227452832833210961496620567945783809734426737948657923004810108444906403586263936772305916307064176934477412424055312892437121601594508014653931119073286763230593426819857809758540322264021819392361488365880501396512522376442102880746970833675411926580653244422556207178324433727443456891294621529070792382046434013617334662579926399196832026455633430604380017553461309357533970986862897978915305257634509048691402558282916687668795658240053378057984198192273722329263112832437628864318954659525912255792074469430464943330080733641921755223484396008663582552006622804467370909326032449535031014097215461995406254481945300513611736608276824888357225397358306654863590949409929952977517963119059738738206266207260875269338046866845061957033858993998342645648765728061771369539201259613037109375
59,10633688007708711246972014665823723147773764288195037308375471538609695645749688129844538688749411600696648266436491520089528649906150343564080576041161916047922693142724248039206551681830023694846134635421379192162147739471812109230921863998508240882260220818504533321674890428914009374009866905531607041488633758482216080550062789298825991972075901201999650505441893100616601494740277685254661708621116350008570255469190754570366202328523340429918640438283501571622136967203187191098131177809224294788113051129924458550588891078234282205201505617141446163071284163644334687124664685843908225315511134045474774780630335399870937586576992619948386839514343806941677237650445063417766322534524755470106576433294826469223585280097042546749682404560147451450920248480250110061806477221200232614984531560819984177319987458446042651694804950682292250511566928253500626838185296685318764752025023295639959734493225727651204416787498722414391483520346962811573348765727235046696686339976354306945390525646801282827061092369330982420624657917,3044477289115486448783060632624508836018396660192224851192380086743094908820882117902385394757325261800570269525210312221806799033096056920600541368644583500697868174273582688353228267782754193633671583830935828324694789068914409684465652963561878749291699250499015227326424648384704941236323156795884074285333224643672698075136816998360374231369391572148065887183372768452638652694931551595072430815707607698644928126621652608367178887453897778977564886055314224526550448322811624550851045332630528879363343348896850470858004091904334846256218073485791381418763044246277313262686319632725944802969502971969550217367682000419732690842461281958277028511151207709873391851738439870962586238042798268863844391444698463103069465330563236425102127657855599048077833479640571255798948486804502191285114305089852785465920216868951263021008532790664792513920366660797210457478123727261387722730075962972298434896080484776176381962335961885078054596076804026475213515198522142371697543951507908610545802411083814445663291730525088496506214141845703125,3,-4256242769212010590080663495247706189551453677976263176456557199495108992685743008379659009142830180971247596014755153915900258953367560256921266720607286826326174185160183209812166299445994926976597959948996579956231267947468567276572768641326550263774597498985536444510323236265187899674819108052701020931471462660342722124644546070681567023995163878954195049277148910161480825071990809597922082744613442376887007774140306571693535776235078299596519907606478102940227016682971005878899698527138652674935661455569524136681335429843898211413996808959895300492594544345124853662351366075745977117092762463765767452654186800127675869896911935864531592633476058036160492298158787038136617100148025209260849923973163350347361567853336604872243046670155126134063314297069215351587851218325114408979120848804840220086280589575674638698013836127720322098044033367447450758056833047679766449650592461291033338323409069431531486804248576337972202256767823721096295498623328255007408397544373114946191547770559552540529181199990775360097691498210021800222658355544845937359399710190231209039208857647819780959803305247350022176460569931986392064613527,38537687203993499351684311805373529569853122280914238622688355528393606440770659720283359427307914706336332525635573572427934164975899454691146093273982069629086938914855477067762383136490559413084450428239694029426516317328030502335008265361542768978375939879734369966157274030186138496662318440454228788421939552451553140191605278460257901662903690786684378318776870486742261426518120906266739630578577312641075039577489273523635175790555668088323606152598914234513296814212805374061405637121905428852700548720213297099468406226637149952610355360579637739478013218307307762818814172566151200037588645214804433131236481017971299884081788379218696563432293768479410023439727086974209952380288585681820815081578461558266702092791939701583571236175387329722504221261273053870872765655753192294748282342909528929948357175556345101531753579628668259669878058997433043765545869965334021806709822316105043479697221326280713695725771669431367779697174734512344474875930660030021487898120353273551212688747896385388142933297785930335521697998046875
60,6421948182515904652393559763843142569571796713810249171664014126942958805800642639864899674930676697954238534808083041145185808410864142854048871203398599661254192522198300171745924723329699821233071929545750114429001511321408840263615601348126358290095066982880647798005163990326162468889102865703786765546688947114804405854830309561837163595210170727227471063989236903281216370979846066972447114323762338449253883176531600564948806802843057353425129330701274105138813910766715081578305400136371799963312884187228122472511118465353416215294410012004148271507919586600767134904226768610882111888282862223564550540519134697153648278694088046516980421348730965584175023697203662340513138653147174334073623519093084042387389893631332718939338530033761886549609795165768715054166267508790359223653884255859178727241427279096738246792701579923460849493769434783951734401936267556086545370051158175741846946237646668947235501574371340773338104915535120986129633930961495615669630085993354408358037214147467282864096231072049767004193822526508941469270808398037733569253166274561,2076486775040358247002873764916552222965397831254457320760809406449763625957889925383738212774352170417975350555768968047250846772737983918403206167181482422880947797148280255054162021052110839622977308685443917581308313611819243297353949174859282356111775636460534011639921210585892309837609781071054576119187887870189413408852088930665071862596386814287847225348468346567988016148243844178685839504872216320686750795438480175878628462632899961895658103432865370759057405575135386969484379667308073911622349718647626372352535542807165480062384340831719504409678726483066112377654379990335394250712012043690999170420380077546852432777863109988058936035975424817620336554527847624538721397408313473414071185795982493645666607507645846391829556202939802041778066921707535223905656871471079150271846812301484529649570035909213630555112615577487868211057218331396598126907894478019388206625001690511241012234647320051594989663849942115670329792315929079638494964615825972435773467516248068872683241565598352801410050513975360960913418726977481293011712131448803120292723178863525390625,5,4366010574984035265471206067047514954648709377476747191222308107263829284402247663932018603294088284985710606097266287821848777420773513893659839958875158878324409012066314643083988334421476460372324627686044779662161035596438810601610788719885225763885615680977187258077560041629695067113307915070314876134836321512314998514911392435815172454014956474206541318450021074420903476526754902294186938416981048603523720552528653502625218393510836187426248498439342596499156878960737463654668759189155295331754715493605699425716679217185252292926571449868753940601579980085559990229860130844276025460531258658924373217776676876254186358686600845294174057957325061115731981850071568924739391945855069427129304652124565607891799566689869493195363998507748411177539781003421521005146901490056227840423623755687033876883801587491359444034026911706146984690466452535301003859540698466544302453264421526231969747096581712579717496104608821777483545058430092852438469678530980624967490211374612369785750936945200529348230348852587183728596773095356779016130120946502211814632956536932177209120146435853044147764623620832284217535478640576989263037362950096911024065376635831039607449340787584419,109288777633703065631730198153502748577126201644971437934779442444724401366204732914933590146018535285156597397672050949855307724880946522021221377220078022256891989323593697634429580055374254716998805720286521977963595453253644384071260482887330650321672401918975474296837958451889068938821567424792346111536204624746811232044846785824477466452441411278307748702550965608841474534118097062036096816045906122141407936602025272414664655928047366415560952812256072145213547661849230893130756824595161784822228932560401388018554502253008709476967596885879973916298880341214005914613388420543968118458526949667947324758967372502465917514624374209897838738735548674611596660764623559186248494600437551232319536094525394402403505658297149810096292431733673791672529837984607117047666151130056797382728779594814975244714212416274401608163821872499361484792485175336663059310941814632599379296052720553223211170244595792189209982307891690298438410121891004191499734979780314338724919342960424677509644292926229094811055290209229524258600985630393752263774322707831743173301219940185546875
