m,mu_2m_num,mu_2m_den,v2(mu_2m-1),gamma_2m_num,gamma_2m_den
27,13265657717194580452159578887613313425881130953069981951693040961262103751242504086890093915362553872121203329205090544327518025510068315554439967211459815474478424929259192443751456374091077748539194947156190243292671,21329425528425890144618768541475935431293219778111662764675215996029267104872612534599710095808293355759222875395352059274149833878673141538265132058333200958852744157680730210905580378388020639116174506776109844818115234375,3,-1106976264341103383001720885723725414779058397540233157622109580005084353468964762123683531088418594899079564795923675623179769203147373210814069817552777021964569494474487627794565455716345602685783627515867905910237917392717869134199193209835771109,16781609385071510735341281307219461393621730745957248437982073954389667273699931183792061444381033324751552222970379275589417650573306956363701913499868765506571789266467923061294713122256507190492662869218025054931640625
28,237958473570622320756893062662497117514244925033297176550236176544561104052760517096188903500179758275427405255343094402516560276039205083854313506617540844922150054374984031966560462461349922952376744151346739242278622988418426707,476943313217394431049820742908356538669108548628647418978920272024844342650576678960114011728519779850520956821109919733479568193062698494067764571382431651791401909276430086249406455842319525884166317776509061563614338675798797607421875,5,8936822327881890194067670416588134203095680296354258435518636406459770132957496070674475643895393629731291342501260192772118865704816364953059614460867306550336869286004421444549703364110719889692975204277233160386043125126987865010015285544178630335928499434262900185667,1736550603424533123452397324929326157294224225556905252502248710442458251590749688093775116703540518435746803785661217749599107790941285216900730804403433644172494351675481944034088905721885393744249563024269493153119807118583422088623046875
29,21426168848516959457190706474728948995175208806244333984853997458012385192352778449271504492703596967748711761134759853451423013031618684680916789915097326987524347354696528925252507132367820312457075739275080245846921719995960935726476909071781719,53222850904396224847793609349746515622565407021360994551051024613115905104487984062935647017618560709048410645838582015304128270830796942898347051466059717607208325211413980153750291614374824159267590275423460718067812062427915195344967914186859130859375,3,-23097575621984014627469387025840143384565477313723883818989429069971945171557018570277918412522238471203756532744508617253098489317565006132840414277279525948612338651792991732199406711566911884890524101609370018483750777521141190970089886555995925276110410184845741673649513499057036251233,53595410860726998421728164615194741231923364870510521512908381785407716440219399951376196546741890634011749520359452089411257168726612521498635480826322135630458783487893878014826543655675447928382463407351424943094286746864910601712382689586167144775390625
30,20887238291241064174380943453104220932103430922723880185741310567073322144331083048618476702561331023605154744779922854928387966569653672612498985208185933594893501138906527445401369711600683227994530182297558678764378273710618799018522046792604632048346216078447078371857,63949808049311296468600753226383601702970675504180684297670604989669308516228830969931741457353330306038627921147850831976205248698617062351628432470525028995073379898466273466777884052942544428102558573944046007045926695786470893545257535837221650689499963132065219879150390625,4,2471277776313091063123888641873506103888900436056717779449744048988535909795184248722201726353013540415459683696592775118529718929213399335504634059014556303988206813020885706131450971003590668049218587356852642341581308616635118378045647653706321163893544216827035261310139114145054448640118469528637490137144493,63949808049311296468600753226383601702970675504180684297670604989669308516228830969931741457353330306038627921147850831976205248698617062351628432470525028995073379898466273466777884052942544428102558573944046007045926695786470893545257535837221650689499963132065219879150390625
31,124628651165501415664713006030784964580900459540194594335972185745803766689044672887542929884629054449344519198482732662783995593018430876774952837616147036451440124699362878067363239451095414471761713949574837152248106443489305698813754211451405295135015414919726337273125096458655411607,467873774186341832067392721211488459984741552234899568792382225376328057397086612854675841400816308343771134513103354230763028621084199962224433315971539182005889949888383578250499961287844067575761973592958534420245974440663599950074874710511622735517817900616675656280852732757167816162109375,3,-36853178489817697996994411218203552993303851756441255656041403050312775980557254658360617818629948398369786874144766076754525170943986664490210077146218700768029762950917937229029690271011360782635477794993208970224419563908296532454078754603509390997385673759708874031076680916383329220281881035453510925980680568246368303437469,9954761152900890043987079174712520425207267068827650399837919688858043774406098145844166838315240603058960308789433068739638906831578722600519857786628493234167871274220927196819148112507320586718339863679968817452042009375821275533507972564077079479102508523759056516613887931003570556640625
32,448608384209810930030479548041313701215644955132897428806660811681504454792231199099459655724557250481538377448299505239729783682980915553546366968588608605858317560461922354081951980280204780755107918027312411061179792835921044995943725282597742025901487145550643091641209684284510791200152935592145629553,2054939945527624328650286232013534148311020307729045182885002959978754332144375914057274450033978870683246118083746624804024308604730790030355215786038336260514721334481396413594884168538187648235863310202676524421407143081271279149406754759199384337093222221988416728600161209337952931228513463629245758056640625,8,25063535515931112461554241429751598138156551562622405812172705467635048841845300744448712561125559085295727284692932593544272192039730663898086831203434599437255443641645117967216956099687220357139853182935010910145173435909081465446694870925725985895664412551998397764229544392822323630279404096271905605877536093482761500318602486510970147457564463,66288385339600784795170523613339811235839364765453070415645256773508204262721803679266917743031576473653100583346665316258848664668735162269523089872204395500474881757464400438544650598006053168898816458150855626497004615524879972561508218038689817325587813612529571890327780946385578426726240762233734130859375
33,633573682828764158012610146902854995635572949756965973887639715071778464090254579058134974994152908263922946576319535177502415671504776531174665734798165091195854912544627218114879219622395034107309027787897617356325649263378454700175924373864892487576877616527420894002302678502444629245062096500283711247494409049509649239,3524753807476539793784598957190444653674086939309769895171452595448203138592499820730687220579507474246108380826078818154247496803354873965029226459558967223074920043939561294660799848474897618266956890309878118318064185125018119242383194660704190055847253276479440306123177107472267055617530789021200616080787182940578460693359375,3,-4946776996810992085603690371387125618108339386699878602676741132528970430030665745122336253610099074419308247867408643709793837755329586874052164620768106901235690820773504801678877449224482932653851327092989215170394114542368634337364832249278880871624230668350737492303521992772263577633485579543674100531553436304620716224173416509638052070183315749286165942485650780629,120398169529067069798221301221926241064972759137475824314014354444520201944554335981800842429268439515038123113480271209584559232914595431752840419592303669882927532027198698959729426403168871276592369569005836778338087165586145230963510175515632597170782493496587197824944312776289543110304078003934694728233204301496601104736328125
34,1321807751588384926198588644298027729527015570934856031221873488383014623411603889567217430729780511537081413395319922989337351400117923077016792219078384781717477641236996002928274969727557574185110842251847935220126452355200744207229278090012667318959291540142006326672062767190521358474490069644186177083709544710789822383532878805719152468189,8891616544618814085732025587327375562223796883599451782383326345353026154161166292093442530984540474883761853860617690621291640039133248649386537899268222675990210330131597487441126461905058181896959804336296233260395260295855797203971931600015064354197294719988646168865890386289100405314138386555109692970811083565930981321854562449581623077392578125,4,42160635874478581964636044292176974493994141970514422808779407175847670626740320277330173410234419591062176572493054408149127532445892458182881351507018701798516813107132145690270931086842441157890999654797349606405192877746240223880376586981742923644251433669012769941496457095059792212031541372430145659416813299321799327717621501390148183832632359437903674574683094239731101073736771406741201,8891616544618814085732025587327375562223796883599451782383326345353026154161166292093442530984540474883761853860617690621291640039133248649386537899268222675990210330131597487441126461905058181896959804336296233260395260295855797203971931600015064354197294719988646168865890386289100405314138386555109692970811083565930981321854562449581623077392578125
35,1257382546515676244289497454101958182613810653099450430139847109312626544239794550153456153010362688775091764318232186427926591178983287847176139696730516209163834152588116066278940683752177608003095404547321225669448896753524575799701683979818860163631716503356597574200834687631052450420250969771374427515513521330070614646372924434992509962525273784875411061018659,10184402978894960453237267861504402011167921105566121072243172957989635406892976705375170595973713668965315111940989186263063539145296289903324865907147790680680422526010606442585940656081573827585458054966423439905370862737274470385976918916873627189078361050826699445226243524729753331528845836341340262033048596367685984277964929484393270603935548602244567394256591796875,3,-5908121206522438943860988889506365816463063086719169434013410203713583181751366269575674873221279747108142740320729774128061589477639215660074829514863801866683874582174974748268776979639745955263029132161120624471131825619371329654940883583591367957658463198614340034691490586717078551435947800221240184780475544525042368755331885745052320216888042174826491604971429788229615047379469040961790701135893770680423575511,10184402978894960453237267861504402011167921105566121072243172957989635406892976705375170595973713668965315111940989186263063539145296289903324865907147790680680422526010606442585940656081573827585458054966423439905370862737274470385976918916873627189078361050826699445226243524729753331528845836341340262033048596367685984277964929484393270603935548602244567394256591796875
36,7435265853139960297283349277751545524199760901980044579709692069885000602288122424203327755184812425201615437922464825959155966396453155192607637294745841903838778315143221423204000748912147521979868914153129360645208329566454257050831929050284039415156049306337408024128808262022247740168772131329090497786267033909070790035987964191289038073132746814752094280596715057649085748434337098681,72224140342444244570673778080352852649677493194463444859342111186124275641270942352666036197589139673674422025374023659229688931547619711543972612451418041402149133214743243282489840301195480338555047900288403899279456734791487838854245477387242260253518985302125105800905705165629598826269504853483508659810429785337880796190879206748115658354447399844309033559751213586112579912912845611572265625,5,91954989518270545703601734449504170834464875846596148153943546083224505645585219610531085769477811170545856931745800610494400993596134627070258961525557175650708129626244973062267343000137742572526948779849475709038887572023021754687904265621788791133838417878745971934536465093438030662671927194421704255432806161384416800324800006055819176198227388492730273478370196023511019601285716360426560105658260481049631287513299764082018464572541139,1224137971905834653740233526785641570333516833804465167107493409934309756631710887333322647416765079214820712294474977275079473416061351043118179872057932905121171749402427852245590513579584412517882167801498371174228080250703183709393991142156648478873203140713984844083147545180162691970669573787856078979837792971828488071031850961832468785668599997361170060334766331968009829032421112060546875
